rate,rule,dom_k,agree,sw_per100
0.0,baseline,3,100.0,0.0
0.0,hyst_0.01,3,100.0,0.0
0.0,hyst_0.02,3,100.0,0.0
0.0,hyst_0.05,3,100.0,0.0
0.0,smooth_3,3,100.0,0.0
0.0,smooth_5,3,100.0,0.0
0.0005,baseline,3,100.0,24.4
0.0005,hyst_0.01,4,100.0,4.0
0.0005,hyst_0.02,4,100.0,4.0
0.0005,hyst_0.05,4,100.0,4.0
0.0005,smooth_3,3,50.0,18.8
0.0005,smooth_5,4,80.0,11.2
0.001,baseline,3,70.0,30.9
0.001,hyst_0.01,4,100.0,4.8
0.001,hyst_0.02,4,100.0,4.8
0.001,hyst_0.05,4,90.0,4.0
0.001,smooth_3,4,90.0,18.9
0.001,smooth_5,4,90.0,8.8
0.002,baseline,4,80.0,36.0
0.002,hyst_0.01,4,100.0,6.0
0.002,hyst_0.02,4,100.0,5.2
0.002,hyst_0.05,4,100.0,4.4
0.002,smooth_3,4,100.0,10.8
0.002,smooth_5,4,100.0,4.0
0.005,baseline,4,100.0,11.6
0.005,hyst_0.01,4,100.0,2.8
0.005,hyst_0.02,4,100.0,2.8
0.005,hyst_0.05,4,100.0,1.2
0.005,smooth_3,4,100.0,0.4
0.005,smooth_5,4,100.0,0.0
