N,seed,plb,rate,quiet_steps,n_windows,policy,hyst_threshold,dominant_k,dominant_k_fraction,switch_count,switches_per_100,time_stable,first_half_dom,second_half_dom,k_dist,mean_margin,pct_close_002,mean_islands_strong,mean_islands_mid,mean_none_ratio,mean_n_C,elapsed
200,123,0.007,0.0005,5000,25,hyst_0.01,0.01,4,0.88,2,2.0,True,4,4,"{""0"": 1, ""1"": 2, ""2"": 0, ""3"": 0, ""4"": 22}",0.0388,76.0,0.28,1.48,0.8961,24.2,24.8
200,1337,0.007,0.0005,5000,25,hyst_0.01,0.01,4,0.4,8,8.0,False,3,4,"{""0"": 2, ""1"": 4, ""2"": 1, ""3"": 8, ""4"": 10}",0.0436,88.0,0.68,1.32,0.8842,20.0,25.0
200,2024,0.007,0.0005,5000,25,hyst_0.01,0.01,4,0.92,2,2.0,True,4,4,"{""0"": 1, ""1"": 0, ""2"": 0, ""3"": 1, ""4"": 23}",0.01,92.0,0.52,1.12,0.856,20.4,24.9
200,314,0.007,0.0005,5000,25,hyst_0.01,0.01,4,0.84,2,2.0,True,4,4,"{""0"": 2, ""1"": 0, ""2"": 0, ""3"": 2, ""4"": 21}",0.0105,84.0,0.44,1.32,0.8774,20.0,24.8
200,42,0.007,0.0005,5000,25,hyst_0.01,0.01,4,0.92,2,2.0,True,4,4,"{""0"": 0, ""1"": 1, ""2"": 0, ""3"": 1, ""4"": 23}",0.0146,84.0,0.96,1.64,0.8624,19.7,25.9
200,456,0.007,0.0005,5000,25,hyst_0.01,0.01,3,0.72,3,3.0,False,0,3,"{""0"": 5, ""1"": 2, ""2"": 0, ""3"": 18, ""4"": 0}",0.0,100.0,0.92,1.44,0.9009,19.6,25.1
200,55,0.007,0.0005,5000,25,hyst_0.01,0.01,4,0.88,3,3.0,True,4,4,"{""0"": 1, ""1"": 1, ""2"": 0, ""3"": 1, ""4"": 22}",0.0036,84.0,0.64,1.4,0.8824,20.3,25.3
200,7,0.007,0.0005,5000,25,hyst_0.01,0.01,3,0.64,6,6.0,True,3,3,"{""0"": 3, ""1"": 3, ""2"": 0, ""3"": 16, ""4"": 3}",0.0317,88.0,0.68,1.16,0.8865,20.7,25.0
200,789,0.007,0.0005,5000,25,hyst_0.01,0.01,4,0.92,1,1.0,True,4,4,"{""0"": 2, ""1"": 0, ""2"": 0, ""3"": 0, ""4"": 23}",0.0451,88.0,0.76,1.28,0.8989,20.4,25.5
200,999,0.007,0.0005,5000,25,hyst_0.01,0.01,4,0.64,6,6.0,True,4,4,"{""0"": 3, ""1"": 5, ""2"": 0, ""3"": 1, ""4"": 16}",0.0349,80.0,0.56,1.44,0.8589,19.7,24.9
