seed,plb,rate,quiet,n_windows,rule,base_dom,base_sw,hyst_dom,hyst_sw,hyst_first_half,hyst_second_half,hyst_time_stable,mean_margin,pct_close,elapsed
123,0.007,0.0005,5000,25,both,3,6.0,4,1.0,4,4,True,0.0388,76.0,25.3
1337,0.007,0.0005,5000,25,both,3,3.0,4,1.0,3,4,False,0.0436,88.0,25.0
2024,0.007,0.0005,5000,25,both,3,2.0,4,1.0,4,4,True,0.01,92.0,25.0
314,0.007,0.0005,5000,25,both,3,4.0,4,1.0,4,4,True,0.0105,84.0,25.8
42,0.007,0.0005,5000,25,both,3,4.0,4,1.0,4,4,True,0.0146,84.0,25.2
456,0.007,0.0005,5000,25,both,3,0.0,3,0.0,3,3,True,0.0,100.0,25.0
55,0.007,0.0005,5000,25,both,3,4.0,4,1.0,4,4,True,0.0036,84.0,25.2
7,0.007,0.0005,5000,25,both,3,1.0,3,1.0,3,3,True,0.0317,88.0,25.2
789,0.007,0.0005,5000,25,both,3,4.0,4,1.0,3,4,False,0.0451,88.0,27.4
999,0.007,0.0005,5000,25,both,3,5.0,4,1.0,3,4,False,0.0349,80.0,25.0
123,0.007,0.001,5000,25,both,3,5.0,4,3.0,4,4,True,0.0685,68.0,24.9
1337,0.007,0.001,5000,25,both,3,4.0,4,2.0,4,3,False,0.0283,72.0,25.7
2024,0.007,0.001,5000,25,both,3,6.0,4,1.0,4,4,True,0.0408,68.0,25.3
314,0.007,0.001,5000,25,both,3,6.0,4,1.0,4,4,True,0.0412,72.0,25.0
42,0.007,0.001,5000,25,both,3,5.0,4,3.0,4,4,True,0.0378,68.0,25.8
456,0.007,0.001,5000,25,both,3,4.0,4,1.0,3,4,False,0.0225,84.0,25.5
55,0.007,0.001,5000,25,both,3,10.0,4,1.0,4,4,True,0.061,48.0,25.2
7,0.007,0.001,5000,25,both,3,8.0,4,0.0,4,4,True,0.0637,60.0,25.3
789,0.007,0.001,5000,25,both,3,7.0,4,1.0,3,4,False,0.0335,56.0,25.4
999,0.007,0.001,5000,25,both,3,7.0,4,1.0,4,4,True,0.0603,72.0,25.7
123,0.007,0.002,5000,25,both,4,11.0,4,3.0,4,4,True,0.1236,44.0,25.5
1337,0.007,0.002,5000,25,both,3,7.0,4,1.0,4,4,True,0.087,52.0,25.9
2024,0.007,0.002,5000,25,both,3,4.0,4,1.0,4,4,True,0.0389,68.0,25.1
314,0.007,0.002,5000,25,both,4,12.0,4,3.0,4,4,True,0.156,36.0,25.3
42,0.007,0.002,5000,25,both,4,5.0,4,1.0,4,4,True,0.1233,44.0,25.6
456,0.007,0.002,5000,25,both,3,6.0,4,1.0,3,4,False,0.0538,68.0,25.2
55,0.007,0.002,5000,25,both,4,12.0,4,3.0,4,4,True,0.1888,28.0,27.3
7,0.007,0.002,5000,25,both,4,4.0,4,0.0,4,4,True,0.1079,56.0,25.1
789,0.007,0.002,5000,25,both,3,8.0,4,1.0,3,4,False,0.0823,52.0,25.5
999,0.007,0.002,5000,25,both,3,12.0,4,1.0,4,4,True,0.1075,44.0,25.7
123,0.007,0.005,5000,25,both,4,3.0,4,1.0,4,4,True,0.2668,4.0,25.6
1337,0.007,0.005,5000,25,both,4,6.0,4,0.0,4,4,True,0.1408,28.0,25.5
2024,0.007,0.005,5000,25,both,4,9.0,4,3.0,4,4,True,0.237,24.0,24.9
314,0.007,0.005,5000,25,both,4,6.0,4,2.0,4,4,True,0.3208,12.0,25.6
42,0.007,0.005,5000,25,both,4,3.0,4,1.0,4,4,True,0.3037,8.0,25.7
456,0.007,0.005,5000,25,both,4,5.0,4,1.0,4,4,True,0.2646,20.0,25.6
55,0.007,0.005,5000,25,both,4,9.0,4,3.0,4,4,True,0.2424,16.0,25.7
7,0.007,0.005,5000,25,both,4,6.0,4,0.0,4,4,True,0.2196,20.0,25.3
789,0.007,0.005,5000,25,both,4,7.0,4,1.0,4,4,True,0.1521,20.0,25.4
999,0.007,0.005,5000,25,both,4,3.0,4,1.0,4,4,True,0.2323,8.0,25.8
123,0.008,0.0005,5000,25,both,3,2.0,4,1.0,4,4,True,0.0149,92.0,26.6
1337,0.008,0.0005,5000,25,both,3,7.0,4,1.0,3,4,False,0.0446,72.0,26.3
2024,0.008,0.0005,5000,25,both,3,4.0,4,1.0,4,4,True,0.0225,80.0,26.5
314,0.008,0.0005,5000,25,both,3,2.0,4,1.0,3,4,False,0.0071,92.0,26.7
42,0.008,0.0005,5000,25,both,3,4.0,4,1.0,3,4,False,0.013,84.0,26.7
456,0.008,0.0005,5000,25,both,3,2.0,4,1.0,3,4,False,0.0115,92.0,26.6
55,0.008,0.0005,5000,25,both,3,5.0,4,1.0,4,4,True,0.0375,68.0,26.7
