point_id,p_link_birth,bg_inject,seed,quiet_steps,eta_ratio,collapse_flag,cycles_total,cycles_per_1k,time_to_first_cycle,opp_per_1k,min_links,s03,max_s,spr,compress,X,R,C,B,strong_cov,miss_strong,miss_energy,miss_state,miss_sync,elapsed
P1,0.007,0.003,123,5000,1.4272,False,195,39.0,356,22.6,116,0,0.2911,0.0628,0.5134,0.9661,0,0.5134,0.0628,0,0.74,0.095,0.066,0.1,23.6
P1,0.007,0.003,1337,5000,1.6182,False,219,43.8,480,20.0,115,3,0.6068,0.0679,0.5127,1.0185,0,0.5127,0.0679,0.25,0.735,0.093,0.075,0.097,25.2
P1,0.007,0.003,2024,5000,1.353,False,179,35.8,388,23.6,102,8,0.7144,0.0633,0.5181,0.9394,0,0.5181,0.0633,0.2812,0.752,0.088,0.045,0.115,23.3
P1,0.007,0.003,314,5000,1.3811,False,166,33.2,614,20.6,103,5,0.7392,0.0679,0.5014,0.9013,0,0.5014,0.0679,0.3889,0.764,0.097,0.046,0.093,23.9
P1,0.007,0.003,42,5000,1.309,False,233,46.6,435,22.0,123,9,0.6398,0.0733,0.4946,1.034,0,0.4946,0.0733,0.4062,0.737,0.092,0.058,0.112,19.2
P1,0.007,0.003,456,5000,1.5381,False,180,36.0,375,26.0,107,7,0.4089,0.0729,0.5038,0.9367,0,0.5038,0.0729,0.6364,0.753,0.094,0.047,0.106,23.8
P1,0.007,0.003,55,5000,1.4253,False,219,43.8,356,16.4,110,10,0.9021,0.0536,0.5333,1.0249,0,0.5333,0.0536,0.2895,0.775,0.074,0.059,0.092,23.6
P1,0.007,0.003,7,5000,1.5956,False,199,39.8,407,20.2,111,4,0.793,0.0623,0.5186,0.9789,0,0.5186,0.0623,0.3125,0.762,0.066,0.055,0.117,23.6
P1,0.007,0.003,789,5000,1.4414,False,196,39.2,545,25.4,109,11,0.7155,0.0672,0.5133,0.9725,0,0.5133,0.0672,0.3636,0.745,0.08,0.064,0.111,23.7
P1,0.007,0.003,999,5000,1.467,False,180,36.0,398,18.6,120,9,0.8755,0.0624,0.5153,0.9377,0,0.5153,0.0624,0.4118,0.789,0.08,0.034,0.097,23.3
P2,0.008,0.003,123,5000,1.4558,False,225,45.0,424,26.0,134,9,0.8833,0.0922,0.4431,0.9854,0,0.4431,0.0922,0.4375,0.691,0.154,0.064,0.091,25.3
P2,0.008,0.003,1337,5000,1.4987,False,201,40.2,385,29.6,115,13,0.7708,0.0802,0.4612,0.9433,0,0.4612,0.0802,0.4773,0.707,0.112,0.059,0.122,24.9
P2,0.008,0.003,2024,5000,1.3702,False,208,41.6,412,35.2,128,13,0.6432,0.0896,0.4457,0.9513,0,0.4457,0.0896,0.4318,0.713,0.126,0.057,0.104,25.0
P2,0.008,0.003,314,5000,1.3799,False,184,36.8,566,24.8,131,10,0.5912,0.099,0.4334,0.9005,0,0.4334,0.099,0.5333,0.678,0.167,0.044,0.111,25.2
P2,0.008,0.003,42,5000,1.3237,False,252,50.4,384,27.0,141,4,0.899,0.0923,0.4493,1.0456,0,0.4493,0.0923,0.3125,0.695,0.142,0.06,0.103,24.7
P2,0.008,0.003,456,5000,1.6333,False,229,45.8,490,27.6,134,14,0.7986,0.0898,0.4469,0.9947,0,0.4469,0.0898,0.44,0.708,0.118,0.062,0.112,25.0
P2,0.008,0.003,55,5000,1.4218,False,241,48.2,536,25.6,135,12,0.519,0.0875,0.4529,1.0224,0,0.4529,0.0875,0.5,0.702,0.127,0.06,0.111,25.1
