seed,window_id,step_start,step_end,island_count,max_island_size,island_sizes_str,loop3,loop4,loop5,strength_entropy,X_total,C,B,active_links
123,1,300,500,4,6,"[6, 4, 4, 3]",0,0,0,1.6548,0.4789,0.2873,0.1916,214
123,2,500,700,1,9,[9],0,0,0,1.286,0.5234,0.4461,0.0773,194
123,3,700,900,2,4,"[4, 3]",0,0,0,1.3885,0.5075,0.402,0.1055,199
123,4,900,1100,2,3,"[3, 3]",0,0,0,1.6004,0.4605,0.3107,0.1497,187
123,5,1100,1300,0,0,[],0,0,0,1.0162,0.6283,0.5623,0.066,197
123,6,1300,1500,0,0,[],0,0,0,1.3494,0.4974,0.4188,0.0785,191
123,7,1500,1700,2,4,"[4, 3]",0,0,0,1.388,0.5601,0.4022,0.1579,209
123,8,1700,1900,2,5,"[5, 4]",0,0,0,1.586,0.4561,0.3169,0.1392,194
123,9,1900,2100,0,0,[],0,0,0,1.3359,0.5141,0.4246,0.0895,190
123,10,2100,2300,2,4,"[4, 3]",0,0,0,1.3277,0.5227,0.4282,0.0945,201
123,11,2300,2500,1,5,[5],0,0,0,1.7632,0.3454,0.2406,0.1048,210
123,12,2500,2700,2,4,"[4, 3]",0,0,0,1.5958,0.4365,0.3127,0.1238,202
123,13,2700,2900,2,5,"[5, 3]",0,0,0,1.4758,0.5296,0.3644,0.1652,224
123,14,2900,3100,1,4,[4],0,0,0,1.3491,0.4592,0.419,0.0402,199
123,15,3100,3300,3,4,"[4, 4, 3]",0,0,0,1.3879,0.516,0.4023,0.1137,211
123,16,3300,3500,0,0,[],0,0,0,1.129,0.5863,0.5138,0.0725,193
123,17,3500,3700,0,0,[],0,0,0,1.6349,0.3544,0.2959,0.0585,205
123,18,3700,3900,3,3,"[3, 3, 3]",0,0,0,1.4953,0.4129,0.356,0.0569,211
123,19,3900,4100,1,3,[3],0,0,0,1.5467,0.4736,0.3339,0.1397,229
123,20,4100,4300,0,0,[],0,0,0,1.1909,0.5604,0.4871,0.0733,191
123,21,4300,4500,1,3,[3],0,0,0,1.4653,0.491,0.3689,0.1221,172
123,22,4500,4700,2,5,"[5, 3]",0,0,0,1.63,0.4213,0.298,0.1233,219
123,23,4700,4900,1,3,[3],0,0,0,1.5581,0.3686,0.3289,0.0396,202
123,24,4900,5100,2,4,"[4, 4]",0,0,0,1.2317,0.5774,0.4695,0.1078,204
123,25,5100,5300,1,3,[3],0,0,0,1.558,0.3987,0.329,0.0697,201
