e_syn,e_auto,n_seeds,med_cyc_1k,med_types,med_type_ent,med_top1,med_sa_ratio,med_island,med_coex,med_X,min_links_worst,any_runaway,seeds_cyc
0.05,0.0,10,50.7,2.0,0.962,0.6142,3.478,1.64,0.52,0.4782,169,False,10
0.05,0.01,10,49.5,2.0,0.9609,0.6158,3.304,1.64,0.52,0.4772,169,False,10
0.05,0.03,10,49.4,2.0,0.965,0.6097,3.227,1.68,0.52,0.4838,169,False,10
0.08,0.0,10,47.1,2.0,0.9616,0.6146,3.129,1.8,0.58,0.4802,165,False,10
0.08,0.01,10,49.6,2.0,0.955,0.6242,3.126,1.9,0.6,0.4804,169,False,10
0.08,0.03,10,50.2,2.0,0.955,0.6242,3.194,1.82,0.58,0.4806,169,False,10
0.12,0.0,10,49.1,2.0,0.9543,0.6251,3.548,1.7,0.54,0.4727,169,False,10
0.12,0.01,10,51.3,2.0,0.9594,0.6178,3.399,1.9,0.6,0.474,169,False,10
0.12,0.03,10,50.0,2.0,0.9572,0.6212,3.543,1.72,0.54,0.4725,169,False,10
0.16,0.0,10,49.1,2.0,0.957,0.6214,2.976,1.72,0.52,0.4732,169,False,10
0.16,0.01,10,49.7,2.0,0.9608,0.6159,3.158,1.74,0.52,0.4735,169,False,10
0.16,0.03,10,48.9,2.0,0.9583,0.6195,2.98,1.7,0.52,0.4732,164,False,10
