seed,e_syn,e_auto,cycles,cycles_per_1k,cycle_type_count,cycle_type_entropy,top1_share,syn_count,auto_count,syn_auto_ratio,mean_island,coexistence_rate,island_births,island_deaths,spr,X,min_links,runaway,elapsed
123,0.05,0.0,264,52.8,2,0.9457,0.6364,153,44,3.477,1.64,0.56,41,39,0.1225,0.4761,186,False,27.1
1337,0.05,0.0,259,51.8,2,0.9246,0.6602,140,77,1.818,1.6,0.52,40,39,0.1064,0.4675,169,False,27.2
2024,0.05,0.0,256,51.2,2,0.9573,0.6211,152,50,3.04,1.76,0.52,44,42,0.1066,0.4846,175,False,26.7
314,0.05,0.0,256,51.2,2,0.9677,0.6055,155,43,3.605,1.24,0.32,31,28,0.0964,0.4782,174,False,26.8
42,0.05,0.0,269,53.8,2,0.9779,0.5874,160,46,3.478,1.64,0.64,41,40,0.1206,0.4661,176,False,26.8
456,0.05,0.0,244,48.8,2,0.9588,0.6189,147,51,2.882,1.84,0.56,46,45,0.1216,0.4744,174,False,26.7
55,0.05,0.0,228,45.6,2,0.973,0.5965,138,38,3.632,1.6,0.48,40,40,0.128,0.4816,178,False,27.1
7,0.05,0.0,226,45.2,2,0.9672,0.6062,140,28,5.0,1.68,0.48,42,41,0.12,0.4853,170,False,27.4
789,0.05,0.0,251,50.2,2,0.9651,0.6096,143,55,2.6,1.52,0.48,38,38,0.1135,0.4782,176,False,26.8
999,0.05,0.0,238,47.6,2,0.9505,0.6303,150,37,4.054,1.88,0.52,47,43,0.1167,0.485,179,False,26.6
123,0.05,0.01,263,52.6,2,0.9468,0.635,152,44,3.455,1.64,0.56,41,39,0.1225,0.4761,186,False,26.9
1337,0.05,0.01,259,51.8,2,0.9246,0.6602,140,77,1.818,1.6,0.52,40,39,0.1064,0.4675,169,False,26.6
2024,0.05,0.01,266,53.2,2,0.963,0.6128,155,50,3.1,1.92,0.6,48,47,0.1112,0.4879,175,False,26.8
314,0.05,0.01,233,46.6,2,0.9564,0.6223,145,46,3.152,1.6,0.44,40,35,0.099,0.4729,174,False,26.6
