seed,window,rate,n_C,r_000,r_001,r_010,r_011,r_100,r_101,r_110,r_111,bd_0,bd_1,sz_0,sz_1,f_0,f_1,intr_0,intr_1,intr_2p,cp_full_types,cp_full_entropy
42,1,0.002,117,108,9,0,0,0,0,0,0,117,0,117,0,62,55,109,6,2,8,1.7787
42,2,0.002,88,75,4,0,5,0,0,0,4,83,5,83,5,41,47,84,1,3,12,1.9767
42,3,0.002,33,23,5,0,2,0,0,0,3,28,5,30,3,16,17,33,0,0,8,2.3223
42,4,0.002,4,3,0,0,1,0,0,0,0,4,0,3,1,2,2,3,1,0,4,2.0
42,5,0.002,11,10,0,0,1,0,0,0,0,10,1,10,1,7,4,11,0,0,3,1.3222
42,6,0.002,20,11,6,0,2,0,0,0,1,19,1,20,0,8,12,20,0,0,7,2.4905
42,7,0.002,15,13,2,0,0,0,0,0,0,15,0,15,0,8,7,15,0,0,4,1.5628
42,8,0.002,4,4,0,0,0,0,0,0,0,4,0,4,0,2,2,3,0,1,3,1.5
42,9,0.002,17,13,4,0,0,0,0,0,0,17,0,17,0,7,10,17,0,0,4,1.659
42,10,0.002,24,20,1,0,2,0,0,0,1,21,3,24,0,10,14,21,2,1,8,2.3129
42,11,0.002,14,10,1,0,3,0,0,0,0,11,3,12,2,8,6,12,2,0,6,2.1488
42,12,0.002,9,6,1,0,1,0,0,0,1,7,2,9,0,5,4,9,0,0,5,2.0588
42,13,0.002,16,9,1,0,2,0,0,0,4,10,6,14,2,8,8,14,2,0,8,2.6494
42,14,0.002,13,8,3,0,2,0,0,0,0,11,2,13,0,7,6,13,0,0,5,2.1339
42,15,0.002,14,7,2,0,5,0,0,0,0,10,4,14,0,7,7,14,0,0,6,2.4677
42,16,0.002,14,11,2,0,0,0,0,0,1,13,1,14,0,4,10,14,0,0,4,1.6106
42,17,0.002,16,14,0,0,2,0,0,0,0,14,2,16,0,9,7,15,0,1,4,1.6774
42,18,0.002,11,9,0,0,1,0,0,0,1,10,1,11,0,6,5,10,0,1,5,2.0049
42,19,0.002,10,8,0,0,1,0,0,0,1,8,2,9,1,5,5,8,2,0,5,2.0464
42,20,0.002,14,11,1,0,2,0,0,0,0,12,2,14,0,7,7,13,1,0,6,2.1281
42,21,0.002,17,14,0,0,3,0,0,0,0,14,3,17,0,7,10,16,1,0,4,1.6457
42,22,0.002,14,12,1,0,1,0,0,0,0,13,1,14,0,7,7,13,0,1,4,1.5744
42,23,0.002,15,11,2,0,0,0,0,0,2,14,1,15,0,6,9,11,2,2,7,2.3589
42,24,0.002,10,7,0,0,1,0,0,0,2,8,2,8,2,2,8,9,1,0,6,2.161
42,25,0.002,11,5,4,0,1,0,0,0,1,9,2,11,0,4,7,11,0,0,6,2.4131
