seed,rate,window,k,eta,type_count,H_k,drift_k,J_k,flags
7,0.0,1,0,0.4728,1,-0.0,,-0.5,"drift_missing,low_eta"
7,0.0,1,1,0.4728,3,0.5132,,-0.4868,"drift_missing,low_eta"
7,0.0,1,2,0.4728,4,0.8358,,-0.3252,"drift_missing,low_eta"
7,0.0,1,3,0.4728,4,0.8358,,-0.3252,"drift_missing,low_eta"
7,0.0,1,4,0.4728,4,0.8358,,-0.3252,"drift_missing,low_eta"
7,0.0,2,0,0.4728,1,-0.0,0.0,-0.5,low_eta
7,0.0,2,1,0.4728,3,0.5412,0.0451,-0.4137,low_eta
7,0.0,2,2,0.4728,4,0.9291,0.0553,-0.1766,low_eta
7,0.0,2,3,0.4728,4,0.9291,0.0553,-0.1766,low_eta
7,0.0,2,4,0.4728,4,0.9291,0.0553,-0.1766,low_eta
7,0.0,3,0,0.4728,1,-0.0,0.0,-0.5,low_eta
7,0.0,3,1,0.4728,3,0.5132,0.0451,-0.4417,low_eta
7,0.0,3,2,0.4728,3,0.5132,0.2081,-0.2787,low_eta
7,0.0,3,3,0.4728,3,0.5132,0.2081,-0.2787,low_eta
7,0.0,3,4,0.4728,3,0.5132,0.2081,-0.2787,low_eta
7,0.0,4,0,0.4728,1,-0.0,0.0,-0.5,low_eta
7,0.0,4,1,0.4728,3,1.3516,0.366,0.7176,low_eta
7,0.0,4,2,0.4728,4,1.7527,0.7635,1.3552,low_eta
7,0.0,4,3,0.4728,4,1.7527,0.7635,1.3552,low_eta
7,0.0,4,4,0.4728,4,1.7527,0.7635,1.3552,low_eta
7,0.0,5,0,0.4728,1,-0.0,0.0,-0.5,low_eta
7,0.0,5,1,0.4728,3,0.8684,0.2407,0.1091,low_eta
7,0.0,5,2,0.4728,4,1.3716,0.5252,0.7358,low_eta
7,0.0,5,3,0.4728,4,1.3716,0.5252,0.7358,low_eta
7,0.0,5,4,0.4728,4,1.3716,0.5252,0.7358,low_eta
7,0.0,6,0,0.4728,1,-0.0,0.0,-0.5,low_eta
7,0.0,6,1,0.4728,3,1.4197,0.2354,0.6551,low_eta
7,0.0,6,2,0.4728,4,1.9363,0.4423,1.2176,low_eta
7,0.0,6,3,0.4728,4,1.9363,0.4423,1.2176,low_eta
7,0.0,6,4,0.4728,4,1.9363,0.4423,1.2176,low_eta
7,0.0,7,0,0.4728,1,-0.0,0.0,-0.5,low_eta
7,0.0,7,1,0.4728,1,-0.0,0.5134,0.0134,low_eta
7,0.0,7,2,0.4728,1,-0.0,0.7914,0.2914,low_eta
7,0.0,7,3,0.4728,1,-0.0,0.7914,0.2914,low_eta
