seed,rate,window,k_star,J_star,eta,type_count_kstar,H_kstar,drift_kstar,flags
7,0.0,1,2,-0.3252,0.4728,4,0.8358,,"drift_missing,low_eta"
7,0.0,2,2,-0.1766,0.4728,4,0.9291,0.0553,low_eta
7,0.0,3,2,-0.2787,0.4728,3,0.5132,0.2081,low_eta
7,0.0,4,2,1.3552,0.4728,4,1.7527,0.7635,low_eta
7,0.0,5,2,0.7358,0.4728,4,1.3716,0.5252,low_eta
7,0.0,6,2,1.2176,0.4728,4,1.9363,0.4423,low_eta
7,0.0,7,2,0.2914,0.4728,1,-0.0,0.7914,low_eta
7,0.0,8,2,0.1147,0.4728,3,0.8167,0.298,low_eta
7,0.0,9,2,1.607,0.4728,4,1.9219,0.8461,low_eta
7,0.0,10,2,0.5,0.4728,1,-0.0,1.0,low_eta
7,0.0,11,1,-0.022,0.4728,2,0.5226,0.2479,low_eta
7,0.0,12,2,-0.1465,0.4728,3,0.5304,0.3231,low_eta
7,0.0,13,2,-0.2832,0.4728,1,-0.0,0.2168,low_eta
7,0.0,14,2,0.2691,0.4728,4,1.0862,0.3439,low_eta
7,0.0,15,2,-0.1414,0.4728,3,0.6998,0.1588,low_eta
7,0.0,16,2,0.2889,0.4728,4,1.2366,0.2133,low_eta
7,0.0,17,2,-0.115,0.4728,1,-0.0,0.385,low_eta
7,0.0,18,2,0.6788,0.4728,3,1.2419,0.4369,low_eta
7,0.0,19,2,0.952,0.4728,4,1.8329,0.2801,low_eta
7,0.0,20,2,0.4279,0.4728,3,1.1181,0.3098,low_eta
7,0.0,21,2,0.4246,0.4728,4,1.2917,0.2939,low_eta
7,0.0,22,2,-0.0999,0.4728,1,-0.0,0.4001,low_eta
7,0.0,23,2,0.1781,0.4728,3,0.8659,0.3122,low_eta
7,0.0,24,2,1.3877,0.4728,4,1.9183,0.6304,low_eta
7,0.0,25,2,0.5966,0.4728,4,1.2304,0.5272,low_eta
42,0.0,1,2,-0.3406,0.4678,4,0.8204,,"drift_missing,low_eta"
