seed,window,rate,frac_hit_C,drift4_hit,drift4_nohit,ratio
7,2,0.0,0.0,,0.0553,
7,3,0.0,0.0,,0.2081,
7,4,0.0,0.0,,0.7635,
7,5,0.0,0.0,,0.5252,
7,6,0.0,0.0,,0.4423,
7,7,0.0,0.0,,0.7914,
7,8,0.0,0.0,,0.298,
7,9,0.0,0.0,,0.8461,
7,10,0.0,0.0,,1.0,
7,11,0.0,0.0,,0.2479,
7,12,0.0,0.0,,0.3231,
7,13,0.0,0.0,,0.2168,
7,14,0.0,0.0,,0.3439,
7,15,0.0,0.0,,0.1588,
7,16,0.0,0.0,,0.2133,
7,17,0.0,0.0,,0.385,
7,18,0.0,0.0,,0.4369,
7,19,0.0,0.0,,0.2801,
7,20,0.0,0.0,,0.3098,
7,21,0.0,0.0,,0.2939,
7,22,0.0,0.0,,0.4001,
7,23,0.0,0.0,,0.3122,
7,24,0.0,0.0,,0.6304,
7,25,0.0,0.0,,0.5272,
42,2,0.0,0.0,,0.1491,
42,3,0.0,0.0,,0.2478,
42,4,0.0,0.0,,0.1568,
42,5,0.0,0.0,,0.2812,
42,6,0.0,0.0,,0.1391,
42,7,0.0,0.0,,0.0774,
42,8,0.0,0.0,,0.4235,
42,9,0.0,0.0,,0.4001,
42,10,0.0,0.0,,0.4001,
42,11,0.0,0.0,,0.3287,
42,12,0.0,0.0,,0.2582,
42,13,0.0,0.0,,0.1011,
42,14,0.0,0.0,,0.0361,
42,15,0.0,0.0,,0.3202,
42,16,0.0,0.0,,0.2949,
42,17,0.0,0.0,,0.3714,
42,18,0.0,0.0,,0.1734,
42,19,0.0,0.0,,0.6372,
42,20,0.0,0.0,,0.7133,
42,21,0.0,0.0,,0.4631,
42,22,0.0,0.0,,0.2148,
42,23,0.0,0.0,,0.3441,
42,24,0.0,0.0,,0.2536,
42,25,0.0,0.0,,0.2063,
55,2,0.0,0.0,,0.1054,
55,3,0.0,0.0,,0.1424,
55,4,0.0,0.0,,0.1736,
55,5,0.0,0.0,,0.3947,
55,6,0.0,0.0,,0.3086,
55,7,0.0,0.0,,0.4863,
55,8,0.0,0.0,,0.2648,
55,9,0.0,0.0,,0.2458,
55,10,0.0,0.0,,0.4926,
55,11,0.0,0.0,,0.6816,
55,12,0.0,0.0,,0.5764,
55,13,0.0,0.0,,0.1738,
55,14,0.0,0.0,,0.4173,
55,15,0.0,0.0,,0.5579,
55,16,0.0,0.0,,0.5168,
55,17,0.0,0.0,,0.1719,
55,18,0.0,0.0,,0.3763,
55,19,0.0,0.0,,0.2495,
