step,node_id,state,energy,phase_theta,degree
300,0,C,0.905071,3.962485,2
300,1,C,0.933989,3.887097,2
300,2,C,0.957063,4.4565,2
300,3,C,0.889494,5.132708,4
300,4,C,0.983069,2.819715,3
300,5,C,0.939527,3.803234,4
300,6,C,0.8335,1.323451,3
300,7,Dust,0.814751,4.342998,2
300,8,C,0.891155,3.05524,5
300,9,C,0.980974,4.066331,3
300,10,B,0.980157,2.650543,4
300,11,C,0.98493,2.418931,2
300,12,C,0.9835,5.020729,3
300,13,C,0.886861,5.243438,3
300,14,Dust,0.953753,5.990589,2
300,15,A,0.866623,2.112253,3
300,16,B,0.928663,0.736182,2
300,17,Dust,0.894093,1.081642,4
300,18,C,0.931532,4.49173,1
300,19,C,0.968277,5.46202,2
300,20,Dust,0.913873,0.541116,2
300,21,Dust,0.884126,6.159011,4
300,22,C,0.900803,4.183338,4
300,23,B,0.936689,4.161723,1
300,24,Dust,0.81372,4.969273,3
300,25,C,0.819283,5.271829,3
300,26,Dust,0.981647,5.710047,3
300,27,C,0.850553,5.320013,3
300,28,C,0.948689,2.000664,3
300,29,B,0.912815,4.826965,1
300,30,Dust,0.951896,3.999069,2
300,31,B,0.912867,4.592905,3
300,32,C,0.970373,5.616571,0
300,33,C,0.925273,1.172635,2
300,34,C,0.756282,4.169726,2
300,35,C,0.901158,4.931542,4
300,36,C,0.98095,4.002033,3
300,37,B,0.942529,3.627221,4
300,38,C,0.735782,2.364831,2
300,39,B,0.979344,3.598785,3
300,40,B,0.828533,4.098069,3
300,41,C,0.94194,3.333741,2
300,42,C,0.93225,1.19596,3
300,43,A,0.925146,4.210644,3
300,44,B,0.946233,5.031975,4
300,45,C,0.981089,3.162351,2
300,46,C,0.876741,5.855686,3
300,47,C,0.933843,4.668914,5
300,48,C,0.967769,4.720104,2
300,49,B,0.931416,0.180426,1
300,50,A,0.983334,5.392019,3
300,51,Dust,0.824918,0.269801,2
300,52,C,0.960118,3.00784,2
300,53,Dust,0.981258,5.681843,2
300,54,A,0.910765,5.279711,2
300,55,B,0.933684,4.57265,3
300,56,B,0.833944,5.433547,3
300,57,Dust,0.821598,0.539194,2
300,58,A,0.975029,5.614081,5
300,59,B,0.963407,4.355424,3
300,60,Dust,0.895348,4.581003,4
300,61,B,0.949869,5.21681,3
300,62,Dust,0.929902,4.321511,5
300,63,A,0.83348,3.599959,3
300,64,B,0.941071,4.343401,4
300,65,C,0.877263,4.466533,4
300,66,B,0.898828,4.284209,5
300,67,Dust,0.952024,4.829686,7
300,68,A,0.861103,3.337082,5
300,69,C,0.968905,6.207699,5
300,70,B,0.94572,4.559247,4
300,71,B,0.869733,4.297485,3
300,72,C,0.930815,5.559837,3
300,73,C,0.971382,6.071179,3
300,74,C,0.964341,3.046681,5
300,75,Dust,0.858954,4.53293,4
300,76,Dust,0.864167,3.928518,3
300,77,B,0.970025,3.665548,1
300,78,Dust,0.515089,4.264037,0
300,79,Dust,0.915803,2.122435,4
300,80,C,0.8897,0.095287,3
300,81,Dust,0.75311,1.073156,0
300,82,B,0.887043,1.350401,4
300,83,C,0.931032,3.071549,2
300,84,Dust,0.916873,4.313101,3
300,85,Dust,0.918996,2.852049,2
300,86,Dust,0.832242,1.093084,4
300,87,A,0.930259,5.339708,2
300,88,B,0.870563,3.510996,4
300,89,B,0.90994,3.991826,2
300,90,Dust,0.933392,5.124551,5
300,91,C,0.937903,3.390813,4
300,92,C,0.978841,3.79451,3
300,93,C,0.970106,5.28794,2
300,94,C,0.878185,5.50453,4
300,95,Dust,0.888788,3.734445,3
300,96,C,0.870691,5.126052,4
300,97,C,0.868682,4.739337,3
300,98,C,0.960282,3.751477,3
300,99,C,0.881631,3.183705,4
300,100,C,0.950437,5.145526,3
300,101,Dust,0.858583,3.962393,1
300,102,C,0.83041,3.475981,1
300,103,A,0.900087,4.712461,0
300,104,C,0.835029,5.181604,2
300,105,B,0.415412,1.257498,0
300,106,C,0.953622,3.415926,2
300,107,B,0.93184,3.563799,5
300,108,C,0.939161,5.450647,2
300,109,C,0.914321,2.924326,3
300,110,C,0.963487,3.349159,5
300,111,B,0.942629,2.214254,3
300,112,C,0.94859,2.201399,6
300,113,C,0.866925,3.046659,3
300,114,Dust,0.984772,4.565682,2
300,115,C,0.964775,3.412016,3
300,116,C,0.873348,1.561505,2
300,117,A,0.928935,2.461914,6
300,118,A,0.940562,2.481137,4
300,119,C,0.802901,1.457696,3
300,120,C,0.89921,3.287909,3
300,121,C,0.877766,2.142092,2
300,122,Dust,0.937422,4.50479,3
300,123,C,0.890332,2.790424,2
300,124,C,0.967248,2.008663,2
300,125,Dust,0.969289,0.357894,5
300,126,C,0.982544,0.115298,2
300,127,C,0.970263,0.193727,2
300,128,C,0.876778,3.190204,2
300,129,Dust,0.969083,0.921034,3
300,130,B,0.947342,4.472022,4
300,131,B,0.950351,0.014102,5
300,132,C,0.967898,0.134367,2
300,133,C,0.909047,1.406738,4
300,134,C,0.897244,1.517322,4
300,135,B,0.956822,0.800768,3
300,136,C,0.909867,0.033763,4
300,137,C,0.939046,5.034632,1
300,138,Dust,0.984848,5.401436,2
300,139,Dust,0.963708,4.68009,3
300,140,C,0.865857,0.218594,1
300,141,B,0.72834,2.556094,1
300,142,C,0.959892,4.368299,4
300,143,B,0.981196,4.454274,3
300,144,A,0.955365,4.405439,1
300,145,B,0.952111,3.442462,3
300,146,C,0.879821,0.260942,3
300,147,B,0.941901,3.594503,3
300,148,Dust,0.914555,0.085339,4
300,149,Dust,0.932779,3.596322,4
300,150,B,0.909733,2.730615,3
300,151,A,0.93782,4.951718,2
300,152,Dust,0.824554,3.636124,1
300,153,B,0.933472,2.110785,2
300,154,B,0.819871,0.891249,2
300,155,C,0.757332,2.678156,1
300,156,B,0.89437,1.276808,1
300,157,B,0.931622,3.272022,3
300,158,Dust,0.983542,4.508631,3
300,159,Dust,0.800514,2.995943,1
300,160,C,0.959367,1.539621,1
300,161,B,0.871333,4.391318,2
300,162,B,0.981191,1.758259,2
300,163,B,0.943301,3.218622,3
300,164,C,0.89407,4.745059,3
300,165,A,0.913725,0.456107,0
300,166,C,0.862897,4.878908,3
300,167,B,0.965633,5.03707,4
300,168,B,0.881148,5.720462,1
300,169,C,0.970085,4.10634,2
300,170,C,0.968854,5.771362,2
300,171,Dust,0.766489,5.364224,2
300,172,C,0.878741,4.515586,1
300,173,Dust,0.861001,3.993823,3
300,174,B,0.953133,4.101466,3
300,175,Dust,0.969707,1.161142,2
300,176,Dust,0.923139,4.3471,4
300,177,C,0.940838,3.906715,5
300,178,Dust,0.967373,3.114572,3
300,179,B,0.926129,3.322068,5
300,180,C,0.898708,2.463667,4
300,181,C,0.885193,3.476596,4
300,182,C,0.94885,3.864186,3
300,183,B,0.841106,4.390931,4
300,184,C,0.949827,2.771604,3
300,185,B,0.913661,4.163533,4
300,186,B,0.98307,1.415159,3
300,187,C,0.924936,2.719319,3
300,188,C,0.842115,3.463702,2
300,189,Dust,0.861484,4.389708,4
300,190,C,0.91747,6.106314,3
300,191,C,0.951079,2.449923,3
300,192,B,0.967777,3.582352,2
300,193,C,0.850674,5.744028,3
300,194,C,0.970037,3.244916,1
300,195,C,0.844697,1.127751,1
300,196,C,0.856453,6.187394,3
300,197,Dust,0.756562,2.785492,3
300,198,C,0.95286,0.030009,3
300,199,B,0.921923,2.987491,2
