window,alive_nodes,alive_links,n_clusters,max_size,k_star,entropy,milestone,physics_seconds,stressed,calcified,mean_omega,stress_intensity,link_ema,total_rplus,budget,v_labels,v_born,v_died,v_torque_n,v_mean_torque,v_top_share,v_label_rplus_rate,v_oldest_age,v_mean_age,v_mean_share_5node,v_share_std,v_births_5node,v_deaths_5node,macro_nodes_active,compressed_links_removed,occ_max,occ_mean,occ_nonzero,vacancy_mean,history_max,history_gini,lw_n_oasis,lw_n_penalty,lw_n_neutral,lw_edge_oo,lw_edge_op,lw_edge_pp,thaw_mean_jaccard,thaw_mean_pressure,thaw_mean_add,thaw_mean_drop,thaw_mean_range,fb_died_share,fb_ema,fb_ratio,fb_multiplier,fb_warmup
1,5000,6035,18,6,0,1.9985,0,16.6,0,0,6.58,1.0,6035.0,633,1.0,387,593,206,2157,0.000901,0.0087,418.9907,0,0.0,0.0056,0.0012,1,0,0,0,0.040816,0.015625,64,0.6172,0.0408,0.259,88,212,87,2045,1357,1508,1.0,0.0,0,0,0,0.002551,0.002551,1.0,1.0,1
2,5000,4283,3,5,0,1.9986,0,15.7,474,3776,5.63,0.967,4434.1,507,1.0,378,17,26,2218,0.001036,0.0098,379.7753,1,1.0,0.0072,0.0013,1,0,0,0,0.033372,0.015625,64,0.5318,0.0656,0.2446,93,196,89,1404,1327,795,1.0,0.0,0,0,0,0.008055,0.00622,1.295,1.0,1
3,5000,3685,1,4,0,1.9986,0,15.5,306,3359,5.12,0.9749,3784.8,326,1.0,315,9,72,2207,0.00099,0.0127,291.3669,2,1.9,0.0039,0.0015,0,0,0,0,0.033216,0.015625,64,0.5296,0.0955,0.2355,91,143,81,979,1306,698,1.0,0.0,0,0,0,0.033216,0.019718,1.6845,1.0,1
4,5000,3367,3,5,0,1.9986,0,15.3,82,3277,4.82,0.9745,3461.3,90,1.0,227,6,94,1941,0.001215,0.0135,121.6216,3,2.9,0.006,0.0022,1,0,0,0,0.039238,0.015625,64,0.6018,0.1259,0.2448,78,90,59,886,1324,516,1.0,0.0,0,0,0,0.070628,0.040082,1.7621,1.0,1
5,5000,3328,1,5,0,1.9985,0,15.3,20,3308,4.71,0.9853,3377.7,20,1.0,202,4,29,1619,0.001461,0.0166,35.5872,4,3.8,0.0125,0.003,1,0,0,0,0.04485,0.015625,61,0.6516,0.1541,0.2488,74,73,55,837,1315,546,1.0,0.0,0,0,0,0.006645,0.028936,0.2296,1.0,1
6,5000,3251,1,3,0,1.9985,2,15.3,7,3244,4.66,0.9917,3278.1,7,1.0,179,5,28,1472,0.001558,0.0247,15.1844,5,4.6,0.0093,0.0036,0,0,0,0,0.05144,0.015625,60,0.6963,0.185,0.2563,67,63,49,835,1238,530,1.0,0.0,0,0,0,0.0,0.020669,0.0,1.0,1
7,5000,3117,0,0,0,1.9985,2,15.2,3,3114,4.54,0.9737,3201.3,3,1.0,153,0,26,1342,0.001677,0.0201,6.4103,6,5.7,0.0161,0.0038,0,1,0,0,0.042254,0.015625,59,0.6302,0.2272,0.2605,58,52,43,801,1217,504,1.0,0.0,0,0,0,0.006036,0.017011,0.3549,1.0,1
8,5000,3151,1,5,0,1.995,1,15.2,3,3143,4.66,0.9846,3200.2,8,1.0,138,1,16,1265,0.001761,0.0285,19.9501,7,6.7,0.019,0.0045,1,0,0,0,0.061758,0.015625,58,0.747,0.2464,0.2674,55,46,37,799,1257,522,1.0,0.0,0,0,0,0.0,0.01323,0.0,1.0,1
9,5000,3163,1,3,3,1.992,1,15.2,3154,0,4.62,1.0029,3156.9,12,1.0,133,8,13,1247,0.001729,0.0226,31.746,8,7.3,0.0157,0.0044,0,0,0,0,0.057644,0.015625,58,0.7289,0.2865,0.2733,50,45,38,783,1261,536,1.0,0.0,0,0,0,0.002506,0.011086,0.2261,1.0,1
10,5000,3179,2,4,0,1.9799,2,15.2,3180,0,4.58,1.0081,3169.3,15,1.0,121,4,16,1193,0.001838,0.0262,38.1471,9,8.1,0.019,0.005,0,0,0,0,0.047244,0.015625,55,0.6693,0.3337,0.2803,47,39,35,818,1256,527,1.0,0.0,0,0,0,0.002625,0.009547,0.2749,1.0,1
