seed,window,phase,lid,n_core,s_avg,r_core,b_gen,phase_sig,links_total
0,0,maturation,0,5,0.339566,0.804072,1.365176,-0.614067,3077
0,0,maturation,1,3,0.273353,0.964725,0.791132,-0.369012,3077
0,0,maturation,2,5,0.394247,0.899805,1.773728,0.768318,3077
0,0,maturation,4,2,0.033979,0.810159,0.055057,2.759863,3077
0,0,maturation,6,2,0.008854,0.95324,0.016881,0.379908,3077
0,0,maturation,7,2,0.009605,0.823129,0.015812,-1.395868,3077
0,0,maturation,9,2,0.040748,0.94486,0.077003,1.782993,3077
0,0,maturation,12,2,0.343327,0.99508,0.683276,-1.184946,3077
0,0,maturation,13,2,0.063522,0.822414,0.104482,0.82596,3077
0,2,maturation,14,5,0.287016,0.474555,0.681025,-3.073906,3071
0,2,maturation,15,4,0.473888,0.97984,1.857335,-0.723104,3071
0,2,maturation,16,2,0.1197,0.644855,0.154379,-0.047605,3071
0,2,maturation,17,2,0.151096,0.7367,0.222625,-1.537977,3071
0,2,maturation,18,2,0.21968,0.817838,0.359325,0.533448,3071
0,2,maturation,19,2,0.03761,0.979426,0.073673,-1.145266,3071
0,2,maturation,22,2,0.097252,0.982023,0.191008,-1.147404,3071
0,2,maturation,23,2,0.043753,0.999601,0.087471,-0.978635,3071
0,2,maturation,24,2,0.189585,0.942577,0.357397,-0.447969,3071
0,2,maturation,25,2,0.184883,0.70616,0.261114,0.347125,3071
0,3,maturation,26,5,0.344944,0.218873,0.377496,0.829122,3024
0,3,maturation,28,2,0.348372,0.973414,0.67822,-1.628809,3024
0,3,maturation,29,2,0.369564,0.627136,0.463534,1.630564,3024
0,4,maturation,32,5,0.256795,0.686832,0.881874,2.275723,3142
0,4,maturation,33,2,0.01117,0.307635,0.006872,1.091985,3142
0,4,maturation,34,2,0.025061,0.857197,0.042965,0.379784,3142
0,4,maturation,37,2,0.033471,0.990632,0.066314,-0.255403,3142
0,4,maturation,31,5,0.331572,0.592089,0.981601,-2.365994,3142
0,6,maturation,41,2,0.248178,0.878441,0.43602,-1.829814,2975
0,6,maturation,42,2,0.018732,0.981662,0.036778,1.14287,2975
0,6,maturation,43,2,0.048022,0.83034,0.079749,1.547461,2975
0,6,maturation,44,2,0.028149,0.853179,0.048032,-2.995667,2975
0,6,maturation,45,2,0.552469,0.963652,1.064777,-0.645226,2975
0,7,maturation,48,2,0.147428,0.989176,0.291665,-2.792011,2971
0,7,maturation,46,3,0.314659,0.859876,0.811702,-2.827637,2971
0,7,maturation,47,2,0.156451,0.964483,0.301789,-2.35602,2971
0,8,maturation,49,5,0.284059,0.781361,1.109761,1.444394,3112
0,8,maturation,52,2,0.161283,0.999902,0.322533,0.382097,3112
0,8,maturation,53,2,0.11213,0.991844,0.222431,-0.645798,3112
0,8,maturation,54,2,0.272898,0.998521,0.544989,0.312223,3112
0,9,maturation,56,2,0.026232,0.711666,0.037337,1.825301,3093
0,9,maturation,57,2,0.018412,0.937757,0.034532,2.982645,3093
0,10,maturation,58,5,0.463746,0.328251,0.761127,-2.415751,2995
0,10,maturation,59,5,0.426585,0.891128,1.90071,-1.429013,2995
0,10,maturation,60,5,0.425653,0.389299,0.828532,-0.135464,2995
0,10,maturation,61,4,0.348598,0.816933,1.139124,-0.104309,2995
0,11,maturation,64,2,0.085126,0.999941,0.170242,0.436664,3027
0,11,maturation,65,2,0.038599,0.940513,0.072605,-1.31682,3027
0,11,maturation,66,2,0.016121,0.995821,0.032108,1.19445,3027
0,11,maturation,67,2,0.009781,0.999647,0.019555,0.971062,3027
0,11,maturation,71,2,0.082493,0.805114,0.132832,-0.322445,3027
0,11,maturation,72,2,0.074402,0.999355,0.148707,-1.621375,3027
0,11,maturation,73,2,0.008901,0.989168,0.01761,0.837616,3027
0,11,maturation,63,3,0.27708,0.450871,0.374782,1.169343,3027
0,12,maturation,75,3,0.321381,0.982226,0.947005,0.8261,2966
0,12,maturation,77,2,0.365567,0.999778,0.730971,2.161896,2966
0,13,maturation,81,2,0.206617,0.490714,0.20278,2.995636,3062
0,13,maturation,82,2,0.426496,0.040147,0.034245,1.837679,3062
0,13,maturation,83,2,0.067466,0.999648,0.134885,1.896659,3062
0,13,maturation,85,2,0.628529,0.999998,1.257055,2.556383,3062
0,15,maturation,88,2,0.066272,0.721036,0.09557,2.914165,2976
0,15,maturation,89,2,0.036149,0.974074,0.070423,-2.834537,2976
0,15,maturation,90,2,0.025309,0.945578,0.047863,-2.743941,2976
0,15,maturation,86,5,0.246688,0.136478,0.168338,-1.82306,2976
0,18,maturation,93,2,0.127712,0.998928,0.255149,1.64939,2996
0,18,maturation,94,2,0.28186,0.872616,0.491911,1.077531,2996
0,19,maturation,96,2,0.009867,0.948159,0.018711,0.541579,2984
0,19,maturation,97,2,0.016603,0.981703,0.032599,-1.681337,2984
0,20,tracking,100,3,0.400884,0.663492,0.797951,2.73175,2905
0,21,tracking,101,3,0.29154,0.545489,0.477095,-0.523336,2974
0,21,tracking,102,2,0.012443,0.997212,0.024817,0.398426,2974
0,21,tracking,103,2,0.367374,0.992566,0.729287,-0.463998,2974
0,21,tracking,104,2,0.042572,0.980386,0.083474,-2.780974,2974
0,21,tracking,106,2,0.113217,0.999807,0.22639,-0.367686,2974
0,21,tracking,107,2,0.019402,0.901266,0.034973,1.084441,2974
0,21,tracking,108,2,0.031299,0.768164,0.048086,-0.076319,2974
0,21,tracking,109,2,0.012804,0.99975,0.025602,0.299456,2974
0,21,tracking,110,2,0.116951,0.981507,0.229577,2.156378,2974
0,21,tracking,112,2,0.104231,0.77118,0.160762,-1.302851,2974
0,23,tracking,116,2,0.026948,0.91744,0.049447,1.411328,2903
0,24,tracking,120,2,0.057651,0.78984,0.09107,0.235207,2899
