seed,window,lid,n_core,s_avg,r_core,rho,links_total,log10_pbirth,B,b_gen_old
0,0,0,5,0.339566,0.804072,0.000246,3077,-33.1047,33.1047,1.365176
0,0,1,3,0.273353,0.964725,0.000246,3077,-18.6936,18.6936,0.791132
0,0,2,5,0.394247,0.899805,0.000246,3077,-32.6499,32.6499,1.773728
0,0,4,2,0.033979,0.810159,0.000246,3077,-12.2657,12.2657,0.055057
0,0,6,2,0.008854,0.95324,0.000246,3077,-12.7792,12.7792,0.016881
0,0,7,2,0.009605,0.823129,0.000246,3077,-12.8076,12.8076,0.015812
0,0,9,2,0.040748,0.94486,0.000246,3077,-12.12,12.12,0.077003
0,0,12,2,0.343327,0.99508,0.000246,3077,-11.172,11.172,0.683276
0,0,13,2,0.063522,0.822414,0.000246,3077,-11.9875,11.9875,0.104482
0,2,14,5,0.287016,0.474555,0.000246,3071,-34.3162,34.3162,0.681025
0,2,15,4,0.473888,0.97984,0.000246,3071,-25.2433,25.2433,1.857335
0,2,16,2,0.1197,0.644855,0.000246,3071,-11.8188,11.8188,0.154379
0,2,17,2,0.151096,0.7367,0.000246,3071,-11.6598,11.6598,0.222625
0,2,18,2,0.21968,0.817838,0.000246,3071,-11.4519,11.4519,0.359325
0,2,19,2,0.03761,0.979426,0.000246,3071,-12.1401,12.1401,0.073673
0,2,22,2,0.097252,0.982023,0.000246,3071,-11.7263,11.7263,0.191008
0,2,23,2,0.043753,0.999601,0.000246,3071,-12.0655,12.0655,0.087471
0,2,24,2,0.189585,0.942577,0.000246,3071,-11.4542,11.4542,0.357397
0,2,25,2,0.184883,0.70616,0.000246,3071,-11.5906,11.5906,0.261114
0,3,26,5,0.344944,0.218873,0.000242,3024,-35.368,35.368,0.377496
0,3,28,2,0.348372,0.973414,0.000242,3024,-11.1827,11.1827,0.67822
0,3,29,2,0.369564,0.627136,0.000242,3024,-11.348,11.348,0.463534
0,4,32,5,0.256795,0.686832,0.000251,3142,-33.8275,33.8275,0.881874
0,4,33,2,0.01117,0.307635,0.000251,3142,-13.1604,13.1604,0.006872
0,4,34,2,0.025061,0.857197,0.000251,3142,-12.3644,12.3644,0.042965
0,4,37,2,0.033471,0.990632,0.000251,3142,-12.1759,12.1759,0.066314
0,4,31,5,0.331572,0.592089,0.000251,3142,-33.6414,33.6414,0.981601
0,6,41,2,0.248178,0.878441,0.000238,2975,-11.3817,11.3817,0.43602
0,6,42,2,0.018732,0.981662,0.000238,2975,-12.4556,12.4556,0.036778
0,6,43,2,0.048022,0.83034,0.000238,2975,-12.1195,12.1195,0.079749
0,6,44,2,0.028149,0.853179,0.000238,2975,-12.3397,12.3397,0.048032
0,6,45,2,0.552469,0.963652,0.000238,2975,-10.9939,10.9939,1.064777
0,7,48,2,0.147428,0.989176,0.000238,2971,-11.5569,11.5569,0.291665
0,7,46,3,0.314659,0.859876,0.000238,2971,-18.7018,18.7018,0.811702
0,7,47,2,0.156451,0.964483,0.000238,2971,-11.5421,11.5421,0.301789
0,8,49,5,0.284059,0.781361,0.000249,3112,-33.4449,33.4449,1.109761
0,8,52,2,0.161283,0.999902,0.000249,3112,-11.4931,11.4931,0.322533
0,8,53,2,0.11213,0.991844,0.000249,3112,-11.6544,11.6544,0.222431
0,8,54,2,0.272898,0.998521,0.000249,3112,-11.2652,11.2652,0.544989
0,9,56,2,0.026232,0.711666,0.000247,3093,-12.4322,12.4322,0.037337
0,9,57,2,0.018412,0.937757,0.000247,3093,-12.4661,12.4661,0.034532
0,10,58,5,0.463746,0.328251,0.00024,2995,-34.1666,34.1666,0.761127
0,10,59,5,0.426585,0.891128,0.00024,2995,-32.5767,32.5767,1.90071
0,10,60,5,0.425653,0.389299,0.00024,2995,-34.0191,34.0191,0.828532
0,10,61,4,0.348598,0.816933,0.00024,2995,-25.9129,25.9129,1.139124
0,11,64,2,0.085126,0.999941,0.000242,3027,-11.7826,11.7826,0.170242
0,11,65,2,0.038599,0.940513,0.000242,3027,-12.1527,12.1527,0.072605
0,11,66,2,0.016121,0.995821,0.000242,3027,-12.5071,12.5071,0.032108
0,11,67,2,0.009781,0.999647,0.000242,3027,-12.7224,12.7224,0.019555
0,11,71,2,0.082493,0.805114,0.000242,3027,-11.8904,11.8904,0.132832
0,11,72,2,0.074402,0.999355,0.000242,3027,-11.8413,11.8413,0.148707
