bin_start,bin_end,n_pulses,n_cids,delta_mean,delta_p50,d_n_mean,d_s_mean,d_r_mean,d_phase_mean,capture_rate,p_capture_mean
4,9,570,114,0.426889,0.426444,0.428009,0.299222,0.458044,0.52228,0.3,0.298092
9,14,570,114,0.426093,0.42075,0.431293,0.299253,0.464218,0.509608,0.312281,0.299678
14,19,570,114,0.424292,0.424876,0.439882,0.298613,0.464053,0.494622,0.326316,0.299663
19,24,570,114,0.424052,0.42694,0.42552,0.299414,0.459716,0.511556,0.285965,0.300655
24,29,570,114,0.415946,0.417044,0.429906,0.298941,0.450585,0.484353,0.284211,0.308993
29,34,570,114,0.422675,0.421228,0.438209,0.298893,0.459615,0.493981,0.294737,0.302515
34,39,570,114,0.422968,0.41597,0.418584,0.298946,0.461584,0.512758,0.312281,0.301596
39,44,570,114,0.420533,0.418158,0.432762,0.299257,0.466733,0.483378,0.321053,0.30535
44,49,570,114,0.426684,0.427935,0.427785,0.299161,0.467448,0.512343,0.322807,0.29827
49,54,570,114,0.417695,0.414886,0.41226,0.298598,0.451773,0.508147,0.301754,0.305536
54,59,570,114,0.419597,0.415124,0.423276,0.299248,0.453016,0.502848,0.291228,0.304611
59,64,570,114,0.421581,0.426234,0.425051,0.298869,0.461652,0.500753,0.284211,0.302768
64,69,570,114,0.421091,0.418934,0.424908,0.299059,0.451273,0.509123,0.289474,0.304161
69,74,570,114,0.409556,0.398306,0.401693,0.299158,0.45612,0.481252,0.322807,0.311671
74,79,570,114,0.423365,0.426292,0.432844,0.299113,0.453302,0.508201,0.27193,0.301142
79,84,570,114,0.416388,0.41743,0.420645,0.298423,0.461608,0.484878,0.315789,0.307471
84,89,570,114,0.423542,0.41579,0.432885,0.298325,0.4634,0.499558,0.291228,0.301667
89,94,570,114,0.425238,0.42058,0.432517,0.299322,0.465915,0.503195,0.305263,0.300359
94,99,570,114,0.4235,0.421531,0.438148,0.298839,0.465355,0.491659,0.324561,0.30092
99,104,570,114,0.421499,0.422198,0.421175,0.299456,0.458589,0.506776,0.285965,0.302539
104,109,570,114,0.403202,0.404303,0.366728,0.299603,0.452376,0.4941,0.336842,0.317702
109,114,570,114,0.427457,0.422314,0.4245,0.299401,0.472939,0.512988,0.322807,0.29741
114,119,570,114,0.416099,0.410543,0.423154,0.298738,0.455534,0.486971,0.292982,0.306549
119,124,570,114,0.417892,0.412989,0.40512,0.299339,0.455936,0.511171,0.314035,0.305818
124,129,570,114,0.413098,0.40299,0.415402,0.298909,0.450899,0.487181,0.312281,0.310729
129,134,570,114,0.42016,0.429178,0.414382,0.29918,0.464138,0.50294,0.319298,0.303903
134,139,570,114,0.411307,0.405177,0.397328,0.298898,0.454754,0.494249,0.310526,0.309145
139,144,570,114,0.40946,0.41426,0.395492,0.299083,0.4567,0.486567,0.287719,0.313423
144,149,570,114,0.416482,0.409045,0.413219,0.298972,0.455055,0.498682,0.303509,0.305987
149,154,570,114,0.41502,0.40689,0.417666,0.298679,0.461223,0.482511,0.289474,0.30927
154,159,570,114,0.417976,0.411878,0.41224,0.298708,0.456002,0.504952,0.261404,0.304185
159,164,570,114,0.416302,0.411327,0.415912,0.299452,0.458811,0.491033,0.287719,0.307757
164,169,570,114,0.412735,0.4097,0.409139,0.299193,0.453558,0.489048,0.336842,0.310456
169,174,555,114,0.419261,0.418809,0.423905,0.298003,0.46586,0.489274,0.317117,0.305488
174,179,545,109,0.421641,0.422262,0.419501,0.297368,0.465529,0.504166,0.293578,0.303863
179,184,539,109,0.421297,0.419845,0.41895,0.296251,0.467638,0.50235,0.289425,0.302036
184,189,535,107,0.416079,0.409469,0.399044,0.296466,0.463295,0.505511,0.334579,0.308838
189,194,526,107,0.423186,0.423331,0.411177,0.296306,0.480331,0.50493,0.279468,0.30115
194,199,520,104,0.424592,0.414392,0.416659,0.29677,0.483866,0.501073,0.296154,0.299467
199,204,514,104,0.421765,0.417082,0.413763,0.298221,0.473969,0.501107,0.322957,0.30257
204,209,510,102,0.425593,0.424642,0.421181,0.299369,0.476744,0.505077,0.268627,0.298494
209,214,510,102,0.409789,0.4082,0.384815,0.299649,0.464262,0.490429,0.32549,0.31204
214,219,510,102,0.420947,0.418825,0.414204,0.299441,0.48036,0.489784,0.309804,0.302297
219,224,504,102,0.425182,0.425525,0.419827,0.30003,0.473735,0.507135,0.305556,0.300145
224,229,500,100,0.423006,0.41212,0.391651,0.300787,0.464194,0.535393,0.3,0.300901
229,234,494,100,0.430748,0.427639,0.437129,0.300673,0.475049,0.510142,0.253036,0.295431
234,239,490,98,0.41548,0.414657,0.40261,0.30057,0.464618,0.494121,0.308163,0.307917
239,244,478,98,0.421334,0.413722,0.403912,0.300757,0.471462,0.509207,0.311715,0.302912
244,249,470,94,0.41694,0.407443,0.387803,0.300657,0.470502,0.508798,0.323404,0.306384
249,254,461,94,0.415952,0.411735,0.395803,0.301836,0.470123,0.496048,0.295011,0.305418
254,259,455,91,0.412618,0.412474,0.395962,0.302221,0.477409,0.47488,0.305495,0.309176
259,264,449,91,0.412218,0.404253,0.403869,0.302321,0.459644,0.483039,0.300668,0.310701
264,269,445,89,0.414047,0.394581,0.389992,0.302784,0.458664,0.504747,0.303371,0.309287
269,274,442,89,0.415536,0.411255,0.404872,0.302617,0.462451,0.492204,0.307692,0.308415
274,279,440,88,0.415737,0.404508,0.402881,0.303316,0.451468,0.505284,0.256818,0.308241
279,284,437,88,0.425432,0.420029,0.423873,0.303187,0.466101,0.508568,0.295195,0.299081
284,289,435,87,0.416607,0.413692,0.382304,0.304521,0.458598,0.521006,0.317241,0.306183
289,294,435,87,0.407773,0.411702,0.38765,0.304771,0.451564,0.487108,0.312644,0.314409
294,299,435,87,0.411676,0.40805,0.384523,0.303281,0.45965,0.499249,0.310345,0.309747
299,304,426,87,0.413582,0.406481,0.386178,0.305124,0.458006,0.505021,0.314554,0.308344
304,309,420,84,0.413923,0.416991,0.387874,0.304834,0.463467,0.499517,0.285714,0.308114
309,314,411,84,0.419223,0.411534,0.388219,0.306245,0.473773,0.508655,0.323601,0.304566
314,319,405,81,0.402056,0.396369,0.368877,0.307682,0.444885,0.486778,0.288889,0.318249
319,324,402,81,0.41907,0.411936,0.400237,0.307157,0.472257,0.496631,0.333333,0.304944
324,329,400,80,0.417507,0.415994,0.397355,0.307309,0.455739,0.509625,0.32,0.304122
329,334,391,80,0.421722,0.425756,0.386249,0.305876,0.467384,0.52738,0.306905,0.302401
334,339,385,77,0.40918,0.401904,0.39109,0.304487,0.456613,0.48453,0.293506,0.313878
339,344,382,77,0.40828,0.404688,0.373098,0.303962,0.456201,0.499861,0.36911,0.313099
344,349,380,76,0.416852,0.412313,0.401285,0.303769,0.461891,0.500464,0.310526,0.305424
349,354,377,76,0.413877,0.401608,0.401548,0.303779,0.460489,0.489691,0.323607,0.308357
354,359,375,75,0.41373,0.406221,0.389085,0.303438,0.460206,0.50219,0.296,0.30859
359,364,369,75,0.402491,0.403428,0.35618,0.303318,0.452922,0.497546,0.344173,0.318222
364,369,365,73,0.402791,0.402638,0.361548,0.303523,0.452898,0.493193,0.317808,0.318915
369,374,347,73,0.410254,0.398801,0.391328,0.301322,0.463978,0.484386,0.299712,0.313336
374,379,335,67,0.412029,0.405993,0.389448,0.301294,0.465118,0.492256,0.259701,0.309897
