seed,cid,n_core,n_pulses,ac_lag1,ac_lag2,ac_lag3,ac_lag5,ac_lag10
0,0,5,497,-0.00547,0.018263,-0.018154,0.099164,-0.035843
0,2,5,497,0.060469,-0.034422,-0.016365,0.05824,-0.053377
0,10,4,497,0.075627,-0.022289,-0.020843,0.014243,-0.012154
0,19,5,497,0.079388,0.102948,0.035976,-0.00132,0.040423
0,26,5,397,0.025366,-0.021276,0.035335,-0.010318,-0.061687
0,41,5,497,0.000188,0.029713,0.033997,-0.019002,0.002875
0,42,5,497,0.00906,-0.023176,-0.053422,-0.034094,-0.04181
0,44,4,497,-0.027259,0.030255,0.008855,-0.017726,-0.020905
0,86,5,427,0.221938,0.283943,0.272237,0.29028,0.354319
0,107,5,367,0.121965,0.201258,0.12308,0.072175,0.140814
0,126,4,337,-0.00135,-0.02186,-0.023865,-0.06906,0.035831
0,128,5,327,-0.003606,-0.046051,0.062962,0.015094,-0.052236
0,167,5,247,-0.044479,-0.011109,-0.014145,-0.004402,-0.022399
0,171,4,237,-0.042296,0.080644,0.034135,-0.079956,-0.071847
0,178,5,227,-0.048765,-0.049409,-0.08521,-0.087632,0.041407
0,190,4,167,0.029091,-0.06114,-0.02754,-0.037097,-0.170124
1,58,5,497,-0.093912,0.029153,-0.02382,0.050334,-0.048534
1,20,4,497,0.070675,0.034218,0.131014,0.034175,0.052386
1,76,5,497,-0.010884,0.05846,0.081516,0.155543,-0.02458
1,30,2,387,-0.053608,0.000331,-0.034109,-0.125809,0.051313
1,88,5,487,0.000767,-0.017378,-0.011983,-0.035518,-0.066154
1,109,4,417,-0.0299,0.038414,-0.000773,-0.014685,-0.062346
1,121,3,367,-0.007745,0.075972,0.015577,-0.046174,-0.040544
1,130,5,357,-0.03442,0.060614,-0.051755,-0.029306,-0.003988
1,134,5,347,-0.107649,-0.003298,0.033108,0.055829,-0.007355
1,139,5,327,0.105608,0.036736,-0.04652,0.016864,-0.016298
1,146,5,307,0.082669,0.045424,-0.019301,-0.031653,0.009027
1,147,5,307,-0.058224,-0.002838,-0.137422,-0.055369,0.019494
1,150,5,297,0.042952,-0.045346,-0.020095,-0.071165,-0.068148
1,174,5,257,0.040819,-0.08634,-0.096355,-0.04822,0.015125
1,178,5,247,0.021698,-0.073022,-0.087313,0.025205,-0.019171
1,179,4,237,0.04249,-0.054117,0.010162,-0.027301,-0.088757
1,188,4,217,0.035284,-0.022996,0.094148,-0.05806,0.005729
1,193,5,197,0.019363,-0.048642,0.029187,0.000545,-0.159492
1,198,4,187,-0.075779,-0.191422,0.119593,0.023883,0.024606
1,199,5,187,0.086169,0.006731,-0.022029,0.034759,-0.050742
1,205,4,167,-0.001969,0.063455,0.035947,0.068084,0.069125
2,51,4,497,-0.080765,-0.075127,0.014445,-0.069639,0.000511
2,11,5,497,0.054409,-0.031959,-0.042803,-0.078078,0.033124
2,67,5,497,-0.019384,0.039009,-0.023754,0.065102,0.005809
2,69,5,497,0.073616,0.034928,0.074827,0.072009,0.047612
2,21,3,497,0.045557,0.0115,0.053311,-0.003121,0.020798
2,22,5,497,0.082525,0.021101,0.08129,0.111875,0.128413
2,25,5,497,0.007184,-0.050819,0.008654,0.05636,-0.011325
2,76,5,497,-0.003898,-0.072601,-0.025061,0.000577,0.008486
2,77,4,497,0.028358,0.022113,0.037705,0.111654,0.056343
2,34,5,497,-0.021307,0.051108,0.004592,-0.032482,-0.000915
2,35,4,497,-0.021029,-0.131409,0.022562,-0.07765,0.029111
2,40,5,497,0.013779,0.080716,-0.081113,-0.045386,0.069596
2,97,5,477,0.044865,-0.043293,0.055209,-0.01076,0.015806
2,98,5,477,0.035246,0.013713,-0.017291,-0.075417,-0.001567
2,103,5,467,0.048835,-0.0427,-0.004235,-0.020646,-0.054208
2,110,3,457,0.032028,0.074337,0.038073,-0.04563,0.031537
2,114,5,447,0.004367,0.001968,0.032373,-0.038459,-0.015374
2,116,4,427,0.063385,0.025518,0.052631,0.047059,0.045686
2,138,4,397,0.043903,0.148857,0.052191,0.118506,0.094043
2,145,4,377,-0.04717,-0.04998,0.008452,0.036401,-0.012109
2,154,4,367,-0.114562,0.025137,-0.072205,-0.043826,0.006269
2,175,5,307,0.060808,0.006129,0.060076,-0.062579,0.135798
2,190,5,267,-0.001964,-0.07836,0.002804,-0.006033,-0.116771
2,196,5,227,-0.070881,-0.039535,0.013268,0.077834,0.05124
