seed,cid,n_core,b_gen,pulse_n,t,window,delta,d_n,d_s,d_r,d_phase,p_capture,captured,n_local,s_avg_local,r_local,theta_avg_local
4,99,5,34.5442,4,1699,23,0.463213,1.046512,0.423659,0.165376,0.217306,0.254831,0,95,0.027705,0.113148,-1.995136
4,99,5,34.5442,5,1749,23,0.284666,0.383721,0.411618,0.045415,0.297911,0.414455,0,38,0.039746,0.233109,-0.376534
4,99,5,34.5442,6,1799,23,0.402709,0.511628,0.425867,0.226142,0.447198,0.30049,1,49,0.025498,0.052382,-2.717362
4,99,5,34.5442,7,1849,23,0.351435,0.22093,0.424543,0.07413,0.686135,0.345533,0,24,0.026822,0.352655,2.815179
4,99,5,34.5442,8,1899,23,0.381958,0.918605,0.425036,0.16489,0.0193,0.317965,0,84,0.026328,0.113635,-1.251815
4,99,5,34.5442,9,1949,23,0.222426,0.244186,0.41824,0.209929,0.017348,0.491031,1,26,0.033125,0.488454,-1.257949
4,99,5,34.5442,10,1999,23,0.520165,0.662791,0.419598,0.027833,0.970439,0.218211,1,62,0.031766,0.250692,1.736275
4,99,5,34.5442,11,2049,24,0.275364,0.244186,0.417039,0.279495,0.160734,0.425091,1,26,0.034325,0.55802,-0.807488
4,99,5,34.5442,12,2099,24,0.508568,0.732558,0.424397,0.114162,0.763152,0.225215,0,68,0.026967,0.164363,2.573223
4,99,5,34.5442,13,2149,24,0.405307,0.581395,0.42518,0.020018,0.594635,0.298371,1,55,0.026184,0.258507,3.102635
4,99,5,34.5442,14,2199,24,0.392897,0.488372,0.427973,0.18177,0.473471,0.30863,0,47,0.023392,0.096755,0.175006
4,99,5,34.5442,15,2249,24,0.276351,0.337209,0.426935,0.088803,0.252457,0.42395,1,34,0.02443,0.189721,-0.519333
4,99,5,34.5442,16,2299,24,0.442841,0.755814,0.424693,0.223918,0.366939,0.269373,0,70,0.026672,0.054607,-2.465223
4,99,5,34.5442,17,2349,24,0.538931,0.872093,0.42213,0.173374,0.688126,0.207337,0,80,0.029235,0.105151,0.849363
4,99,5,34.5442,18,2399,24,0.268185,0.430233,0.410464,0.039744,0.192301,0.433486,0,42,0.040901,0.318268,-1.916579
4,99,5,34.5442,19,2449,24,0.376557,0.348837,0.421101,0.017556,0.718736,0.322677,1,35,0.030264,0.260969,0.945527
4,99,5,34.5442,20,2499,24,0.242685,0.465116,0.424202,0.022539,0.058883,0.464667,1,45,0.027163,0.255986,-1.497434
4,99,5,34.5442,21,2549,25,0.308614,0.104651,0.429047,0.101448,0.599311,0.388281,0,14,0.022317,0.379973,0.570341
4,99,5,34.5442,22,2599,25,0.279087,0.151163,0.428858,0.2346,0.301729,0.420801,0,18,0.022507,0.043925,-0.36454
4,99,5,34.5442,23,2649,25,0.219317,0.325581,0.426791,0.020346,0.10455,0.495206,0,33,0.024573,0.258179,-0.983994
4,99,5,34.5442,24,2699,25,0.360045,0.465116,0.423982,0.251391,0.299691,0.337522,0,45,0.027383,0.027133,-2.253956
4,99,5,34.5442,25,2749,25,0.370125,0.511628,0.429234,0.051153,0.488485,0.328381,0,49,0.022131,0.227372,-2.847068
4,99,5,34.5442,26,2799,25,0.608079,1.186047,0.425239,0.000335,0.820694,0.171741,1,107,0.026125,0.27886,1.265837
4,99,5,34.5442,27,2849,25,0.397814,0.465116,0.423252,0.167724,0.535166,0.304523,0,45,0.028113,0.110801,0.368824
4,99,5,34.5442,28,2899,25,0.530187,1.023256,0.42624,0.187866,0.483386,0.212335,0,93,0.025125,0.090659,0.206154
4,99,5,34.5442,29,2949,25,0.364619,0.686047,0.420211,0.196333,0.155886,0.333343,1,64,0.031153,0.082192,-1.802178
4,99,5,34.5442,30,2999,25,0.514439,0.744186,0.421368,0.125034,0.76717,0.221642,1,69,0.029997,0.153491,2.560601
4,99,5,34.5442,31,3049,26,0.388153,0.267442,0.418899,0.058424,0.807846,0.312644,0,28,0.032465,0.220101,1.225474
4,99,5,34.5442,32,3099,26,0.299709,0.418605,0.421798,0.07162,0.286814,0.397815,0,41,0.029567,0.206905,-0.411394
4,99,5,34.5442,33,3149,26,0.483066,0.848837,0.42568,0.190279,0.467466,0.241417,0,78,0.025685,0.088246,-2.781038
4,99,5,34.5442,34,3199,26,0.452489,1.127907,0.423897,0.121691,0.136461,0.262386,1,102,0.027468,0.156834,-1.741152
4,99,5,34.5442,35,3249,26,0.469851,0.27907,0.425269,0.212851,0.962216,0.250265,0,29,0.026096,0.491375,1.947847
4,99,5,34.5442,36,3299,26,0.337822,0.313953,0.424384,0.019627,0.593322,0.358586,0,32,0.026981,0.298152,3.10676
4,99,5,34.5442,37,3349,26,0.312502,0.209302,0.436503,0.114495,0.489708,0.384191,1,23,0.014862,0.16403,0.226015
4,99,5,34.5442,38,3399,26,0.514535,1.302326,0.420612,0.062632,0.272572,0.221584,0,117,0.030752,0.215893,-0.456139
4,99,5,34.5442,39,3449,26,0.28324,0.418605,0.4223,0.001155,0.290898,0.416069,1,41,0.029064,0.27737,-0.398566
4,99,5,34.5442,40,3499,26,0.407371,0.325581,0.425017,0.076861,0.802026,0.296698,0,33,0.026348,0.355386,1.207191
4,99,5,34.5442,41,3549,27,0.402876,0.372093,0.423487,0.143649,0.672274,0.300354,0,37,0.027877,0.134876,0.799562
4,99,5,34.5442,42,3599,27,0.276251,0.162791,0.428721,0.086691,0.426803,0.424065,0,19,0.022644,0.191834,0.028392
4,99,5,34.5442,43,3649,27,0.394494,0.697674,0.424153,0.09823,0.357917,0.307291,0,65,0.027212,0.180294,-2.436877
4,99,5,34.5442,44,3699,27,0.330608,0.546512,0.409175,0.244384,0.122362,0.365702,1,52,0.04219,0.034141,-0.928038
4,99,5,34.5442,45,3749,27,0.187085,0.093023,0.434077,0.110809,0.11043,0.540652,1,13,0.017287,0.389334,-1.659376
4,99,5,34.5442,46,3799,27,0.450599,0.395349,0.428992,0.022769,0.955287,0.26374,0,39,0.022373,0.255755,1.688674
4,99,5,34.5442,47,3849,27,0.302655,0.5,0.426297,0.051979,0.232344,0.394635,0,48,0.025068,0.330504,-2.042379
4,99,5,34.5442,48,3899,27,0.559575,1.093023,0.425405,0.2056,0.514272,0.195999,0,99,0.02596,0.072924,-2.928082
4,99,5,34.5442,49,3949,27,0.247732,0.174419,0.423395,0.091858,0.301258,0.458322,0,20,0.02797,0.186667,-2.258877
4,99,5,34.5442,50,3999,27,0.394873,0.232558,0.426329,0.172165,0.748439,0.306973,0,25,0.025035,0.10636,1.038843
4,99,5,34.5442,51,4049,28,0.437074,0.604651,0.423304,0.205561,0.514778,0.273638,0,57,0.028061,0.072964,-2.929673
4,99,5,34.5442,52,4099,28,0.302766,0.534884,0.41928,0.207874,0.049027,0.394516,1,51,0.032085,0.070651,-1.158426
4,99,5,34.5442,53,4149,28,0.262144,0.27907,0.423398,0.141454,0.204654,0.440678,0,29,0.027967,0.419979,-1.955387
4,99,5,34.5442,54,4199,28,0.415825,0.465116,0.414691,0.092999,0.690494,0.289944,1,45,0.036674,0.371524,0.856801
4,99,5,34.5442,55,4249,28,0.350866,0.662791,0.423117,0.111583,0.205974,0.346068,0,62,0.028248,0.166941,-1.959536
4,99,5,34.5442,56,4299,28,0.421212,0.302326,0.426562,0.011201,0.94476,0.28572,1,31,0.024803,0.267324,1.655603
4,99,5,34.5442,57,4349,28,0.311749,0.465116,0.420522,0.222387,0.13897,0.38498,0,45,0.030843,0.056138,-1.749035
4,99,5,34.5442,58,4399,28,0.563938,1.186047,0.42623,0.083132,0.560341,0.193684,1,107,0.025134,0.195393,-3.072813
4,99,5,34.5442,59,4449,28,0.455847,0.639535,0.424635,0.018629,0.740588,0.259997,0,60,0.02673,0.259896,2.644112
4,99,5,34.5442,60,4499,28,0.279806,0.383721,0.404496,0.189135,0.141871,0.419979,1,38,0.046869,0.08939,-0.866748
4,99,5,34.5442,61,4549,29,0.46514,0.383721,0.425962,0.117268,0.93361,0.253497,1,38,0.025403,0.395793,2.037715
4,99,5,34.5442,62,4599,29,0.446497,0.476744,0.425734,0.093945,0.789565,0.266703,1,46,0.02563,0.18458,1.168043
4,99,5,34.5442,63,4649,29,0.326078,0.744186,0.42062,0.110768,0.028739,0.370242,0,69,0.030745,0.167757,-1.402736
4,99,5,34.5442,64,4699,29,0.318107,0.581395,0.425738,0.265016,0.00028,0.378369,0,55,0.025627,0.013509,-1.31333
4,99,5,34.5442,65,4749,29,0.378781,0.534884,0.420724,0.194692,0.364823,0.320729,0,51,0.030641,0.083833,-0.166325
4,99,5,34.5442,66,4799,29,0.486009,0.639535,0.425276,0.149067,0.730156,0.239489,0,60,0.026089,0.129458,0.981405
4,99,5,34.5442,67,4849,29,0.502587,0.662791,0.426566,0.217949,0.703042,0.228914,0,62,0.024799,0.060576,2.762064
4,99,5,34.5442,68,4899,29,0.362872,0.627907,0.420708,0.053711,0.349163,0.334933,0,59,0.030657,0.224814,-2.409375
4,99,5,34.5442,69,4949,29,0.393114,0.139535,0.425428,0.099766,0.907727,0.308448,0,17,0.025937,0.178759,2.119029
4,99,5,34.5442,70,4999,29,0.291977,0.232558,0.423557,0.054324,0.457468,0.406283,0,25,0.027807,0.332849,0.124729
4,99,5,34.5442,71,5049,30,0.31309,0.662791,0.423698,0.060125,0.105745,0.383576,0,62,0.027667,0.33865,-1.644657
4,99,5,34.5442,72,5099,30,0.357382,0.418605,0.420006,0.257938,0.33298,0.33998,0,41,0.031359,0.020587,-2.358536
4,99,5,34.5442,73,5149,30,0.348088,0.662791,0.401568,0.037609,0.290384,0.348697,1,62,0.049797,0.240916,-2.224718
4,99,5,34.5442,74,5199,30,0.348636,0.395349,0.422001,0.049126,0.528067,0.348177,0,39,0.029364,0.327651,-2.97142
4,99,5,34.5442,75,5249,30,0.492017,0.581395,0.426127,0.133762,0.826783,0.235601,0,55,0.025238,0.144763,1.284967
4,99,5,34.5442,76,5299,30,0.470826,0.453488,0.426957,0.079378,0.923478,0.249602,0,44,0.024408,0.199146,1.588744
4,99,5,34.5442,77,5349,30,0.44549,0.77907,0.423487,0.013113,0.56629,0.267436,0,72,0.027877,0.265411,0.466605
4,99,5,34.5442,78,5399,30,0.430017,0.430233,0.423885,0.106732,0.759217,0.278949,1,42,0.02748,0.171793,1.072701
4,99,5,34.5442,79,5449,30,0.420824,0.406977,0.424342,0.008341,0.843634,0.286023,0,40,0.027023,0.286866,1.337907
4,99,5,34.5442,80,5499,30,0.393355,0.627907,0.420831,0.00797,0.516711,0.308245,1,59,0.030533,0.270555,0.310845
4,99,5,34.5442,81,5549,31,0.251739,0.151163,0.424537,0.196658,0.234597,0.453347,1,18,0.026827,0.081867,-0.575441
4,99,5,34.5442,82,5599,31,0.469255,0.686047,0.423267,0.255825,0.511884,0.250671,0,64,0.028098,0.0227,0.295682
4,99,5,34.5442,83,5649,31,0.431395,0.662791,0.422125,0.178743,0.46192,0.277904,0,62,0.02924,0.099782,-2.763612
4,99,5,34.5442,84,5699,31,0.439761,0.906977,0.423085,0.149352,0.279631,0.271642,1,83,0.02828,0.129173,-2.190935
4,99,5,34.5442,85,5749,31,0.279088,0.581395,0.426735,0.056537,0.051685,0.420801,0,55,0.02463,0.221987,-1.474821
4,99,5,34.5442,86,5799,31,0.531079,0.72093,0.43142,0.095351,0.876615,0.21182,0,67,0.019945,0.183174,2.21677
4,99,5,34.5442,87,5849,31,0.303656,0.674419,0.423362,0.035491,0.081352,0.393561,0,63,0.028003,0.243033,-1.568023
4,99,5,34.5442,88,5899,31,0.610213,0.918605,0.424997,0.181633,0.915618,0.170745,0,84,0.026368,0.096892,1.564051
4,99,5,34.5442,89,5949,31,0.361271,0.616279,0.429518,0.164313,0.234975,0.336397,1,58,0.021847,0.114212,-0.574252
4,99,5,34.5442,90,5999,31,0.682022,1.383721,0.415241,0.25415,0.674975,0.14041,1,124,0.036124,0.024375,2.850241
4,99,5,34.5442,91,6049,32,0.637414,1.372093,0.422564,0.140083,0.614917,0.158551,1,123,0.028801,0.138442,0.61937
4,99,5,34.5442,92,6099,32,0.419208,1.069767,0.425376,0.1654,0.016288,0.287284,0,97,0.025989,0.113125,-1.36362
4,99,5,34.5442,93,6149,32,0.386054,0.174419,0.421241,0.119507,0.829049,0.314437,0,20,0.030124,0.398031,2.366204
4,99,5,34.5442,94,6199,32,0.416676,0.511628,0.424949,0.027897,0.702229,0.289273,0,49,0.026416,0.250628,2.76462
4,99,5,34.5442,95,6249,32,0.421874,0.523256,0.426522,0.232088,0.505628,0.285206,0,50,0.024842,0.046437,0.276028
4,99,5,34.5442,96,6299,32,0.433665,0.825581,0.423215,0.116693,0.369169,0.276191,0,76,0.02815,0.161832,-0.15267
4,99,5,34.5442,97,6349,32,0.421785,0.651163,0.421837,0.176065,0.438074,0.285275,1,61,0.029528,0.10246,-2.6887
4,99,5,34.5442,98,6399,32,0.484356,0.744186,0.420943,0.004378,0.767917,0.24057,0,69,0.030422,0.282903,2.558255
4,99,5,34.5442,99,6449,32,0.389232,0.465116,0.428074,0.160758,0.502979,0.311727,0,45,0.02329,0.117767,0.267707
4,99,5,34.5442,100,6499,32,0.410467,0.593023,0.401733,0.083638,0.563475,0.294207,0,56,0.049632,0.194887,-3.082658
4,99,5,34.5442,101,6549,33,0.330607,0.348837,0.42574,0.195462,0.352389,0.365703,1,35,0.025624,0.083062,-0.205386
4,99,5,34.5442,102,6599,33,0.354528,0.860465,0.427124,0.057043,0.073479,0.342633,0,79,0.02424,0.221482,-1.54329
4,99,5,34.5442,103,6649,33,0.42994,0.860465,0.424916,0.000407,0.43397,0.279008,0,79,0.026449,0.278117,-2.675804
4,99,5,34.5442,104,6699,33,0.332151,0.116279,0.431193,0.051093,0.730039,0.364168,1,15,0.020172,0.329617,2.677253
4,99,5,34.5442,105,6749,33,0.265755,0.488372,0.425202,0.114543,0.034901,0.436365,1,47,0.026163,0.163982,-1.422094
