seed,window,links,v_labels,alive_tracked,mean_social,mean_stability,mean_spread,mean_familiarity,count_social,count_isolated,count_deeply_connected,reciprocal_pairs,asymmetric_pairs,fam_symmetry_mean,fam_symmetry_std,att_overlap_mean,att_overlap_pairs,subject_count_total,subject_hosted,subject_ghost,ghost_duration_mean,n_cids_with_tags,n_tags_total,tag_gain_social,tag_loss_social,tag_gain_stability,tag_loss_stability,tag_gain_spread,tag_loss_spread,tag_gain_familiarity,tag_loss_familiarity,ghost_births,ghost_reaped,pickup_uncontested,pickup_contested,pickup_no_eligible,pickup_total_success,death_pool_size,mean_ttl_bonus
0,20,2905,15,15,0.5897,0.6791,0.8629,13.7443,10,2,11,49,13,0.8978,0.2055,56.8,98,67,15,26,5.96,0,0,0,0,0,0,0,0,0,0,2,3,1,1,0,2,0,0.14285714285714285
0,21,2974,14,14,0.6238,0.6763,0.8327,15.0969,10,2,11,50,19,0.8639,0.2441,101.1,91,68,14,25,6.0,11,12,0,2,0,1,0,0,7,2,0,3,0,0,0,0,0,0.08333333333333333
0,22,2982,24,24,0.4504,0.6653,0.8277,38.1079,12,8,21,81,44,0.8283,0.2842,44.6,245,78,24,22,6.45,12,17,3,1,0,1,1,0,7,4,5,1,0,5,0,5,0,0.3684210526315789
0,23,2903,19,19,0.5981,0.6882,0.8262,14.3298,11,1,13,82,38,0.752,0.2941,63.8,165,78,19,26,6.08,17,23,8,0,1,0,0,0,1,13,2,5,1,1,0,2,0,0.5
0,24,2899,18,18,0.6616,0.663,0.8188,10.8509,11,2,9,78,41,0.7445,0.285,56.4,149,79,18,23,5.7,15,17,3,0,0,0,0,0,3,11,4,3,1,3,0,4,0,0.7058823529411765
0,25,2904,17,17,0.6547,0.6652,0.8279,20.8989,12,4,9,59,29,0.7831,0.2584,61.2,131,82,17,24,5.21,6,8,0,0,1,1,0,0,1,5,2,2,2,0,0,2,0,0.7368421052631579
0,26,2862,19,19,0.5992,0.6643,0.8244,20.1749,12,3,12,77,31,0.8144,0.2499,55.3,163,86,19,24,5.38,9,11,0,2,0,0,0,0,3,6,5,4,1,4,0,5,0,0.8947368421052632
0,27,2884,19,19,0.5569,0.6667,0.8368,13.2874,12,4,14,81,38,0.8335,0.2561,70.8,165,91,19,25,4.56,6,6,0,1,0,1,0,0,2,2,2,2,1,1,0,2,0,0.8571428571428571
0,28,2760,21,21,0.5745,0.6591,0.8341,13.751,13,4,13,93,43,0.8078,0.2691,61.0,201,95,21,25,4.76,10,14,6,0,0,0,0,0,2,6,3,2,1,2,0,3,0,0.8571428571428571
0,29,2724,21,21,0.5686,0.6774,0.8357,15.7183,13,3,11,107,48,0.801,0.289,61.2,204,98,21,26,4.81,11,15,1,3,1,0,0,0,3,7,2,1,0,2,0,2,0,1.0
0,30,2901,20,20,0.6088,0.6602,0.8164,11.6497,13,2,7,103,43,0.7972,0.283,55.0,185,99,20,27,5.26,12,13,0,0,0,1,0,1,1,10,2,2,1,1,0,2,0,0.95
0,31,2866,20,20,0.5727,0.6607,0.8276,13.3145,12,3,11,92,36,0.7904,0.2979,56.5,179,101,20,27,5.52,10,10,0,0,0,1,0,0,5,4,2,0,0,2,0,2,0,0.8333333333333334
0,32,2793,24,24,0.4773,0.6749,0.8164,45.4256,11,8,16,87,46,0.7684,0.2846,38.2,244,107,24,29,6.14,12,13,3,0,1,0,0,0,3,6,6,5,1,5,0,6,0,0.8
0,33,2722,30,30,0.4096,0.6687,0.8201,31.7442,11,10,18,110,79,0.8064,0.2925,26.9,384,119,30,30,5.27,13,15,0,1,0,1,0,1,1,11,13,2,1,11,1,12,1,1.5238095238095237
0,34,2752,21,21,0.5409,0.6736,0.8313,24.3245,12,5,14,94,38,0.8375,0.2647,58.2,205,123,21,41,4.37,6,7,0,0,0,0,0,1,1,5,3,3,0,3,1,3,1,1.7777777777777777
0,35,2955,18,18,0.6154,0.6647,0.818,12.3211,12,2,8,92,35,0.8385,0.2361,77.4,151,123,18,41,4.63,12,13,0,2,1,1,0,0,4,5,2,3,0,2,1,2,1,1.5238095238095237
0,36,2828,21,21,0.5336,0.6595,0.8297,16.7403,11,5,12,98,44,0.8404,0.2363,54.5,204,128,21,40,4.97,9,12,2,0,0,2,0,0,2,6,3,3,1,3,0,4,0,1.4761904761904763
0,37,2793,21,21,0.5501,0.6719,0.8297,9.8929,11,6,6,92,46,0.8705,0.2199,59.4,203,131,21,40,5.22,13,14,2,0,0,1,0,1,0,10,1,3,1,0,0,1,0,1.5238095238095237
0,38,2808,21,21,0.5369,0.6773,0.8275,10.7467,12,4,12,106,49,0.8438,0.24,68.0,205,132,21,38,5.66,14,16,1,3,0,0,0,0,10,2,0,2,0,0,0,0,0,0.9411764705882353
0,39,2807,34,34,0.4037,0.6675,0.8236,30.2358,13,12,22,163,110,0.7609,0.3036,33.2,503,145,34,36,6.39,13,15,1,0,0,1,0,1,6,6,12,3,3,8,1,11,1,1.7826086956521738
