cid,window,prev_social,prev_stability,prev_spread,prev_familiarity,current_social,current_stability,current_spread,current_familiarity,delta_social,delta_stability,delta_spread,delta_familiarity,tags,n_tags,state
0,21,1.0,0.6305,0.8806,14.727,1.0,0.7093,0.8583,15.4449,0.0,0.0787,-0.0223,0.7178,,0,hosted
2,21,0.7692,0.7018,0.8738,18.3667,0.6667,0.6994,0.8576,21.2704,-0.1026,-0.0024,-0.0162,2.9037,loss_social|gain_familiarity,2,hosted
7,21,0.0,0.7085,0.8429,0.0,0.0667,0.6413,0.7782,16.165,0.0667,-0.0673,-0.0647,16.165,gain_familiarity,1,hosted
9,21,0.8462,0.647,0.8748,9.0226,0.9333,0.6647,0.8509,11.2761,0.0872,0.0178,-0.0239,2.2535,gain_familiarity,1,hosted
10,21,0.8462,0.7082,0.8778,14.0271,0.7333,0.6715,0.8338,14.2967,-0.1128,-0.0367,-0.0441,0.2697,loss_social,1,hosted
19,21,0.7692,0.6309,0.8836,20.8472,0.8,0.6807,0.8394,23.9628,0.0308,0.0498,-0.0442,3.1156,gain_familiarity,1,hosted
22,21,0.9231,0.6571,0.8883,18.9295,1.0,0.6367,0.8446,16.7181,0.0769,-0.0203,-0.0437,-2.2114,loss_familiarity,1,hosted
26,21,0.6923,0.7263,0.8527,6.5435,0.6,0.7204,0.8681,22.2576,-0.0923,-0.0059,0.0154,15.7141,gain_familiarity,1,hosted
41,21,0.8462,0.7054,0.8866,19.6739,0.8667,0.7083,0.8487,17.9957,0.0205,0.0029,-0.038,-1.6782,,0,hosted
42,21,0.7692,0.6764,0.9014,14.5732,0.7333,0.6996,0.8659,19.0064,-0.0359,0.0232,-0.0355,4.4332,gain_familiarity,1,hosted
44,21,0.5385,0.6591,0.8382,17.4951,0.6,0.7205,0.8522,20.247,0.0615,0.0615,0.014,2.7519,gain_familiarity,1,hosted
52,21,0.4615,0.6821,0.869,12.2316,0.4667,0.6418,0.8156,4.1301,0.0051,-0.0404,-0.0534,-8.1015,loss_familiarity,1,hosted
64,21,0.0,0.6855,0.7916,0.0,0.0,0.5761,0.7158,0.0,0.0,-0.1094,-0.0758,0.0,loss_stability,1,hosted
0,22,1.0,0.7093,0.8583,15.4449,0.8095,0.6602,0.8647,19.9571,-0.1905,-0.0491,0.0064,4.5122,loss_social|gain_familiarity,2,hosted
2,22,0.6667,0.6994,0.8576,21.2704,0.8095,0.719,0.8603,22.6454,0.1429,0.0196,0.0027,1.375,gain_social,1,hosted
7,22,0.0667,0.6413,0.7782,16.165,0.0476,0.7372,0.8056,5.9408,-0.019,0.096,0.0274,-10.2242,loss_familiarity,1,hosted
9,22,0.9333,0.6647,0.8509,11.2761,0.8571,0.6693,0.8742,18.7197,-0.0762,0.0046,0.0233,7.4437,gain_familiarity,1,hosted
10,22,0.7333,0.6715,0.8338,14.2967,0.7143,0.7072,0.8453,13.1902,-0.019,0.0358,0.0116,-1.1066,,0,hosted
