seed,label_id,birth_window,death_window,lifespan,alive,phase_sig,n_core,last_social,last_stability,last_spread,last_familiarity,last_partners,last_st_mean,last_st_std,last_fam_max,last_att_nodes,trajectory_type,cognitive_id,became_ghost_w
0,0,1,,39,True,-0.6141,5,0.7955,0.6181,0.8513,22.1338,35,49.17,30.38,316.2444,1855,social|stable|wide_att|deep_conn,0,
0,22,5,,35,True,2.2757,5,0.7045,0.6303,0.8083,9.3858,31,34.47,20.22,36.4917,1019,social|stable,22,
0,2,1,,39,True,0.7683,5,0.75,0.5715,0.8335,12.4882,33,40.83,30.61,42.9911,1504,social|stable|deep_conn,2,
0,65,20,20,1,False,0.5416,2,0.2308,0.6565,0.8391,17.3747,3,7.01,3.67,34.5359,87,stable|deep_conn|dead,65,20
0,41,11,,29,True,-2.4158,5,0.8636,0.6731,0.8309,25.176,38,54.03,26.24,316.2444,1936,social|stable|deep_conn,41,
0,66,20,20,1,False,-1.6813,2,0.1538,0.7115,0.8428,22.3527,2,6.97,2.83,32.9399,92,stable|deep_conn|dead,66,20
0,7,1,28,28,False,-1.1849,2,0.1935,0.6258,0.7751,5.3024,6,6.13,3.66,18.0315,117,stable|focused_att|dead,7,28
0,9,3,35,33,False,-3.0739,5,0.5897,0.5618,0.7266,4.3693,23,13.12,10.23,38.568,443,social|stable|focused_att|dead,9,35
0,10,3,,37,True,-0.7231,4,0.7955,0.7197,0.8182,6.9489,35,31.76,12.37,42.5586,1023,social|stable,10,
0,52,12,30,19,False,1.1693,3,0.6176,0.6501,0.8006,4.2685,21,17.27,9.3,39.2283,567,social|stable|dead,52,30
0,19,4,,36,True,0.8291,5,0.9545,0.6721,0.8663,11.4833,42,47.95,23.39,66.0652,1823,social|stable|wide_att|deep_conn,19,
0,42,11,,29,True,-1.429,5,1.0,0.6368,0.8393,8.5155,44,48.28,27.54,40.801,1780,social|stable,42,
0,44,11,,29,True,-0.1043,4,0.6818,0.5897,0.8565,9.0597,30,27.09,18.85,41.0291,993,social|stable|wide_att,44,
0,64,19,26,8,False,1.0775,2,0.3462,0.6552,0.7835,4.6963,9,7.4,3.89,25.9711,129,stable|focused_att|dead,64,26
0,26,5,,35,True,-2.366,4,0.5909,0.6817,0.8271,9.0599,26,34.25,15.99,37.758,1115,social|stable,26,
0,67,20,26,7,False,2.7318,3,0.5769,0.6961,0.7956,12.8947,15,15.41,6.73,63.7867,433,social|stable|focused_att|deep_conn|dead,67,26
0,68,21,22,2,False,-0.5233,3,0.5238,0.6291,0.8209,73.2517,11,17.72,10.45,316.2444,336,social|stable|deep_conn|dead,68,22
0,69,21,22,2,False,0.3984,2,0.1905,0.6889,0.788,95.071,4,6.62,2.99,316.2444,82,stable|focused_att|deep_conn|dead,69,22
0,70,21,22,2,False,-0.464,2,0.1429,0.6697,0.8007,225.7664,3,8.24,4.06,316.2444,104,isolated|stable|deep_conn|dead,70,22
0,71,21,23,3,False,-2.781,2,0.3636,0.6995,0.766,7.8405,8,9.56,4.11,21.5721,180,stable|focused_att|dead,71,23
0,72,21,22,2,False,-0.3677,2,0.1905,0.6263,0.7699,35.2044,4,7.59,4.53,55.581,89,stable|focused_att|deep_conn|dead,72,22
0,73,21,22,2,False,1.0844,2,0.1429,0.6562,0.8491,129.8293,3,9.42,4.93,316.2444,127,isolated|stable|deep_conn|dead,73,22
0,74,21,24,4,False,-0.0763,2,0.2727,0.7499,0.7766,11.4467,6,9.63,3.21,23.1932,202,stable|focused_att|deep_conn|dead,74,24
0,75,21,24,4,False,0.2995,2,0.3636,0.6213,0.768,7.5927,8,7.42,4.52,16.0306,186,stable|focused_att|dead,75,24
0,76,21,23,3,False,2.1564,2,0.1818,0.6912,0.7927,13.4956,4,8.76,3.92,37.2386,160,stable|focused_att|deep_conn|dead,76,23
0,77,21,24,4,False,-1.3029,2,0.2727,0.6681,0.7537,9.8625,6,6.23,3.09,21.8196,125,stable|focused_att|dead,77,24
0,78,23,24,2,False,1.4113,2,0.0455,0.6042,0.7674,5.0029,1,6.62,4.34,5.0029,89,isolated|stable|focused_att|dead,78,24
0,79,24,28,5,False,0.2352,2,0.129,0.6762,0.7964,5.899,4,8.55,4.1,15.939,173,isolated|stable|focused_att|dead,79,28
0,80,24,25,2,False,2.3252,2,0.1304,0.6578,0.7962,17.2416,3,6.96,3.62,23.8684,92,isolated|stable|focused_att|deep_conn|dead,80,25
0,81,24,25,2,False,1.7725,2,0.087,0.6087,0.777,170.4729,2,6.19,3.98,316.2444,77,isolated|stable|focused_att|deep_conn|dead,81,25
0,82,25,31,7,False,-2.779,5,0.8182,0.6913,0.8509,12.1029,27,47.7,21.3,49.5933,1825,social|stable|wide_att|deep_conn|dead,82,31
0,83,25,26,2,False,0.0573,2,0.1538,0.6302,0.7715,85.375,4,6.3,3.69,316.2444,86,stable|focused_att|deep_conn|dead,83,26
0,84,25,26,2,False,0.8806,2,0.1154,0.6471,0.8129,112.6963,3,7.39,4.03,316.2444,110,isolated|stable|deep_conn|dead,84,26
0,85,25,26,2,False,1.5137,2,0.0769,0.6937,0.8682,15.1293,2,8.11,3.58,16.921,115,isolated|stable|wide_att|deep_conn|dead,85,26
0,86,26,,14,True,2.3758,5,0.9545,0.7046,0.8498,8.9624,42,46.84,19.64,49.2081,1754,social|stable,86,
0,87,26,27,2,False,0.2547,2,0.0645,0.7033,0.7995,20.2602,2,8.66,3.66,28.9168,109,isolated|stable|focused_att|deep_conn|dead,87,27
0,88,26,32,7,False,-2.6477,2,0.2727,0.7453,0.7948,8.8759,9,9.25,3.16,27.2569,181,stable|focused_att|dead,88,32
0,89,26,27,2,False,1.4996,2,0.0968,0.7022,0.8194,28.653,3,7.19,3.05,33.4228,85,isolated|stable|deep_conn|dead,89,27
0,90,26,36,11,False,-3.0835,3,0.4872,0.6786,0.8384,5.2134,19,18.97,8.98,23.2907,499,stable|dead,90,36
0,91,27,28,2,False,2.9699,2,0.1613,0.6779,0.7945,17.4372,5,8.0,3.8,36.2795,106,stable|focused_att|deep_conn|dead,91,28
