seed,from,to,familiarity
0,0,41,39.9152
0,0,10,3.1579
0,0,2,20.3231
0,0,19,19.5225
0,0,42,21.2591
0,0,22,26.2978
0,0,26,26.7393
0,0,44,25.5122
0,0,86,16.1644
0,0,110,4.1183
0,0,107,11.1474
0,0,119,8.3174
0,0,122,10.0151
0,0,126,18.6288
0,0,123,1.8418
0,0,127,3.3522
0,0,131,29.439
0,0,124,20.0986
0,0,143,316.2444
0,0,136,38.2775
0,0,144,59.8238
0,0,128,11.8701
0,0,142,9.7054
0,0,140,22.7843
0,0,133,9.0038
0,2,44,42.9911
0,2,10,23.1922
0,2,41,23.555
0,2,0,20.3231
0,2,22,38.4846
0,2,42,7.1436
0,2,19,31.0772
0,2,26,16.9519
0,2,86,11.6195
0,2,107,30.4997
0,2,110,2.4642
0,2,122,9.8009
0,2,126,24.0032
0,2,127,13.002
0,2,124,7.7814
0,2,128,33.1576
0,2,131,26.0208
0,2,130,1.0136
0,2,132,6.5099
0,2,137,23.9586
0,2,129,8.2771
0,2,141,6.9581
0,10,41,10.6305
0,10,0,1.566
0,10,26,4.922
0,10,19,21.9805
0,10,2,10.9694
0,10,22,1.4471
0,10,42,5.4915
0,10,86,6.0973
0,10,44,11.0559
0,10,110,15.0688
0,10,107,4.0734
0,10,122,5.1889
0,10,129,2.4535
0,10,126,22.0016
0,10,140,36.1103
0,10,143,42.5586
0,10,132,8.4232
0,10,139,15.0694
0,10,135,4.3993
0,10,128,12.3291
0,19,0,6.6774
0,19,42,27.3623
0,19,10,22.189
0,19,22,25.07
0,19,41,66.0652
0,19,2,31.0772
0,19,26,12.3869
0,19,44,6.1996
0,19,86,23.374
0,19,107,31.9206
0,19,110,21.1005
0,19,122,21.734
0,19,111,1.3528
0,19,119,4.8979
0,19,123,1.5191
0,19,124,17.0954
0,19,126,14.249
0,19,128,14.8541
0,19,130,25.4965
0,19,131,8.6688
0,19,127,7.8244
0,19,142,30.3989
0,19,141,5.2232
0,19,140,3.5834
0,19,133,3.5834
0,19,137,10.5739
0,19,132,10.7095
0,19,144,12.3798
0,19,143,12.8451
0,22,42,36.4917
0,22,2,30.3855
0,22,26,1.9547
0,22,19,9.0479
0,22,41,13.7858
0,22,0,19.1333
0,22,10,1.4488
0,22,44,19.6635
0,22,86,12.2224
0,22,90,1.3689
0,22,122,28.9474
0,22,107,9.8032
0,22,127,27.8302
0,22,128,3.3559
0,22,130,9.2175
0,22,119,1.4157
0,22,129,3.77
0,22,131,8.9351
0,22,136,2.2225
0,22,141,5.8955
0,22,140,2.0723
0,22,132,25.6097
0,22,133,6.4171
0,22,143,3.9288
0,22,124,5.1377
0,26,10,4.922
0,26,22,1.9541
0,26,42,8.6214
0,26,41,37.758
0,26,2,3.608
0,26,19,1.5338
0,26,0,25.867
0,26,86,4.1328
