label_id,birth_window,n_core,link_id,age_r_at_birth,max_age_r_so_far
100,20,3,"(191,640)",10,10
100,20,3,"(191,1180)",10,10
101,21,3,"(2247,3464)",40,40
101,21,3,"(1836,3464)",40,40
102,21,2,"(365,4272)",260,260
103,21,2,"(1704,3020)",40,40
104,21,2,"(415,1182)",80,80
106,21,2,"(1836,3020)",40,40
107,21,2,"(1095,3046)",200,200
108,21,2,"(1095,4799)",200,200
109,21,2,"(494,4272)",260,260
110,21,2,"(3205,4689)",80,80
112,21,2,"(1704,2247)",40,40
116,23,2,"(1238,4429)",260,260
120,24,2,"(994,2043)",110,110
121,24,2,"(1365,4921)",110,110
119,24,2,"(382,1365)",110,110
122,25,5,"(587,2315)",10,10
122,25,5,"(522,741)",10,10
122,25,5,"(522,587)",10,10
122,25,5,"(533,741)",10,10
122,25,5,"(533,2315)",10,10
123,25,2,"(20,2006)",100,100
124,25,2,"(20,4645)",100,100
126,25,2,"(1194,4645)",100,100
128,26,5,"(1145,2814)",20,20
128,26,5,"(2616,2814)",20,20
128,26,5,"(2611,2760)",20,20
128,26,5,"(1145,2611)",20,20
128,26,5,"(2616,2760)",20,20
129,26,2,"(1009,2929)",150,150
131,26,2,"(826,4560)",150,150
133,26,2,"(72,1863)",20,20
127,26,3,"(613,2544)",20,20
127,26,3,"(538,613)",20,20
144,27,2,"(3159,4124)",130,130
137,27,2,"(3501,3722)",160,160
139,27,2,"(101,3906)",160,160
135,27,2,"(3159,3890)",130,130
145,28,2,"(2516,4770)",170,170
146,28,2,"(2049,3119)",170,170
148,28,2,"(2049,4770)",170,170
149,29,2,"(80,3891)",30,30
152,30,2,"(1730,4275)",130,130
156,30,2,"(1694,3939)",130,130
160,31,2,"(4678,4826)",250,250
162,31,2,"(936,4509)",120,120
163,31,2,"(3580,4744)",220,220
165,31,2,"(1508,4826)",250,250
157,31,2,"(4700,4744)",220,220
158,31,2,"(707,4509)",120,120
166,32,5,"(1711,2753)",20,20
166,32,5,"(1938,3469)",20,20
166,32,5,"(1711,3469)",20,20
166,32,5,"(2753,4572)",20,20
166,32,5,"(1938,4572)",20,20
167,32,2,"(2582,4260)",130,130
168,32,2,"(3027,3477)",80,80
169,32,2,"(581,2300)",120,120
170,32,2,"(510,4059)",130,130
172,32,2,"(1588,2300)",120,120
175,32,2,"(510,2547)",130,130
177,32,2,"(1588,4378)",120,120
178,32,2,"(943,4494)",80,80
180,32,2,"(2547,4260)",130,130
181,32,2,"(856,4967)",170,170
182,32,2,"(1386,3141)",170,170
184,33,2,"(2540,2668)",140,140
186,33,2,"(1945,2540)",140,140
187,33,2,"(1945,2366)",140,140
183,33,4,"(1954,4499)",20,20
183,33,4,"(2979,4499)",20,20
183,33,4,"(1821,2979)",20,20
183,33,4,"(1821,1954)",20,20
193,35,2,"(491,3245)",140,140
194,35,2,"(1176,2497)",140,140
195,35,2,"(2497,3804)",140,140
188,35,4,"(3770,4169)",10,10
188,35,4,"(3770,4136)",10,10
188,35,4,"(1367,4169)",10,10
188,35,4,"(1367,4136)",10,10
191,35,2,"(1770,4184)",170,170
197,36,5,"(3017,3561)",20,20
197,36,5,"(2234,4958)",20,20
197,36,5,"(2234,4408)",20,20
197,36,5,"(3561,4958)",20,20
197,36,5,"(3017,4408)",20,20
198,36,2,"(1234,4112)",30,30
199,36,2,"(1499,4348)",30,30
203,37,3,"(638,4025)",20,20
203,37,3,"(638,2417)",20,20
205,38,4,"(1139,4854)",40,40
205,38,4,"(4229,4854)",40,40
205,38,4,"(1139,3937)",40,40
206,38,2,"(489,3030)",180,180
207,38,2,"(1695,4922)",50,50
209,38,2,"(3937,4058)",40,40
210,38,2,"(3595,4824)",70,70
211,38,2,"(4058,4229)",40,40
212,38,2,"(6,2563)",50,50
213,38,2,"(2072,3226)",180,180
214,38,2,"(3030,3226)",180,180
216,38,2,"(6,3869)",50,50
218,38,2,"(1695,2563)",50,50
220,38,2,"(3595,4247)",70,70
221,38,2,"(478,2027)",70,70
222,39,3,"(1595,3659)",20,20
222,39,3,"(3659,3803)",20,20
