window,threshold,comp_id,comp_size,comp_n_links,comp_age_r_min,comp_age_r_mean
21,50,w21_t50_c0,3,3,260,260.0
21,50,w21_t50_c1,5,4,80,80.0
21,50,w21_t50_c2,3,3,200,200.0
21,100,w21_t100_c0,3,3,260,260.0
21,100,w21_t100_c1,3,3,200,200.0
21,200,w21_t200_c0,3,3,260,260.0
21,200,w21_t200_c1,3,3,200,200.0
23,50,w23_t50_c0,3,2,260,260.0
23,100,w23_t100_c0,3,2,260,260.0
23,200,w23_t200_c0,3,2,260,260.0
24,50,w24_t50_c0,5,5,110,110.0
24,100,w24_t100_c0,5,5,110,110.0
25,50,w25_t50_c0,4,4,100,100.0
25,100,w25_t100_c0,4,4,100,100.0
26,50,w26_t50_c0,4,4,150,150.0
26,100,w26_t100_c0,4,4,150,150.0
27,50,w27_t50_c0,4,4,130,130.0
27,50,w27_t50_c1,5,5,160,160.0
27,100,w27_t100_c0,4,4,130,130.0
27,100,w27_t100_c1,5,5,160,160.0
28,50,w28_t50_c0,4,4,170,170.0
28,100,w28_t100_c0,4,4,170,170.0
30,50,w30_t50_c0,5,5,130,130.0
30,100,w30_t100_c0,5,5,130,130.0
31,50,w31_t50_c0,3,3,220,220.0
31,50,w31_t50_c1,3,3,120,120.0
31,50,w31_t50_c2,3,3,250,250.0
31,100,w31_t100_c0,3,3,220,220.0
31,100,w31_t100_c1,3,3,120,120.0
31,100,w31_t100_c2,3,3,250,250.0
31,200,w31_t200_c0,3,3,220,220.0
31,200,w31_t200_c1,3,3,250,250.0
32,50,w32_t50_c0,5,5,130,130.0
32,50,w32_t50_c1,4,4,80,80.0
32,50,w32_t50_c2,4,4,120,120.0
32,50,w32_t50_c3,3,2,170,170.0
32,50,w32_t50_c4,2,1,170,170.0
32,100,w32_t100_c0,5,5,130,130.0
32,100,w32_t100_c1,4,4,120,120.0
32,100,w32_t100_c2,3,2,170,170.0
32,100,w32_t100_c3,2,1,170,170.0
33,50,w33_t50_c0,5,4,140,140.0
33,100,w33_t100_c0,5,4,140,140.0
35,50,w35_t50_c0,3,3,170,170.0
35,50,w35_t50_c1,5,5,140,140.0
35,100,w35_t100_c0,3,3,170,170.0
35,100,w35_t100_c1,5,5,140,140.0
38,50,w38_t50_c0,4,4,180,180.0
38,50,w38_t50_c1,5,5,50,50.0
38,50,w38_t50_c2,5,5,70,70.0
38,100,w38_t100_c0,4,4,180,180.0
