record_id,dead_lid,phase_sig,deposited_at,removed_at,removal_reason
0,96,0.5416,20,20,consumed
1,97,-1.6813,20,20,consumed
2,101,-0.5233,22,22,consumed
3,102,0.3984,22,22,consumed
4,103,-0.464,22,22,consumed
5,106,-0.3677,22,22,consumed
6,107,1.0844,22,22,consumed
7,104,-2.781,23,23,consumed
8,110,2.1564,23,23,consumed
9,112,-1.3029,24,24,consumed
10,116,1.4113,24,24,consumed
11,108,-0.0763,24,24,consumed
12,109,0.2995,24,24,consumed
13,121,2.3252,25,25,consumed
14,119,1.7725,25,25,consumed
15,100,2.7318,26,26,consumed
16,94,1.0775,26,26,consumed
17,123,0.0573,26,26,consumed
18,124,0.8806,26,26,consumed
19,126,1.5137,26,26,consumed
20,129,0.2547,27,27,consumed
21,133,1.4996,27,27,consumed
22,144,2.9699,28,28,consumed
23,12,-1.1849,28,28,consumed
24,120,0.2352,28,28,consumed
25,145,-2.2519,29,29,consumed
26,139,3.1148,29,29,consumed
27,137,-0.8522,30,30,consumed
28,63,1.1693,30,30,consumed
29,122,-2.779,31,31,consumed
30,149,-2.3113,31,31,consumed
31,162,0.4524,32,32,consumed
32,131,-2.6477,32,32,consumed
33,163,2.5367,32,32,consumed
34,152,-1.2571,32,32,consumed
35,156,-0.7285,32,32,consumed
36,157,-2.4508,32,32,consumed
37,165,0.7887,33,33,consumed
38,135,2.6749,33,33,consumed
39,167,2.8582,33,33,consumed
40,168,-2.6009,33,33,consumed
41,172,-2.3381,33,33,consumed
42,175,2.9306,33,33,consumed
43,177,-2.1046,33,33,consumed
44,146,2.8917,33,33,consumed
45,148,-2.9991,33,33,consumed
46,180,2.7716,33,33,consumed
47,181,0.3969,33,33,consumed
48,182,1.283,33,36,consumed
49,158,-0.7057,33,33,consumed
50,160,2.1691,34,34,consumed
51,186,2.8556,34,34,consumed
52,187,2.6528,34,34,consumed
53,178,2.0363,35,35,consumed
54,14,-3.0739,35,35,consumed
55,170,2.7794,36,36,consumed
56,195,2.8908,36,36,consumed
57,127,-3.0835,36,36,consumed
58,193,-1.6387,37,37,consumed
59,194,-3.028,39,39,consumed
60,199,1.6654,39,39,consumed
61,169,3.0516,39,39,consumed
62,209,-0.4549,39,39,consumed
63,211,-0.6535,39,39,consumed
64,212,2.2641,39,39,consumed
65,220,1.4142,39,,
66,214,1.5187,39,39,consumed
67,184,3.1295,39,39,consumed
68,218,1.8031,39,39,consumed
69,216,2.8042,39,39,consumed
70,191,-2.95,39,39,consumed
