record_id,dead_lid,window,winner_cid,winner_phase_dist,winner_new_ttl_bonus,n_candidates,outcome,loser_cids,loser_phase_dists
0,96,20,2,0.226739,1,2,contested,19,0.2875
1,97,20,42,0.252324,1,1,uncontested,,
2,101,22,0,0.090732,1,2,contested,10,0.1998
3,102,22,75,0.09897,1,2,contested,2,0.3699
4,103,22,0,0.15007,2,4,contested,10|44|74,0.2591|0.3597|0.3877
5,106,22,0,0.246381,3,4,contested,44|74|10,0.2634|0.2914|0.3554
6,107,22,64,0.00691,1,4,contested,52|19|2,0.0849|0.2553|0.3161
7,104,23,9,0.292932,1,2,contested,41,0.3652
8,110,23,22,0.119345,1,1,uncontested,,
9,112,24,7,0.117905,1,2,contested,42,0.1262
10,116,24,52,0.241984,1,3,contested,64|81,0.3338|0.3612
11,108,24,44,0.027991,1,2,contested,79,0.3115
12,109,24,79,0.064249,1,1,uncontested,,
13,121,25,22,0.049479,2,1,uncontested,,
14,119,25,85,0.258869,1,1,uncontested,,
15,100,26,86,0.355989,1,1,uncontested,,
16,94,26,52,0.091812,2,3,contested,19|2,0.2484|0.3092
17,123,26,44,0.161626,2,3,contested,79|87,0.1779|0.1974
18,124,26,19,0.051463,1,3,contested,2|52,0.1123|0.2888
19,126,26,89,0.014067,1,2,contested,52,0.3443
20,129,27,79,0.019504,2,2,contested,44,0.3590
21,133,27,52,0.330262,3,1,uncontested,,
22,144,28,96,0.078276,1,6,contested,93|90|9|94|97,0.1448|0.2298|0.2393|0.2951|0.3141
23,12,28,42,0.244067,2,2,contested,92,0.3328
24,120,28,44,0.339517,3,1,uncontested,,
25,145,29,98,0.05935,1,3,contested,26|41,0.1141|0.1638
26,139,29,90,0.084958,1,5,contested,9|97|96|82,0.0945|0.1693|0.2231|0.3894
27,137,30,100,0.123716,1,3,contested,10|0,0.1291|0.2381
28,63,30,19,0.340221,2,1,uncontested,,
29,122,31,88,0.131328,1,6,contested,97|9|90|105|41,0.2201|0.2949|0.3044|0.3282|0.3633
30,149,31,26,0.054703,1,4,contested,41|105|88,0.1045|0.1395|0.3364
31,162,32,117,0.055542,1,4,contested,2|104|19,0.3159|0.3363|0.3767
32,131,32,109,0.046798,1,5,contested,41|26|112|97,0.2320|0.2817|0.3096|0.3514
33,163,32,94,0.138125,1,8,contested,86|116|111|22|108|96|101,0.1610|0.2348|0.2427|0.2610|0.3214|0.3549|0.3677
34,152,32,42,0.171883,3,1,uncontested,,
35,156,32,10,0.005375,1,3,contested,106|0,0.0228|0.1144
36,157,32,41,0.035067,1,5,contested,26|112|109|114,0.0848|0.1127|0.1501|0.3462
37,165,33,2,0.020387,2,2,contested,19,0.0404
38,135,33,121,0.022036,1,6,contested,111|120|86|122|110,0.1045|0.1808|0.2991|0.3157|0.3768
39,167,33,120,0.002534,1,8,contested,111|122|110|121|119|90|9,0.0788|0.1324|0.1935|0.2053|0.2714|0.3416|0.3511
40,168,33,41,0.185166,2,2,contested,26,0.2349
41,172,33,26,0.027879,2,3,contested,41|107,0.0776|0.2999
42,175,33,122,0.059978,1,8,contested,120|110|111|119|90|121|9,0.0750|0.1210|0.1512|0.1989|0.2691|0.2778|0.2787
43,177,33,107,0.066362,1,3,contested,26|41,0.2614|0.3111
44,146,33,120,0.036018,2,8,contested,122|111|110|119|121|90|9,0.0989|0.1123|0.1600|0.2379|0.2388|0.3081|0.3176
45,148,33,9,0.074791,2,5,contested,90|119|110|122,0.0843|0.1545|0.2324|0.2935
46,180,33,111,0.007833,1,6,contested,120|121|122|110|119,0.0841|0.1187|0.2190|0.2801|0.3580
47,181,33,2,0.371443,3,1,uncontested,,
49,158,33,10,0.017429,2,2,contested,0,0.0916
50,160,34,22,0.106671,3,3,contested,115|86,0.1328|0.2067
51,186,34,111,0.076245,2,6,contested,122|110|119|90|9,0.1350|0.1960|0.2739|0.3441|0.3536
52,187,34,111,0.126562,3,4,contested,86|122|22,0.2771|0.3378|0.3771
53,178,35,22,0.239425,4,2,contested,86,0.3395
54,14,35,90,0.009555,2,7,contested,124|119|127|110|122|125,0.0459|0.0797|0.1239|0.1576|0.2187|0.3185
48,182,36,130,0.382376,1,1,uncontested,,
55,170,36,129,0.168555,1,4,contested,122|110|119,0.2112|0.2722|0.3502
56,195,36,122,0.09983,2,5,contested,110|119|129|124,0.1609|0.2388|0.2799|0.3644
57,127,36,124,0.055425,1,5,contested,119|127|110|122,0.0702|0.1335|0.1481|0.2091
58,193,37,42,0.20972,4,1,uncontested,,
59,194,39,122,0.264546,3,1,uncontested,,
60,199,39,134,0.203097,1,2,contested,131,0.3301
61,169,39,122,0.061041,4,2,contested,145,0.2984
62,209,39,133,0.019006,1,6,contested,128|0|10|144|44,0.0344|0.1592|0.2682|0.3064|0.3506
63,211,39,0,0.039405,4,5,contested,10|144|133|128,0.0696|0.1078|0.1796|0.2330
64,212,39,22,0.011665,5,6,contested,86|136|139|131|129,0.1117|0.1306|0.1432|0.2685|0.3468
66,214,39,134,0.349784,2,1,uncontested,,
67,184,39,122,0.138944,5,2,contested,145,0.3763
68,218,39,134,0.065394,3,3,contested,131|139,0.1924|0.3177
69,216,39,145,0.050986,1,3,contested,122|129,0.1864|0.1934
70,191,39,122,0.3426,6,1,uncontested,,
