seed,cid,t,window,pulse_n,trigger,tags,d_social,delta_social,theta_social,R_social,d_stability,delta_stability,theta_stability,R_stability,d_spread,delta_spread,theta_spread,R_spread,d_familiarity,delta_familiarity,theta_familiarity,R_familiarity,v11_b_gen,v11_delta,v11_d_n,v11_d_s,v11_d_r,v11_d_phase,v11_p_capture,v11_captured,v11_n_local,v11_s_avg_local,v11_r_local,v11_theta_avg_local
0,0,0,20,1,unformed,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,33.104708,0.456259,0.674419,0.313405,0.712785,0.124428,0.259705,cold_start,63,0.026161,0.091287,-1.004971
0,2,2,20,1,unformed,,0.0,0.0,0.0,0.0,0.728705,0.0,0.0,0.0,0.99057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.649914,0.53389,0.302326,0.360271,0.853974,0.618989,0.210204,cold_start,31,0.033976,0.04583,-1.176292
0,52,2,20,1,unformed,,0.5,0.0,0.0,0.0,0.85066,0.0,0.0,0.0,0.972031,0.0,0.0,0.0,1.0,0.0,0.0,0.0,19.356805,0.304659,0.197674,0.2469,0.166495,0.607566,0.392487,cold_start,20,0.03018,0.284376,3.078068
0,7,7,20,1,unformed,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.171952,0.234192,0.023256,0.317848,0.401958,0.193707,0.475542,cold_start,4,0.025479,0.593122,-1.793496
0,9,9,20,1,unformed,,0.0,0.0,0.0,0.0,0.891688,0.0,0.0,0.0,0.939841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.316202,0.239987,0.406977,0.260995,0.134481,0.157493,0.468095,cold_start,40,0.026021,0.340074,2.7145
0,10,10,20,1,unformed,,0.0,0.0,0.0,0.0,0.80126,0.0,0.0,0.0,0.902445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.243286,0.291196,0.069767,0.432958,0.554279,0.107781,0.407148,cold_start,10,0.040929,0.425561,-1.061709
0,64,14,20,1,unformed,,0.0,0.0,0.0,0.0,0.888779,0.0,0.0,0.0,0.949661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.326248,0.306209,0.093023,0.262995,0.558967,0.30985,0.390833,cold_start,10,0.018865,0.313649,0.104108
0,65,15,20,1,unformed,,0.5,0.0,0.0,0.0,0.95211,0.0,0.0,0.0,0.998177,0.0,0.0,0.0,15.762226,0.0,0.0,0.0,12.747784,0.225235,0.081395,0.012166,0.217299,0.59008,0.487288,cold_start,9,0.022033,0.73086,2.39537
0,66,16,20,1,unformed,,0.5,0.0,0.0,0.0,0.936678,0.0,0.0,0.0,0.997722,0.0,0.0,0.0,16.730701,0.0,0.0,0.0,12.506674,0.205235,0.093023,0.002346,0.164947,0.560624,0.514572,cold_start,10,0.018949,0.816756,2.840596
0,19,19,20,1,unformed,,0.5,0.0,0.0,0.0,0.597788,0.0,0.0,0.0,0.887584,0.0,0.0,0.0,2.905431,0.0,0.0,0.0,35.367998,0.333528,0.023256,0.330501,0.637023,0.343331,0.362805,cold_start,7,0.014443,0.855896,-0.249484
0,22,22,20,1,unformed,,0.5,0.0,0.0,0.0,0.870628,0.0,0.0,0.0,0.952464,0.0,0.0,0.0,19.50701,0.0,0.0,0.0,33.827521,0.331788,0.569767,0.228053,0.501575,0.027756,0.364528,cold_start,54,0.028742,0.185257,2.188524
0,26,26,20,1,unformed,,0.0,0.0,0.0,0.0,0.775321,0.0,0.0,0.0,0.936952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.641408,0.441418,0.372093,0.305722,0.246562,0.841297,0.270419,cold_start,37,0.02585,0.345527,0.277017
