cid,born,host_lost,reaped,ghost_duration,ttl_bonus,effective_ttl
1,0,1,11,10,0,10
6,0,1,11,10,0,10
8,0,1,11,10,0,10
5,0,3,13,10,0,10
11,2,3,13,10,0,10
12,2,3,13,10,0,10
13,2,3,13,10,0,10
15,2,3,13,10,0,10
18,2,3,13,10,0,10
21,3,4,14,10,0,10
3,0,5,15,10,0,10
17,2,5,15,10,0,10
24,4,5,15,10,0,10
20,3,6,16,10,0,10
14,2,7,17,10,0,10
16,2,7,17,10,0,10
27,6,7,17,10,0,10
28,6,7,17,10,0,10
4,0,8,18,10,0,10
25,4,8,18,10,0,10
32,7,8,18,10,0,10
33,7,8,18,10,0,10
29,6,9,19,10,0,10
30,6,9,19,10,0,10
36,8,9,19,10,0,10
37,8,9,19,10,0,10
23,4,10,20,10,0,10
35,8,10,20,10,0,10
39,9,10,20,10,0,10
31,6,11,21,10,0,10
34,7,11,21,10,0,10
38,8,11,21,10,0,10
48,11,12,22,10,0,10
46,11,13,23,10,0,10
49,11,13,23,10,0,10
50,11,13,23,10,0,10
51,11,13,23,10,0,10
54,12,13,23,10,0,10
40,9,14,24,10,0,10
45,11,14,24,10,0,10
57,13,14,24,10,0,10
56,13,15,25,10,0,10
58,13,15,25,10,0,10
55,13,16,26,10,0,10
59,15,16,26,10,0,10
60,15,16,26,10,0,10
61,15,16,26,10,0,10
43,10,17,27,10,0,10
62,15,17,27,10,0,10
47,11,18,28,10,0,10
53,12,18,28,10,0,10
63,18,19,29,10,0,10
65,19,20,30,10,0,10
66,19,20,30,10,0,10
68,21,22,32,10,0,10
69,21,22,32,10,0,10
70,21,22,32,10,0,10
72,21,22,32,10,0,10
73,21,22,32,10,0,10
71,21,23,33,10,0,10
76,21,23,33,10,0,10
74,21,24,34,10,0,10
77,21,24,34,10,0,10
78,23,24,34,10,0,10
75,21,24,35,11,1,11
80,24,25,35,10,0,10
81,24,25,35,10,0,10
67,20,26,36,10,0,10
83,25,26,36,10,0,10
84,25,26,36,10,0,10
64,18,26,37,11,1,11
85,25,26,37,11,1,11
87,26,27,37,10,0,10
89,26,27,38,11,1,11
91,27,28,38,10,0,10
7,0,28,39,11,1,11
93,27,29,39,10,0,10
95,28,29,39,10,0,10
