seed,label_id,birth_window,death_window,lifespan,alive,phase_sig,n_core,last_social,last_stability,last_spread,last_familiarity,last_partners,last_st_mean,last_st_std,last_fam_max,last_att_nodes,trajectory_type,cognitive_id,became_ghost_w
1,24,8,32,25,False,-2.6359,2,0.4375,0.6418,0.7903,4.2155,7,6.92,3.86,19.5844,133,stable|focused_att|dead,24,32
1,43,13,32,20,False,2.7829,2,0.3125,0.702,0.7495,6.5832,5,6.98,2.96,26.0232,143,stable|focused_att|dead,43,32
1,68,19,,21,True,2.1858,5,1.0,0.6637,0.8546,19.3962,11,47.26,23.95,44.8922,1705,social|stable|wide_att|deep_conn,68,
1,69,19,34,16,False,1.66,4,1.0,0.6617,0.8218,7.7729,15,28.09,14.36,29.366,949,social|stable|dead,69,34
1,71,19,27,9,False,-0.5126,2,0.5294,0.6872,0.7262,5.4518,9,6.49,2.95,25.4054,152,social|stable|focused_att|dead,71,27
1,72,19,20,2,False,-0.4565,2,0.0,0.6536,0.8202,0.0,0,9.53,5.05,0.0,99,isolated|stable|dead,72,20
1,30,9,28,20,False,0.3311,2,0.2778,0.5696,0.7542,5.2732,5,6.18,4.67,21.3872,120,stable|focused_att|dead,30,28
1,14,3,32,30,False,-2.7144,3,0.75,0.6728,0.752,4.0822,12,11.87,5.77,17.7038,400,social|stable|focused_att|dead,14,32
1,52,15,,25,True,2.1559,3,0.7273,0.6477,0.7952,6.39,8,13.32,7.25,27.4596,340,social|stable|focused_att,52,
1,76,20,,20,True,-1.6492,5,0.8182,0.574,0.7985,14.7881,9,41.73,30.97,43.0959,1568,social|stable|focused_att|deep_conn,76,
1,77,20,21,2,False,1.517,2,0.0769,0.6626,0.8345,116.2234,1,8.41,4.28,116.2234,141,isolated|stable|deep_conn|dead,77,21
1,20,6,,34,True,-1.1967,4,0.8182,0.6953,0.8455,13.6112,9,29.06,12.73,37.5102,941,social|stable|deep_conn,20,
1,78,20,20,1,False,0.8886,2,0.2222,0.6468,0.8422,7.5717,2,7.79,4.26,8.6591,107,stable|dead,78,20
1,34,11,21,11,False,-2.6179,2,0.3077,0.6863,0.7857,16.8852,4,8.4,3.84,37.8674,179,stable|focused_att|deep_conn|dead,34,21
1,35,11,21,11,False,2.327,2,0.2308,0.7047,0.7969,10.196,3,7.81,3.27,15.2898,143,stable|focused_att|deep_conn|dead,35,21
1,58,16,,24,True,0.6994,5,1.0,0.6547,0.8641,13.0742,11,59.5,31.39,44.4074,1964,social|stable|wide_att|deep_conn,58,
1,59,16,,24,True,2.4717,5,0.9091,0.6128,0.8337,20.0387,10,45.67,28.86,44.4074,1608,social|stable|deep_conn,59,
1,79,21,22,2,False,2.1482,4,0.25,0.6423,0.8485,15.8371,4,33.84,18.85,42.2381,842,stable|deep_conn|dead,79,22
1,80,24,,16,True,-2.3999,5,1.0,0.6764,0.8586,12.9564,11,51.77,24.76,34.2573,1729,social|stable|wide_att|deep_conn,80,
1,81,25,30,6,False,0.1142,4,0.9375,0.6558,0.8095,6.2163,15,25.71,13.49,37.7502,960,social|stable|dead,81,30
1,82,26,28,3,False,0.775,3,0.4444,0.6867,0.8445,12.3913,8,20.04,9.14,40.1875,492,stable|deep_conn|dead,82,28
1,83,27,31,5,False,-1.5188,5,0.8125,0.6718,0.8485,22.1014,13,55.09,26.92,62.425,1965,social|stable|deep_conn|dead,83,31
1,84,29,,11,True,2.1716,5,0.9091,0.6804,0.8514,15.3673,10,51.87,24.36,44.8922,1802,social|stable|wide_att|deep_conn,84,
1,85,38,,2,True,1.6937,4,0.2727,0.6506,0.884,15.8991,3,36.2,19.44,29.985,835,stable|wide_att|deep_conn,85,
