record_id,dead_lid,phase_sig,deposited_at,removed_at,removal_reason
0,112,-2.9111,20,20,consumed
1,114,-3.0752,20,20,consumed
2,123,2.6707,20,20,consumed
3,127,1.4339,20,20,consumed
4,129,2.8957,21,21,consumed
5,106,-1.7876,21,21,consumed
6,125,-1.858,21,21,consumed
7,117,0.3069,21,21,consumed
8,92,-2.0866,22,22,consumed
9,134,-2.7809,25,25,consumed
10,124,1.156,26,26,consumed
11,133,1.8344,26,26,consumed
12,86,-2.2134,26,29,expired
13,131,-0.4097,27,30,expired
14,136,0.2779,33,33,consumed
15,140,0.1306,33,33,consumed
16,142,-1.423,34,34,consumed
17,141,2.4031,35,35,consumed
18,139,2.8765,36,36,consumed
19,1,1.9684,38,38,consumed
