cid,born,host_lost,reaped,ghost_duration,ttl_bonus,effective_ttl
3,0,1,11,10,0,10
4,0,1,11,10,0,10
8,1,2,12,10,0,10
9,1,2,12,10,0,10
13,1,2,12,10,0,10
5,1,3,13,10,0,10
11,1,3,13,10,0,10
12,1,3,13,10,0,10
17,2,3,13,10,0,10
19,2,3,13,10,0,10
1,0,4,14,10,0,10
15,2,4,14,10,0,10
10,1,5,15,10,0,10
16,2,5,15,10,0,10
21,3,5,15,10,0,10
27,4,5,15,10,0,10
2,0,6,16,10,0,10
18,2,6,16,10,0,10
20,3,6,16,10,0,10
25,4,6,16,10,0,10
26,4,6,16,10,0,10
30,5,6,16,10,0,10
31,5,7,17,10,0,10
33,6,7,17,10,0,10
34,6,7,17,10,0,10
35,6,7,17,10,0,10
32,5,8,18,10,0,10
40,7,8,18,10,0,10
39,7,9,19,10,0,10
43,8,9,19,10,0,10
46,8,9,19,10,0,10
47,8,9,19,10,0,10
50,8,9,19,10,0,10
51,8,9,19,10,0,10
42,8,10,20,10,0,10
54,9,10,20,10,0,10
55,9,10,20,10,0,10
44,8,11,21,10,0,10
49,8,11,21,10,0,10
52,8,11,21,10,0,10
53,9,12,22,10,0,10
57,10,12,22,10,0,10
60,10,12,22,10,0,10
61,10,12,22,10,0,10
64,11,12,22,10,0,10
38,7,13,23,10,0,10
41,8,13,23,10,0,10
45,8,13,23,10,0,10
48,8,13,23,10,0,10
66,12,13,23,10,0,10
67,12,13,23,10,0,10
56,10,14,24,10,0,10
58,10,14,24,10,0,10
69,13,14,24,10,0,10
68,13,15,25,10,0,10
28,5,16,26,10,0,10
62,11,16,26,10,0,10
65,12,16,26,10,0,10
63,11,17,27,10,0,10
76,16,18,28,10,0,10
77,16,18,28,10,0,10
78,16,18,28,10,0,10
80,17,18,28,10,0,10
82,17,18,28,10,0,10
83,17,18,28,10,0,10
59,10,19,29,10,0,10
70,15,19,29,10,0,10
71,15,19,29,10,0,10
73,16,19,29,10,0,10
88,18,20,30,10,0,10
90,19,20,30,10,0,10
92,19,20,30,10,0,10
93,19,20,30,10,0,10
79,17,23,33,10,0,10
87,18,24,34,10,0,10
74,16,25,35,10,0,10
72,16,27,37,10,0,10
91,19,24,37,13,3,13
75,16,27,38,11,1,11
85,18,27,38,11,1,11
