seed,window,links,v_labels,alive_tracked,mean_social,mean_stability,mean_spread,mean_familiarity,count_social,count_isolated,count_deeply_connected,reciprocal_pairs,asymmetric_pairs,fam_symmetry_mean,fam_symmetry_std,att_overlap_mean,att_overlap_pairs,subject_count_total,subject_hosted,subject_ghost,ghost_duration_mean,n_cids_with_tags,n_tags_total,tag_gain_social,tag_loss_social,tag_gain_stability,tag_loss_stability,tag_gain_spread,tag_loss_spread,tag_gain_familiarity,tag_loss_familiarity,ghost_births,ghost_reaped,pickup_uncontested,pickup_contested,pickup_no_eligible,pickup_total_success,death_pool_size,mean_ttl_bonus
10,20,2851,21,21,0.5265,0.6751,0.8691,17.4409,12,5,20,74,40,0.9277,0.1622,42.7,202,84,21,31,4.81,0,0,0,0,0,0,0,0,0,0,3,1,0,3,0,3,0,0.15
10,21,2950,20,20,0.755,0.667,0.8402,16.2053,17,1,19,118,30,0.9016,0.21,94.5,190,86,20,33,5.21,17,27,12,0,0,1,0,0,6,8,4,4,0,3,1,3,1,0.35294117647058826
10,22,2804,17,17,0.8347,0.6506,0.8422,13.2423,15,0,15,100,17,0.8613,0.2362,99.9,136,87,17,33,5.0,13,19,5,0,0,2,0,0,1,11,3,3,0,3,1,3,1,0.6
10,23,2891,15,15,0.8551,0.6747,0.8513,13.1227,14,0,13,94,5,0.8774,0.2283,123.5,105,88,15,33,5.09,7,7,0,0,0,0,0,0,1,6,0,2,0,0,1,0,1,0.6
10,24,2848,15,15,0.8667,0.6534,0.8414,11.517,14,0,11,98,3,0.8609,0.2358,118.7,105,88,15,31,5.77,7,7,0,0,0,0,0,0,1,6,2,3,2,0,1,2,0,0.6923076923076923
10,25,2823,13,13,0.9161,0.661,0.8454,10.8676,13,0,8,75,2,0.8614,0.2423,131.7,78,88,13,30,5.97,2,2,0,0,0,0,0,0,0,2,1,1,0,1,0,1,0,0.7142857142857143
10,26,2907,14,14,0.823,0.6575,0.8442,9.8128,12,1,4,67,11,0.9119,0.1574,106.4,91,90,14,30,6.63,10,10,0,0,0,1,0,0,1,8,0,3,0,0,0,0,0,0.6666666666666666
10,27,2802,15,15,0.7917,0.6667,0.8497,12.3838,12,0,10,87,8,0.8327,0.2635,121.8,105,91,15,27,7.26,11,14,2,1,0,0,0,0,8,3,1,4,1,0,0,1,0,0.6875
10,28,2856,16,16,0.7891,0.6548,0.8504,12.1323,15,0,11,100,10,0.8507,0.2387,121.7,120,93,16,24,7.5,7,8,0,0,0,1,0,0,2,5,1,8,0,1,0,1,0,0.75
10,29,2793,16,16,0.8043,0.6733,0.8477,13.5744,15,0,13,101,10,0.8702,0.2285,132.9,120,94,16,17,6.88,10,13,3,2,1,0,0,0,5,2,1,2,0,1,0,1,0,0.8125
10,30,2837,16,16,0.8512,0.6732,0.8572,15.8387,15,1,13,99,10,0.8345,0.271,136.4,120,95,16,16,7.06,14,18,7,0,0,1,0,0,7,3,0,3,0,0,0,0,0,0.6842105263157895
10,31,2884,19,19,0.7829,0.6721,0.8527,15.8782,17,0,18,135,16,0.849,0.258,125.9,171,98,19,13,7.38,6,7,1,0,0,0,0,0,3,3,3,4,1,2,0,3,0,0.9411764705882353
10,32,2721,17,17,0.8309,0.6902,0.8481,15.971,16,0,16,116,12,0.8767,0.2147,134.9,136,99,17,12,5.67,5,6,2,0,0,0,0,0,3,1,1,3,0,1,0,1,0,0.9375
10,33,2794,16,16,0.8778,0.6708,0.8407,14.3982,16,0,15,101,14,0.8467,0.2322,122.3,120,99,16,10,4.8,11,12,3,1,0,0,0,0,1,7,0,0,0,0,0,0,0,0.8823529411764706
10,34,2897,17,17,0.8636,0.6692,0.8417,14.0088,16,0,15,113,13,0.8315,0.2397,113.7,136,100,17,10,5.8,8,8,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0.8333333333333334
10,35,2854,18,18,0.8502,0.6652,0.8404,12.2198,17,0,13,132,11,0.8336,0.2527,107.9,153,101,18,10,6.8,8,10,1,0,0,1,0,0,1,7,1,3,0,0,1,0,1,0.8333333333333334
10,36,2767,18,18,0.8454,0.6756,0.8448,12.2761,17,0,13,126,14,0.8197,0.2788,111.4,153,102,18,8,5.5,7,8,0,0,0,1,0,0,2,5,1,0,0,1,1,1,1,0.9411764705882353
10,37,2716,17,17,0.8645,0.6586,0.8412,12.2876,17,0,13,113,14,0.8392,0.2519,126.5,136,102,17,9,5.89,8,9,1,0,0,0,0,0,4,4,1,1,0,1,1,1,1,1.0625
10,38,2806,16,16,0.8807,0.667,0.8507,12.7535,16,0,12,100,14,0.8387,0.2636,127.9,120,102,16,9,5.78,9,10,1,0,0,0,0,0,5,4,0,1,0,0,1,0,0,1.0625
10,39,2735,16,16,0.881,0.6613,0.8388,10.9628,16,0,9,99,15,0.8423,0.2628,119.2,120,102,16,8,6.25,11,11,0,0,0,0,0,0,2,9,1,1,1,0,0,1,0,1.125
