cid,window,prev_social,prev_stability,prev_spread,prev_familiarity,current_social,current_stability,current_spread,current_familiarity,delta_social,delta_stability,delta_spread,delta_familiarity,tags,n_tags,state
11,21,0.6316,0.6891,0.873,16.087,0.72,0.6859,0.8418,11.6636,0.0884,-0.0032,-0.0311,-4.4234,loss_familiarity,1,hosted
21,21,0.3684,0.6566,0.8647,19.7761,0.56,0.7521,0.8292,12.1496,0.1916,0.0955,-0.0355,-7.6266,gain_social|loss_familiarity,2,hosted
22,21,0.8421,0.6405,0.8805,18.4907,0.96,0.6627,0.8444,18.6924,0.1179,0.0222,-0.0361,0.2017,gain_social,1,hosted
25,21,0.8421,0.7045,0.8822,17.9193,0.8,0.6035,0.8358,20.2216,-0.0421,-0.101,-0.0464,2.3024,loss_stability|gain_familiarity,2,hosted
34,21,0.4737,0.6793,0.8656,15.4266,0.72,0.6263,0.8213,11.8579,0.2463,-0.053,-0.0443,-3.5687,gain_social|loss_familiarity,2,hosted
35,21,0.5263,0.656,0.8698,11.4719,0.52,0.6663,0.8173,12.7618,-0.0063,0.0103,-0.0525,1.2899,,0,hosted
36,21,0.6316,0.6011,0.8748,13.9869,0.84,0.6859,0.8603,14.3432,0.2084,0.0848,-0.0145,0.3563,gain_social,1,hosted
40,21,0.7368,0.6491,0.8747,8.8217,0.76,0.5872,0.8965,15.256,0.0232,-0.0619,0.0219,6.4343,gain_familiarity,1,hosted
51,21,0.5789,0.6896,0.8754,13.5798,0.64,0.681,0.8395,30.4723,0.0611,-0.0087,-0.0359,16.8925,gain_familiarity,1,hosted
61,21,0.0526,0.668,0.8571,28.1928,0.16,0.7021,0.7878,13.3049,0.1074,0.0341,-0.0693,-14.8879,gain_social|loss_familiarity,2,hosted
67,21,1.0,0.7408,0.8929,29.168,1.0,0.6443,0.8501,17.9497,0.0,-0.0965,-0.0428,-11.2184,loss_familiarity,1,hosted
69,21,0.8947,0.6577,0.8623,13.0046,0.88,0.6609,0.8618,17.9223,-0.0147,0.0033,-0.0005,4.9178,gain_familiarity,1,hosted
74,21,0.1053,0.6881,0.8435,28.5097,0.16,0.5928,0.79,10.7557,0.0547,-0.0953,-0.0534,-17.7539,loss_familiarity,1,hosted
75,21,0.2632,0.6505,0.8711,14.7553,0.24,0.7242,0.6825,11.5111,-0.0232,0.0737,-0.1886,-3.2442,loss_spread|loss_familiarity,2,hosted
76,21,0.7895,0.6178,0.8647,12.8608,0.92,0.6433,0.853,14.5366,0.1305,0.0255,-0.0117,1.6758,gain_social,1,hosted
77,21,0.6842,0.6942,0.8704,15.7995,0.72,0.6923,0.8286,15.3937,0.0358,-0.0019,-0.0418,-0.4058,,0,hosted
80,21,0.2632,0.6739,0.8295,76.5963,0.24,0.6615,0.7471,27.5008,-0.0232,-0.0124,-0.0824,-49.0954,loss_familiarity,1,hosted
82,21,0.2105,0.6571,0.8402,163.5581,0.36,0.7212,0.7775,75.0793,0.1495,0.0641,-0.0627,-88.4788,gain_social|loss_familiarity,2,hosted
83,21,0.2105,0.68,0.8526,21.4251,0.16,0.6384,0.7381,7.874,-0.0505,-0.0416,-0.1145,-13.5512,loss_spread|loss_familiarity,2,hosted
84,21,0.0526,0.6976,0.8417,5.9814,0.08,0.6702,0.7643,15.1955,0.0274,-0.0274,-0.0774,9.2142,gain_familiarity,1,hosted
11,22,0.72,0.6859,0.8418,11.6636,0.7308,0.6847,0.8494,8.2766,0.0108,-0.0012,0.0076,-3.3869,loss_familiarity,1,hosted
21,22,0.56,0.7521,0.8292,12.1496,0.6154,0.6214,0.8304,6.4332,0.0554,-0.1307,0.0012,-5.7163,loss_stability|loss_familiarity,2,hosted
22,22,0.96,0.6627,0.8444,18.6924,0.9615,0.7037,0.8607,14.2478,0.0015,0.041,0.0163,-4.4446,loss_familiarity,1,hosted
25,22,0.8,0.6035,0.8358,20.2216,0.8846,0.7135,0.859,13.9682,0.0846,0.1099,0.0231,-6.2535,gain_stability|loss_familiarity,2,hosted
34,22,0.72,0.6263,0.8213,11.8579,0.7308,0.7149,0.8542,9.377,0.0108,0.0887,0.0329,-2.4808,loss_familiarity,1,hosted
35,22,0.52,0.6663,0.8173,12.7618,0.6538,0.6735,0.8572,17.3656,0.1338,0.0072,0.04,4.6038,gain_social|gain_familiarity,2,hosted
36,22,0.84,0.6859,0.8603,14.3432,0.8846,0.6461,0.8392,11.9707,0.0446,-0.0398,-0.0211,-2.3725,loss_familiarity,1,hosted
40,22,0.76,0.5872,0.8965,15.256,0.8462,0.7045,0.8281,15.7856,0.0862,0.1173,-0.0684,0.5296,gain_stability,1,hosted
61,22,0.16,0.7021,0.7878,13.3049,0.1538,0.6604,0.6939,12.2519,-0.0062,-0.0417,-0.0939,-1.0529,,0,hosted
67,22,1.0,0.6443,0.8501,17.9497,1.0,0.6719,0.8539,14.1174,0.0,0.0276,0.0037,-3.8323,loss_familiarity,1,hosted
69,22,0.88,0.6609,0.8618,17.9223,0.9231,0.6412,0.8327,13.4578,0.0431,-0.0197,-0.0291,-4.4645,loss_familiarity,1,hosted
74,22,0.16,0.5928,0.79,10.7557,0.1538,0.6641,0.7599,6.5373,-0.0062,0.0713,-0.0301,-4.2185,loss_familiarity,1,hosted
75,22,0.24,0.7242,0.6825,11.5111,0.2308,0.6335,0.6915,6.3366,-0.0092,-0.0907,0.009,-5.1745,loss_familiarity,1,hosted
76,22,0.92,0.6433,0.853,14.5366,0.9231,0.6478,0.8591,14.0658,0.0031,0.0045,0.006,-0.4708,,0,hosted
84,22,0.08,0.6702,0.7643,15.1955,0.0769,0.692,0.7973,5.5845,-0.0031,0.0219,0.033,-9.611,loss_familiarity,1,hosted
86,22,0.68,0.6133,0.88,15.4858,0.8462,0.6399,0.848,13.4298,0.1662,0.0266,-0.032,-2.0561,gain_social|loss_familiarity,2,hosted
87,22,0.16,0.711,0.8422,14.2239,0.2308,0.7287,0.8162,12.659,0.0708,0.0176,-0.026,-1.5649,,0,hosted
88,22,0.72,0.6528,0.8756,16.9038,0.7692,0.6128,0.8509,13.5119,0.0492,-0.04,-0.0247,-3.3919,loss_familiarity,1,hosted
11,23,0.7308,0.6847,0.8494,8.2766,0.75,0.6611,0.795,7.2969,0.0192,-0.0236,-0.0544,-0.9797,,0,hosted
