seed,from,to,familiarity
15,1,68,1.3235
15,1,69,18.7532
15,1,28,10.3216
15,1,29,22.235
15,1,72,3.7364
15,1,98,15.4544
15,1,27,81.7335
15,1,100,2.8185
15,1,102,10.0467
15,1,103,3.5986
15,1,112,29.2428
15,1,114,57.2175
15,1,115,13.6599
15,1,118,7.8168
15,1,120,1.107
15,27,72,17.103
15,27,69,17.9757
15,27,28,42.7201
15,27,98,4.3037
15,27,68,4.4417
15,27,1,81.7335
15,27,100,19.2022
15,27,102,18.4131
15,27,103,25.6844
15,27,112,33.768
15,27,114,36.2088
15,27,115,24.6422
15,27,119,15.8268
15,27,118,34.2867
15,27,120,2.9182
15,27,121,2.653
15,27,122,9.542
15,28,72,17.5176
15,28,69,30.4257
15,28,29,8.8293
15,28,1,10.3216
15,28,68,5.5017
15,28,27,42.7201
15,28,98,23.9788
15,28,100,31.9797
15,28,102,36.3407
15,28,103,7.5469
15,28,112,35.5879
15,28,115,12.0158
15,28,114,17.7541
15,28,118,7.9843
15,28,119,15.5606
15,28,122,2.7536
15,28,120,46.9556
15,29,72,32.1495
15,29,68,12.6739
15,29,28,8.8293
15,29,1,22.235
15,29,69,36.2543
15,29,98,2.396
15,29,100,22.6064
15,29,102,10.3049
15,29,103,12.9369
15,29,112,5.4074
15,29,114,12.6321
15,29,115,23.8559
15,29,118,30.2057
15,29,119,13.5244
15,29,122,4.2453
15,29,120,13.932
15,69,72,24.7928
15,69,28,30.4257
15,69,1,18.7532
15,69,27,17.9756
15,69,29,36.2543
15,69,68,11.8842
15,69,98,14.4265
15,69,100,4.2273
15,69,102,22.0367
15,69,103,12.6966
15,69,112,4.8007
15,69,114,19.9725
15,69,115,2.9327
15,69,119,8.29
15,69,122,36.7852
15,69,118,10.0306
15,69,121,4.0978
15,69,120,4.681
15,72,29,18.1658
15,72,28,16.7126
15,72,69,23.9038
15,72,27,14.3004
15,72,1,1.2806
15,72,98,9.8239
15,72,100,38.0354
15,72,102,1.7213
15,72,103,22.2018
15,72,114,9.5912
15,72,112,11.0293
15,72,115,14.1701
15,72,118,1.9887
15,72,119,5.8562
15,72,121,10.9809
15,72,122,40.258
15,98,69,11.5378
15,98,27,3.7616
15,98,1,12.9782
15,98,72,9.8239
15,98,68,2.3371
15,98,100,9.6107
15,98,28,5.0546
15,98,103,25.5743
