record_id,dead_lid,window,winner_cid,winner_phase_dist,winner_new_ttl_bonus,n_candidates,outcome,loser_cids,loser_phase_dists
0,109,20,32,0.213984,1,1,uncontested,,
1,116,20,84,0.06662,1,4,contested,78|83|53,0.1414|0.2027|0.3439
2,124,20,83,0.021675,1,7,contested,53|84|12|80|78|79,0.1195|0.1578|0.2116|0.3397|0.3658|0.3860
3,126,20,79,0.02288,1,6,contested,21|80|46|12|53,0.0472|0.0692|0.1833|0.1973|0.2894
4,127,20,53,0.017301,1,7,contested,12|83|80|79|84|21,0.0749|0.1585|0.2029|0.2493|0.2946|0.3194
6,106,21,66,0.020237,1,2,contested,82,0.1972
7,101,21,19,0.181369,1,1,uncontested,,
8,79,21,12,0.09216,1,6,contested,83|80|79|84|21,0.1412|0.2202|0.2666|0.2773|0.3367
9,123,23,83,0.136122,2,4,contested,78|89|12,0.2080|0.2666|0.3694
10,115,24,79,0.046325,2,6,contested,88|21|12|46|83,0.0849|0.1164|0.1281|0.2525|0.3614
11,28,25,92,0.363143,1,1,uncontested,,
12,71,25,21,0.136073,1,4,contested,79|88|12,0.2062|0.3374|0.3806
13,129,26,12,0.043132,2,4,contested,79|21|83,0.1313|0.2014|0.2764
14,120,27,12,0.233315,3,2,contested,78,0.3442
15,132,27,42,0.105016,1,1,uncontested,,
16,119,27,66,0.176984,2,1,uncontested,,
17,128,29,89,0.058572,1,4,contested,92|95|93,0.1546|0.2120|0.3058
18,131,31,97,0.137331,1,1,uncontested,,
19,130,31,92,0.096009,2,3,contested,95|93,0.1534|0.2472
20,100,32,96,0.320313,1,1,uncontested,,
