seed,cognitive_id,birth_window,host_lost_window,reaped_window,final_state,ghost_duration,original_phase_sig,last_n_partners,last_familiarity_max,last_attention_size,last_tag_window,prev_social,prev_stability,prev_spread,prev_familiarity,current_social,current_stability,current_spread,current_familiarity,delta_social,delta_stability,delta_spread,delta_familiarity,generated_tags,state_at_window,ttl_bonus,n_pickups_won,n_pickups_lost,effective_ttl,v99_formation_status,v99_trace_len,v99_range_social_min,v99_range_social_max,v99_range_social_mean,v99_range_social_std,v99_range_stability_min,v99_range_stability_max,v99_range_stability_mean,v99_range_stability_std,v99_range_spread_min,v99_range_spread_max,v99_range_spread_mean,v99_range_spread_std,v99_range_familiarity_min,v99_range_familiarity_max,v99_range_familiarity_mean,v99_range_familiarity_std,v99_drift_social_positive,v99_drift_social_negative,v99_drift_social_neutral,v99_drift_stability_positive,v99_drift_stability_negative,v99_drift_stability_neutral,v99_drift_spread_positive,v99_drift_spread_negative,v99_drift_spread_neutral,v99_drift_familiarity_positive,v99_drift_familiarity_negative,v99_drift_familiarity_neutral,v99_lowest_std_axis,v99_dominant_positive_drift_axis,v99_dominant_negative_drift_axis,v10_pulse_count,v10_tag_trigger_last,v10_n_normal,v10_n_major,v10_theta_social_last,v10_theta_stability_last,v10_theta_spread_last,v10_theta_familiarity_last,v10_R_social_last,v10_R_stability_last,v10_R_spread_last,v10_R_familiarity_last,v10_R_max_social,v10_R_max_stability,v10_R_max_spread,v10_R_max_familiarity,v10_R_min_social,v10_R_min_stability,v10_R_min_spread,v10_R_min_familiarity,v11_b_gen,v11_m_c_n_core,v11_m_c_s_avg,v11_m_c_r_core,v11_m_c_phase_sig,v11_n_pulses_eval,v11_n_captured,v11_capture_rate,v11_mean_delta,v11_mean_d_n,v11_mean_d_s,v11_mean_d_r,v11_mean_d_phase,v913_tau,v913_birth_age_r_min,v913_birth_age_r_mean,v913_birth_max_age_r_mean,v913_n_member_edges
6,0,0,,,hosted,0,-0.0447,17,66.9276,1877,39,1.0,0.667,0.8271,12.7282,1.0,0.6682,0.8771,23.0352,0.0,0.0011,0.05,10.307,gain_familiarity,hosted,1,1,1,11,formed,5,0.9375,1.0,0.9875,0.025,0.5853825376397129,0.691790256125203,0.6555079268772281,0.03638779862095669,0.8257776450000388,0.877118375403466,0.8481845442038736,0.0236879339880616,12.728174580683657,23.035171053270982,18.552360009619512,3.403029982746842,0,0,5,0,1,4,0,0,5,1,3,1,spread,familiarity,familiarity,200,both,149,63,0.012132,0.078944,0.00727,1.039005,0.0,0.086786,-0.248946,3.517065,3.803241,4.092018,2.340848,3.517065,-3.333156,-3.278943,-1.730957,-1.559963,34.114483,5,0.285902,0.542483,-0.044654,197,45,0.228426,0.40992,0.547633,0.257627,0.333978,0.500441,50,,,,
6,6,2,25,36,reaped,11,-0.569,20,42.2027,2017,25,0.875,0.6803,0.8725,12.7116,0.8333,0.6712,0.8454,12.957,-0.0417,-0.009,-0.0271,0.2454,,hosted,1,1,1,11,unformed,0,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,0,unformed,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,0,0,unformed,unformed,unformed,unformed,unformed,unformed,50,,,,
6,13,4,37,,ghost,2,2.3879,11,36.2426,511,37,0.7333,0.6435,0.8559,12.9151,0.7333,0.7005,0.7759,10.2364,0.0,0.057,-0.08,-2.6786,loss_familiarity,hosted,3,3,0,13,formed,5,0.7333333333333333,0.8125,0.7712745098039215,0.035556419095146057,0.6201539758519782,0.7004790728181011,0.6659196601824526,0.030441670344384424,0.7758974897636082,0.8559422254409036,0.8104585242397627,0.02600376792122586,2.7449677369209686,12.915060712462763,6.92479179133168,3.9780185606784078,0,1,4,0,0,5,0,0,5,1,1,3,spread,familiarity,tie,180,MAD_DT_Normal,131,63,0.013542,0.036774,0.012204,1.036275,0.0,0.037709,0.123524,1.595072,8.887309,4.178271,2.633585,7.623415,-19.993602,-2.246768,-2.830211,-1.400949,18.697406,3,0.34673,0.77464,2.387916,177,68,0.384181,0.35842,0.173039,0.318363,0.456912,0.485367,50,,,,
6,24,5,39,,ghost,0,2.0475,17,66.9276,1462,39,1.0,0.6854,0.8471,22.5131,1.0,0.6232,0.8564,18.7225,0.0,-0.0622,0.0093,-3.7907,loss_familiarity,hosted,1,1,2,11,formed,5,0.9333333333333333,1.0,0.9866666666666667,0.02666666666666666,0.62315564397059,0.7084665116657979,0.673154079729943,0.02833762991505611,0.8471466249522719,0.8646827918409214,0.8548911693760202,0.005861052352742179,12.66692383875789,22.540986912667947,18.332922256564753,3.927356917074334,0,0,5,0,0,5,0,0,5,1,3,1,spread,familiarity,familiarity,200,MAD_DT_Normal,144,57,0.005882,0.022848,0.004764,0.945784,0.0,-1.534875,-0.048887,-0.067195,9.9983,3.448847,2.158765,1.238707,-4.857898,-1.96998,-1.633077,-1.381307,32.538687,5,0.438495,0.873572,2.047546,197,43,0.218274,0.525261,0.533585,0.410903,0.671994,0.484564,50,,,,
6,37,10,,,hosted,0,-1.6773,15,14.5587,993,39,0.9375,0.6423,0.8355,9.8233,0.8824,0.6713,0.8279,6.8433,-0.0551,0.0291,-0.0076,-2.98,loss_familiarity,hosted,1,1,0,11,formed,5,0.875,1.0,0.9256372549019607,0.04509420273536646,0.6422800334135795,0.7131721146027978,0.6681369650857404,0.025155370114506612,0.8234106288814599,0.848988123690316,0.8354861585176794,0.009215474360090948,6.843312504151127,14.371672947725829,11.205041548265319,2.618973364144799,0,0,5,0,0,5,0,0,5,0,3,2,spread,none,familiarity,200,MAD_DT_Normal,158,63,0.00625,0.033872,0.00623,0.673799,0.0,-0.726866,0.600143,-1.09527,0.294672,4.187538,1.739447,1.532327,-9.410259,-6.548543,-2.840063,-1.169195,34.135959,5,0.38919,0.397818,-1.677263,197,63,0.319797,0.389861,0.483945,0.361531,0.195376,0.518593,50,,,,
6,38,11,32,,ghost,7,-3.0082,15,46.4016,1731,32,1.0,0.691,0.8337,16.0593,0.9375,0.6714,0.8579,14.1804,-0.0625,-0.0196,0.0242,-1.8789,,hosted,2,2,1,12,formed,5,0.9047619047619048,1.0,0.9684523809523811,0.04000070861050343,0.6674416740915821,0.7123859629126047,0.6854456771248565,0.01598286706644125,0.8337084221376415,0.8672655059807409,0.8518130410748865,0.01454813881569742,11.495962996727004,18.80754943073901,14.738946221131394,2.5157751646804902,0,0,5,0,0,5,0,0,5,1,1,3,spread,familiarity,familiarity,130,MAD_DT_Normal,97,42,0.003125,0.029205,0.006148,0.91673,0.0,-0.44839,-1.740201,0.458023,0.0,3.795046,2.707256,1.586859,-10.586442,-3.836679,-3.185654,-1.53102,34.955271,5,0.399925,0.243191,-3.008167,127,40,0.314961,0.369476,0.549899,0.371673,0.107633,0.448698,50,,,,
6,47,13,22,32,reaped,10,-2.7888,16,33.4265,1052,22,0.65,0.6696,0.8212,8.1142,0.6667,0.6905,0.8344,7.7807,0.0167,0.0209,0.0132,-0.3336,,hosted,0,0,1,10,unformed,0,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,0,unformed,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,0,0,unformed,unformed,unformed,unformed,unformed,unformed,50,,,,
6,48,13,,,hosted,0,0.0549,17,47.5456,1868,39,1.0,0.5728,0.8747,18.883,1.0,0.6737,0.8301,19.0277,0.0,0.1009,-0.0447,0.1447,gain_stability,hosted,0,0,3,10,formed,5,0.9375,1.0,0.9875,0.025,0.5727714028833197,0.6736913906256191,0.6308801974509824,0.04349134793145341,0.830057980002683,0.8795663174747839,0.861129383337841,0.01807616669123332,13.30356476698993,22.96942186688399,17.861179079966735,3.369643974577773,0,0,5,1,0,4,0,0,5,2,1,2,spread,familiarity,familiarity,200,none,159,63,0.0,0.030161,0.004771,1.17823,0.0,-0.213563,0.03536,0.314934,0.0,5.981258,1.190654,2.315752,0.0,-2.569235,-2.989427,-1.265386,33.412044,5,0.367879,0.641222,0.05495,197,58,0.294416,0.44716,0.533113,0.339027,0.438774,0.477725,50,,,,
6,52,15,22,33,reaped,11,-2.0346,2,10.8907,195,22,0.05,0.7782,0.7092,6.0638,0.0833,0.7063,0.8108,6.5596,0.0333,-0.0719,0.1016,0.4958,gain_spread,hosted,1,1,0,11,unformed,0,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,0,unformed,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,0,0,unformed,unformed,unformed,unformed,unformed,unformed,50,,,,
6,53,15,22,32,reaped,10,0.2577,14,33.2363,1121,22,0.65,0.6675,0.8543,11.3626,0.5833,0.6812,0.8112,10.6607,-0.0667,0.0137,-0.0431,-0.7019,,hosted,0,0,1,10,unformed,0,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,0,unformed,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,0,0,unformed,unformed,unformed,unformed,unformed,unformed,50,,,,
