Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
4	:	1776490277.996	  4752.648	0	3365	0	0	python3 v914_probabilistic_expenditure.py --seed 3 --maturation-windows 20 --tracking-windows 10 --window-steps 500 --tag short_noE3 --disable-e3
9	:	1776490278.010	  4787.069	0	3317	0	0	python3 v914_probabilistic_expenditure.py --seed 8 --maturation-windows 20 --tracking-windows 10 --window-steps 500 --tag short_noE3 --disable-e3
6	:	1776490278.001	  4791.470	0	3320	0	0	python3 v914_probabilistic_expenditure.py --seed 5 --maturation-windows 20 --tracking-windows 10 --window-steps 500 --tag short_noE3 --disable-e3
10	:	1776490278.013	  4799.254	0	3352	0	0	python3 v914_probabilistic_expenditure.py --seed 9 --maturation-windows 20 --tracking-windows 10 --window-steps 500 --tag short_noE3 --disable-e3
1	:	1776490277.988	  4799.377	0	3346	0	0	python3 v914_probabilistic_expenditure.py --seed 0 --maturation-windows 20 --tracking-windows 10 --window-steps 500 --tag short_noE3 --disable-e3
23	:	1776490278.140	  4800.778	0	3379	0	0	python3 v914_probabilistic_expenditure.py --seed 22 --maturation-windows 20 --tracking-windows 10 --window-steps 500 --tag short_noE3 --disable-e3
2	:	1776490277.990	  4814.549	0	3322	0	0	python3 v914_probabilistic_expenditure.py --seed 1 --maturation-windows 20 --tracking-windows 10 --window-steps 500 --tag short_noE3 --disable-e3
22	:	1776490278.135	  4826.976	0	3380	0	0	python3 v914_probabilistic_expenditure.py --seed 21 --maturation-windows 20 --tracking-windows 10 --window-steps 500 --tag short_noE3 --disable-e3
24	:	1776490278.149	  4829.285	0	3371	0	0	python3 v914_probabilistic_expenditure.py --seed 23 --maturation-windows 20 --tracking-windows 10 --window-steps 500 --tag short_noE3 --disable-e3
3	:	1776490277.993	  4834.394	0	3364	0	0	python3 v914_probabilistic_expenditure.py --seed 2 --maturation-windows 20 --tracking-windows 10 --window-steps 500 --tag short_noE3 --disable-e3
12	:	1776490278.018	  4839.611	0	3338	0	0	python3 v914_probabilistic_expenditure.py --seed 11 --maturation-windows 20 --tracking-windows 10 --window-steps 500 --tag short_noE3 --disable-e3
7	:	1776490278.004	  4841.970	0	3322	0	0	python3 v914_probabilistic_expenditure.py --seed 6 --maturation-windows 20 --tracking-windows 10 --window-steps 500 --tag short_noE3 --disable-e3
16	:	1776490278.033	  4845.862	0	3375	0	0	python3 v914_probabilistic_expenditure.py --seed 15 --maturation-windows 20 --tracking-windows 10 --window-steps 500 --tag short_noE3 --disable-e3
11	:	1776490278.015	  4849.623	0	3382	0	0	python3 v914_probabilistic_expenditure.py --seed 10 --maturation-windows 20 --tracking-windows 10 --window-steps 500 --tag short_noE3 --disable-e3
5	:	1776490277.998	  4869.821	0	3331	0	0	python3 v914_probabilistic_expenditure.py --seed 4 --maturation-windows 20 --tracking-windows 10 --window-steps 500 --tag short_noE3 --disable-e3
17	:	1776490278.042	  4881.769	0	3346	0	0	python3 v914_probabilistic_expenditure.py --seed 16 --maturation-windows 20 --tracking-windows 10 --window-steps 500 --tag short_noE3 --disable-e3
15	:	1776490278.028	  4882.411	0	3380	0	0	python3 v914_probabilistic_expenditure.py --seed 14 --maturation-windows 20 --tracking-windows 10 --window-steps 500 --tag short_noE3 --disable-e3
14	:	1776490278.024	  4888.160	0	3376	0	0	python3 v914_probabilistic_expenditure.py --seed 13 --maturation-windows 20 --tracking-windows 10 --window-steps 500 --tag short_noE3 --disable-e3
8	:	1776490278.007	  4897.723	0	3360	0	0	python3 v914_probabilistic_expenditure.py --seed 7 --maturation-windows 20 --tracking-windows 10 --window-steps 500 --tag short_noE3 --disable-e3
19	:	1776490278.104	  4926.199	0	3378	0	0	python3 v914_probabilistic_expenditure.py --seed 18 --maturation-windows 20 --tracking-windows 10 --window-steps 500 --tag short_noE3 --disable-e3
18	:	1776490278.086	  4951.709	0	3374	0	0	python3 v914_probabilistic_expenditure.py --seed 17 --maturation-windows 20 --tracking-windows 10 --window-steps 500 --tag short_noE3 --disable-e3
21	:	1776490278.126	  4961.300	0	3388	0	0	python3 v914_probabilistic_expenditure.py --seed 20 --maturation-windows 20 --tracking-windows 10 --window-steps 500 --tag short_noE3 --disable-e3
13	:	1776490278.021	  4981.129	0	3379	0	0	python3 v914_probabilistic_expenditure.py --seed 12 --maturation-windows 20 --tracking-windows 10 --window-steps 500 --tag short_noE3 --disable-e3
20	:	1776490278.119	  5089.722	0	3383	0	0	python3 v914_probabilistic_expenditure.py --seed 19 --maturation-windows 20 --tracking-windows 10 --window-steps 500 --tag short_noE3 --disable-e3
