Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
8	:	1776506736.988	  4718.535	0	3343	0	0	python3 v914_probabilistic_expenditure.py --seed 31 --maturation-windows 20 --tracking-windows 10 --window-steps 500 --tag short_noE3 --disable-e3
1	:	1776506736.968	  4747.863	0	3382	0	0	python3 v914_probabilistic_expenditure.py --seed 24 --maturation-windows 20 --tracking-windows 10 --window-steps 500 --tag short_noE3 --disable-e3
14	:	1776506737.005	  4772.372	0	3384	0	0	python3 v914_probabilistic_expenditure.py --seed 37 --maturation-windows 20 --tracking-windows 10 --window-steps 500 --tag short_noE3 --disable-e3
3	:	1776506736.974	  4784.197	0	3381	0	0	python3 v914_probabilistic_expenditure.py --seed 26 --maturation-windows 20 --tracking-windows 10 --window-steps 500 --tag short_noE3 --disable-e3
24	:	1776506737.150	  4806.980	0	3386	0	0	python3 v914_probabilistic_expenditure.py --seed 47 --maturation-windows 20 --tracking-windows 10 --window-steps 500 --tag short_noE3 --disable-e3
17	:	1776506737.040	  4812.078	0	3346	0	0	python3 v914_probabilistic_expenditure.py --seed 40 --maturation-windows 20 --tracking-windows 10 --window-steps 500 --tag short_noE3 --disable-e3
5	:	1776506736.980	  4815.394	0	3376	0	0	python3 v914_probabilistic_expenditure.py --seed 28 --maturation-windows 20 --tracking-windows 10 --window-steps 500 --tag short_noE3 --disable-e3
16	:	1776506737.022	  4817.287	0	3383	0	0	python3 v914_probabilistic_expenditure.py --seed 39 --maturation-windows 20 --tracking-windows 10 --window-steps 500 --tag short_noE3 --disable-e3
11	:	1776506736.997	  4818.360	0	3363	0	0	python3 v914_probabilistic_expenditure.py --seed 34 --maturation-windows 20 --tracking-windows 10 --window-steps 500 --tag short_noE3 --disable-e3
4	:	1776506736.977	  4819.256	0	3379	0	0	python3 v914_probabilistic_expenditure.py --seed 27 --maturation-windows 20 --tracking-windows 10 --window-steps 500 --tag short_noE3 --disable-e3
21	:	1776506737.107	  4824.686	0	3332	0	0	python3 v914_probabilistic_expenditure.py --seed 44 --maturation-windows 20 --tracking-windows 10 --window-steps 500 --tag short_noE3 --disable-e3
23	:	1776506737.132	  4830.420	0	3393	0	0	python3 v914_probabilistic_expenditure.py --seed 46 --maturation-windows 20 --tracking-windows 10 --window-steps 500 --tag short_noE3 --disable-e3
20	:	1776506737.084	  4833.380	0	3377	0	0	python3 v914_probabilistic_expenditure.py --seed 43 --maturation-windows 20 --tracking-windows 10 --window-steps 500 --tag short_noE3 --disable-e3
19	:	1776506737.075	  4840.593	0	3369	0	0	python3 v914_probabilistic_expenditure.py --seed 42 --maturation-windows 20 --tracking-windows 10 --window-steps 500 --tag short_noE3 --disable-e3
12	:	1776506736.999	  4843.593	0	3382	0	0	python3 v914_probabilistic_expenditure.py --seed 35 --maturation-windows 20 --tracking-windows 10 --window-steps 500 --tag short_noE3 --disable-e3
15	:	1776506737.009	  4844.047	0	3378	0	0	python3 v914_probabilistic_expenditure.py --seed 38 --maturation-windows 20 --tracking-windows 10 --window-steps 500 --tag short_noE3 --disable-e3
9	:	1776506736.991	  4852.855	0	3383	0	0	python3 v914_probabilistic_expenditure.py --seed 32 --maturation-windows 20 --tracking-windows 10 --window-steps 500 --tag short_noE3 --disable-e3
7	:	1776506736.985	  4874.769	0	3385	0	0	python3 v914_probabilistic_expenditure.py --seed 30 --maturation-windows 20 --tracking-windows 10 --window-steps 500 --tag short_noE3 --disable-e3
6	:	1776506736.983	  4875.976	0	3370	0	0	python3 v914_probabilistic_expenditure.py --seed 29 --maturation-windows 20 --tracking-windows 10 --window-steps 500 --tag short_noE3 --disable-e3
2	:	1776506736.971	  4876.246	0	3394	0	0	python3 v914_probabilistic_expenditure.py --seed 25 --maturation-windows 20 --tracking-windows 10 --window-steps 500 --tag short_noE3 --disable-e3
13	:	1776506737.002	  4877.145	0	3379	0	0	python3 v914_probabilistic_expenditure.py --seed 36 --maturation-windows 20 --tracking-windows 10 --window-steps 500 --tag short_noE3 --disable-e3
22	:	1776506737.123	  4896.035	0	3369	0	0	python3 v914_probabilistic_expenditure.py --seed 45 --maturation-windows 20 --tracking-windows 10 --window-steps 500 --tag short_noE3 --disable-e3
10	:	1776506736.994	  4908.179	0	3386	0	0	python3 v914_probabilistic_expenditure.py --seed 33 --maturation-windows 20 --tracking-windows 10 --window-steps 500 --tag short_noE3 --disable-e3
18	:	1776506737.049	  4932.177	0	3364	0	0	python3 v914_probabilistic_expenditure.py --seed 41 --maturation-windows 20 --tracking-windows 10 --window-steps 500 --tag short_noE3 --disable-e3
