Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
9	:	1776666941.825	 10661.625	0	7721	0	0	python /home/takasan/esde/ESDE-Research/primitive/v915s2/v915s2_memory_readout.py --seed 8 --maturation-windows 20 --tracking-windows 50 --window-steps 500 --tag main
7	:	1776666941.820	 10667.193	0	7736	0	0	python /home/takasan/esde/ESDE-Research/primitive/v915s2/v915s2_memory_readout.py --seed 6 --maturation-windows 20 --tracking-windows 50 --window-steps 500 --tag main
1	:	1776666941.804	 10775.863	0	7728	0	0	python /home/takasan/esde/ESDE-Research/primitive/v915s2/v915s2_memory_readout.py --seed 0 --maturation-windows 20 --tracking-windows 50 --window-steps 500 --tag main
2	:	1776666941.806	 10786.562	0	7730	0	0	python /home/takasan/esde/ESDE-Research/primitive/v915s2/v915s2_memory_readout.py --seed 1 --maturation-windows 20 --tracking-windows 50 --window-steps 500 --tag main
10	:	1776666941.829	 10797.102	0	7726	0	0	python /home/takasan/esde/ESDE-Research/primitive/v915s2/v915s2_memory_readout.py --seed 9 --maturation-windows 20 --tracking-windows 50 --window-steps 500 --tag main
4	:	1776666941.812	 10804.980	0	7747	0	0	python /home/takasan/esde/ESDE-Research/primitive/v915s2/v915s2_memory_readout.py --seed 3 --maturation-windows 20 --tracking-windows 50 --window-steps 500 --tag main
6	:	1776666941.817	 10819.256	0	7737	0	0	python /home/takasan/esde/ESDE-Research/primitive/v915s2/v915s2_memory_readout.py --seed 5 --maturation-windows 20 --tracking-windows 50 --window-steps 500 --tag main
3	:	1776666941.809	 10863.043	0	7750	0	0	python /home/takasan/esde/ESDE-Research/primitive/v915s2/v915s2_memory_readout.py --seed 2 --maturation-windows 20 --tracking-windows 50 --window-steps 500 --tag main
23	:	1776666941.865	 10913.862	0	7802	0	0	python /home/takasan/esde/ESDE-Research/primitive/v915s2/v915s2_memory_readout.py --seed 22 --maturation-windows 20 --tracking-windows 50 --window-steps 500 --tag main
14	:	1776666941.841	 10914.951	0	7802	0	0	python /home/takasan/esde/ESDE-Research/primitive/v915s2/v915s2_memory_readout.py --seed 13 --maturation-windows 20 --tracking-windows 50 --window-steps 500 --tag main
11	:	1776666941.832	 10931.954	0	7804	0	0	python /home/takasan/esde/ESDE-Research/primitive/v915s2/v915s2_memory_readout.py --seed 10 --maturation-windows 20 --tracking-windows 50 --window-steps 500 --tag main
12	:	1776666941.835	 10945.182	0	7795	0	0	python /home/takasan/esde/ESDE-Research/primitive/v915s2/v915s2_memory_readout.py --seed 11 --maturation-windows 20 --tracking-windows 50 --window-steps 500 --tag main
15	:	1776666941.843	 10998.299	0	7804	0	0	python /home/takasan/esde/ESDE-Research/primitive/v915s2/v915s2_memory_readout.py --seed 14 --maturation-windows 20 --tracking-windows 50 --window-steps 500 --tag main
13	:	1776666941.838	 11025.427	0	7815	0	0	python /home/takasan/esde/ESDE-Research/primitive/v915s2/v915s2_memory_readout.py --seed 12 --maturation-windows 20 --tracking-windows 50 --window-steps 500 --tag main
5	:	1776666941.814	 11037.103	0	7745	0	0	python /home/takasan/esde/ESDE-Research/primitive/v915s2/v915s2_memory_readout.py --seed 4 --maturation-windows 20 --tracking-windows 50 --window-steps 500 --tag main
19	:	1776666941.854	 11047.661	0	7808	0	0	python /home/takasan/esde/ESDE-Research/primitive/v915s2/v915s2_memory_readout.py --seed 18 --maturation-windows 20 --tracking-windows 50 --window-steps 500 --tag main
8	:	1776666941.822	 11062.730	0	7738	0	0	python /home/takasan/esde/ESDE-Research/primitive/v915s2/v915s2_memory_readout.py --seed 7 --maturation-windows 20 --tracking-windows 50 --window-steps 500 --tag main
17	:	1776666941.849	 11066.710	0	7807	0	0	python /home/takasan/esde/ESDE-Research/primitive/v915s2/v915s2_memory_readout.py --seed 16 --maturation-windows 20 --tracking-windows 50 --window-steps 500 --tag main
22	:	1776666941.862	 11081.049	0	7802	0	0	python /home/takasan/esde/ESDE-Research/primitive/v915s2/v915s2_memory_readout.py --seed 21 --maturation-windows 20 --tracking-windows 50 --window-steps 500 --tag main
16	:	1776666941.846	 11083.838	0	7798	0	0	python /home/takasan/esde/ESDE-Research/primitive/v915s2/v915s2_memory_readout.py --seed 15 --maturation-windows 20 --tracking-windows 50 --window-steps 500 --tag main
20	:	1776666941.856	 11159.327	0	7806	0	0	python /home/takasan/esde/ESDE-Research/primitive/v915s2/v915s2_memory_readout.py --seed 19 --maturation-windows 20 --tracking-windows 50 --window-steps 500 --tag main
21	:	1776666941.859	 11166.364	0	7813	0	0	python /home/takasan/esde/ESDE-Research/primitive/v915s2/v915s2_memory_readout.py --seed 20 --maturation-windows 20 --tracking-windows 50 --window-steps 500 --tag main
18	:	1776666941.852	 11224.339	0	7798	0	0	python /home/takasan/esde/ESDE-Research/primitive/v915s2/v915s2_memory_readout.py --seed 17 --maturation-windows 20 --tracking-windows 50 --window-steps 500 --tag main
24	:	1776666941.868	 11266.878	0	7787	0	0	python /home/takasan/esde/ESDE-Research/primitive/v915s2/v915s2_memory_readout.py --seed 23 --maturation-windows 20 --tracking-windows 50 --window-steps 500 --tag main
