window,alive_nodes,alive_links,n_clusters,max_size,k_star,entropy,milestone,physics_seconds,stressed,calcified,mean_omega,stress_intensity,link_ema,total_rplus,budget,v_labels,v_born,v_died,v_torque_n,v_torque_contested,v_mean_torque,v_top_share,v_label_rplus_rate,v_oldest_age,v_mean_age,v_mean_share_5node,v_share_std,v_births_5node,v_deaths_5node,macro_nodes_active,compressed_links_removed,occ_max,occ_mean,occ_nonzero,vacancy_mean,history_max,history_gini,lw_n_oasis,lw_n_penalty,lw_n_neutral,lw_edge_oo,lw_edge_op,lw_edge_pp,thaw_mean_jaccard,thaw_mean_pressure,thaw_mean_add,thaw_mean_drop,thaw_mean_range,fb_died_share,fb_ema,fb_ratio,fb_multiplier,fb_warmup,dev_mean_score,dev_max_score,dev_n_responding,dev_mean_gf
1,5000,3223,3,5,0,1.9911,0,149.7,0,0,0.0,1.0,0.0,15,1.0,5,9,4,107,0,0.038965,0.2703,424.2424,0,0.0,0.2297,0.0524,2,0,0,0,0.297297,0.015625,6,0.9474,0.2973,0.9379,1,0,4,816,1273,545,1.0,0.0,0,0,0,0.081081,0.081081,1.0,1.0,1,0.0,0.0,0,1.0
2,5000,3179,2,5,1,1.8232,0,147.7,0,0,0.0,1.0,0.0,14,1.0,9,9,5,176,0,0.019144,0.2045,351.3514,1,0.3,0.1477,0.0443,1,1,0,0,0.227273,0.015625,10,0.9313,0.4165,0.895,3,1,5,813,1309,505,1.0,0.0,0,0,0,0.068182,0.072482,0.9407,1.0,1,0.2169,0.889,5,0.7831
3,5000,3152,0,0,3,1.9555,0,149.0,0,0,0.0,1.0,0.0,0,1.0,6,0,3,132,0,0.024675,0.2727,0.0,2,1.5,0.2121,0.0553,0,0,0,0,0.272727,0.015625,8,0.9427,0.6339,0.8968,2,0,4,808,1256,490,1.0,0.0,0,0,0,0.090909,0.081695,1.1128,1.0,1,0.541,0.8468,9,0.459
4,4999,3151,2,5,3,1.8674,1,149.4,0,0,0.0,1.0,0.0,17,1.0,13,11,4,211,0,0.017445,0.1507,250.0,3,1.0,0.1324,0.0363,1,0,0,0,0.219178,0.015625,14,0.9287,0.7572,0.862,2,2,9,789,1245,520,1.0,0.0,0,0,0,0.027397,0.059976,0.4568,1.0,1,0.2079,0.9156,6,0.7921
5,4853,3149,1,3,3,1.861,1,146.2,0,0,0.0,1.0,0.0,10,1.0,17,9,5,236,0,0.012272,0.1084,133.3333,4,1.4,0.0683,0.0252,0,0,0,0,0.108434,0.015625,17,0.8559,0.8174,0.8242,6,1,10,821,1233,491,1.0,0.0,0,0,0,0.012048,0.044,0.2738,1.0,1,0.3583,0.9877,13,0.6417
6,4653,2905,0,0,3,1.9142,2,133.6,0,0,0.0,1.0,0.0,1,1.0,11,1,7,179,0,0.012646,0.1702,22.2222,5,2.4,0.1064,0.0357,0,0,0,0,0.170213,0.015625,13,0.9082,0.8813,0.8102,5,0,6,787,1098,495,1.0,0.0,0,0,0,0.042553,0.043587,0.9763,1.0,1,0.6238,0.9837,17,0.3762
7,4643,3000,3,5,1,1.9458,1,129.6,0,0,0.0,1.0,0.0,18,1.0,13,10,8,263,0,0.014042,0.1461,180.1852,6,2.2,0.1034,0.0468,2,0,0,0,0.202247,0.015625,15,0.9227,0.9487,0.8011,3,1,9,767,1155,519,1.0,0.0,0,0,0,0.067416,0.049544,1.3607,1.0,1,0.314,0.8173,11,0.686
8,4642,2970,2,5,1,1.9353,1,128.9,0,0,0.0,1.0,0.0,18,1.0,19,11,5,332,0,0.01002,0.0943,163.2653,7,2.2,0.062,0.0213,2,0,0,0,0.113208,0.015625,17,0.862,0.9959,0.7797,5,3,11,803,1163,479,1.0,0.0,0,0,0,0.037736,0.04692,0.8043,1.0,1,0.3155,0.8049,13,0.6844
9,4635,3013,2,5,3,1.938,2,129.1,0,0,0.0,1.0,0.0,30,1.0,31,24,12,488,0,0.006394,0.0637,211.6788,8,1.7,0.0446,0.015,1,0,0,0,0.070064,0.015625,30,0.777,1.0595,0.7511,6,10,15,805,1186,488,1.0,0.0,0,0,0,0.031847,0.043905,0.7254,1.0,1,0.2443,0.9096,19,0.7556
10,4374,2910,2,5,3,1.9803,2,125.8,0,0,0.0,1.0,0.0,9,1.0,25,2,8,434,0,0.00728,0.1094,74.3802,9,2.8,0.0608,0.0242,1,0,0,0,0.109375,0.015625,25,0.8571,1.1064,0.7296,6,6,13,796,1149,432,1.0,0.0,0,0,0,0.039062,0.043025,0.9079,1.0,1,0.4674,0.7629,31,0.5326
