window,alive_nodes,alive_links,n_clusters,max_size,k_star,entropy,milestone,physics_seconds,stressed,calcified,mean_omega,stress_intensity,link_ema,total_rplus,budget,v_labels,v_born,v_died,v_torque_n,v_torque_contested,v_mean_torque,v_top_share,v_label_rplus_rate,v_oldest_age,v_mean_age,v_mean_share_5node,v_share_std,v_births_5node,v_deaths_5node,macro_nodes_active,compressed_links_removed,occ_max,occ_mean,occ_nonzero,vacancy_mean,history_max,history_gini,lw_n_oasis,lw_n_penalty,lw_n_neutral,lw_edge_oo,lw_edge_op,lw_edge_pp,thaw_mean_jaccard,thaw_mean_pressure,thaw_mean_add,thaw_mean_drop,thaw_mean_range,fb_died_share,fb_ema,fb_ratio,fb_multiplier,fb_warmup,dev_mean_score,dev_max_score,dev_n_responding,dev_mean_gf
1,5000,3193,0,0,3,1.9932,0,153.5,0,0,0.0,1.0,0.0,14,1.0,10,14,4,100,0,0.029739,0.1905,424.2424,0,0.0,0.0,0.0449,0,0,0,0,0.285714,0.015625,9,0.9453,0.2857,0.904,5,2,3,819,1264,495,1.0,0.0,0,0,0,0.0,0,0.0,1.0,1,0.0,0.0,0,1.0
2,5000,3197,0,0,3,1.9599,0,152.0,0,0,0.0,1.0,0.0,0,1.0,8,0,2,80,0,0.026654,0.2632,0.0,1,1.0,0.0,0.0693,0,0,0,0,0.368421,0.015625,7,0.9576,0.6541,0.9163,3,2,3,836,1236,521,1.0,0.0,0,0,0,0.0,0,0.0,1.0,1,0.6387,0.9214,10,0.3613
3,4998,3188,1,5,1,1.7761,0,152.3,0,0,0.0,1.0,0.0,13,1.0,11,9,6,122,0,0.02557,0.2115,276.5957,2,0.9,0.2115,0.0479,1,0,0,0,0.25,0.015625,10,0.9375,0.9041,0.8779,2,3,6,776,1299,508,1.0,0.0,0,0,0,0.0,0,0.0,1.0,1,0.2454,0.9521,8,0.7546
4,4969,3186,1,5,3,1.9952,1,151.8,0,0,0.0,1.0,0.0,9,1.0,11,5,5,165,0,0.019569,0.1864,169.8113,3,1.2,0.1441,0.0442,1,0,0,0,0.20339,0.015625,12,0.9232,1.1075,0.8448,3,2,6,791,1275,517,1.0,0.0,0,0,0,0.050847,0.020339,2.5,1.0,1,0.4167,0.8291,11,0.5833
5,4942,3201,1,5,3,1.8911,2,149.3,0,0,0.0,1.0,0.0,16,1.0,16,12,7,229,0,0.01389,0.1081,230.7692,4,1.1,0.0991,0.0229,1,0,0,0,0.108108,0.015625,18,0.8555,1.1751,0.8062,8,2,6,810,1265,529,1.0,0.0,0,0,0,0.040541,0.027073,1.4975,1.0,1,0.2878,0.9866,11,0.7122
6,4922,3152,0,0,3,1.9387,2,149.0,0,0,0.0,1.0,0.0,6,1.0,15,6,7,229,0,0.012006,0.1111,68.9655,5,1.9,0.0847,0.0315,0,0,0,0,0.111111,0.015625,18,0.8594,1.191,0.7841,6,2,7,799,1268,522,1.0,0.0,0,0,0,0.063492,0.037478,1.6941,1.0,1,0.3907,0.8295,16,0.6093
7,4906,3229,0,0,3,1.9304,1,147.8,0,0,0.0,1.0,0.0,0,1.0,11,0,4,179,0,0.013126,0.1795,0.0,6,3.4,0.1282,0.0396,0,0,0,0,0.179487,0.015625,13,0.9129,1.2422,0.7809,4,2,5,879,1264,506,1.0,0.0,0,0,0,0.076923,0.04734,1.6249,1.0,1,0.6465,0.8292,15,0.3535
8,4895,3174,1,3,3,1.9758,1,146.9,0,0,0.0,1.0,0.0,22,1.0,23,21,9,307,0,0.008307,0.0917,239.1304,7,1.4,0.0826,0.0213,0,0,0,0,0.091743,0.015625,24,0.8297,1.2789,0.75,7,4,12,783,1280,496,1.0,0.0,0,0,0,0.036697,0.044975,0.816,1.0,1,0.1676,0.6699,11,0.8324
9,4864,3080,0,0,3,1.6321,1,146.0,0,0,0.0,1.0,0.0,6,1.0,22,6,7,297,0,0.008443,0.1071,64.9351,8,2.3,0.0873,0.0217,0,0,0,0,0.107143,0.015625,22,0.8542,1.3504,0.7316,7,4,11,785,1243,469,1.0,0.0,0,0,0,0.047619,0.045503,1.0465,1.0,1,0.4014,0.9381,23,0.5986
10,4857,3066,4,5,1,1.9144,1,145.2,0,0,0.0,1.0,0.0,28,1.0,32,17,7,433,0,0.007294,0.087,212.5984,9,2.1,0.0652,0.0185,2,0,0,0,0.086957,0.015625,28,0.8203,1.3794,0.7101,13,6,13,768,1225,512,1.0,0.0,0,0,0,0.021739,0.041183,0.5279,1.0,1,0.2969,0.8206,22,0.7031
11,4849,3026,1,5,0,1.9694,1,144.6,0,0,0.0,1.0,0.0,9,1.0,28,5,9,427,0,0.006441,0.0714,86.5385,10,3.0,0.0506,0.0175,1,0,0,0,0.080357,0.015625,28,0.8056,1.4061,0.6867,9,10,9,763,1220,489,1.0,0.0,0,0,0,0.044643,0.041759,1.069,1.0,1,0.4896,0.987,32,0.5104
12,4824,2995,1,3,3,1.8231,2,143.8,0,0,0.0,1.0,0.0,10,1.0,27,9,10,420,0,0.006521,0.0924,91.7431,11,3.6,0.0462,0.0197,0,0,0,0,0.134454,0.015625,27,0.8838,1.4314,0.675,12,6,9,747,1209,517,1.0,0.0,0,0,0,0.042017,0.041799,1.0052,1.0,1,0.3726,0.8307,28,0.6274
13,4794,2979,0,0,1,1.9424,2,142.6,0,0,0.0,1.0,0.0,0,1.0,25,0,2,366,0,0.005953,0.0784,0.0,12,4.6,0.0425,0.0154,0,0,0,0,0.186275,0.015625,22,0.9161,1.451,0.6693,11,6,8,748,1152,530,1.0,0.0,0,0,0,0.019608,0.038629,0.5076,1.0,1,0.5442,0.9183,27,0.4558
14,4769,2981,0,0,3,1.8901,1,141.2,0,0,0.0,1.0,0.0,5,1.0,26,5,4,372,0,0.006496,0.1034,62.5,13,4.8,0.0621,0.0187,0,1,0,0,0.103448,0.015625,25,0.849,1.474,0.6609,10,6,10,765,1180,457,1.0,0.0,0,0,0,0.022989,0.036543,0.6291,1.0,1,0.4246,0.8856,25,0.5754
15,4758,3023,4,5,1,1.979,1,140.3,0,0,0.0,1.0,0.0,21,1.0,27,7,6,436,0,0.006893,0.0984,181.0345,14,5.1,0.0564,0.0227,3,0,0,0,0.131148,0.015625,24,0.8809,1.6051,0.6549,9,6,12,764,1199,502,1.0,0.0,0,0,0,0.032787,0.036074,0.9089,1.0,1,0.3855,0.7117,26,0.6145
16,4736,2929,1,5,1,1.9092,1,139.3,0,0,0.0,1.0,0.0,9,1.0,26,6,7,418,0,0.005996,0.072,76.2712,15,5.4,0.056,0.0182,1,0,0,0,0.08,0.015625,26,0.8047,1.6851,0.6459,10,4,12,731,1211,493,1.0,0.0,0,0,0,0.016,0.033712,0.4746,1.0,1,0.4517,0.9182,27,0.5483
17,4725,2977,1,5,3,1.8668,2,138.7,0,0,0.0,1.0,0.0,8,1.0,25,4,5,409,0,0.006455,0.0902,67.2269,14,5.4,0.0565,0.0218,1,1,0,0,0.098361,0.015625,26,0.8411,1.7835,0.6342,10,2,13,786,1193,464,1.0,0.0,0,0,0,0.02459,0.032699,0.752,1.0,1,0.4545,0.8798,26,0.5455
18,4710,2933,4,5,3,1.8836,2,138.3,0,0,0.0,1.0,0.0,26,1.0,37,16,4,557,0,0.004724,0.0719,187.0504,15,4.1,0.0368,0.0131,2,0,0,0,0.117647,0.015625,28,0.8672,1.8357,0.6194,11,6,20,736,1236,452,1.0,0.0,0,0,0,0.006536,0.029945,0.2183,1.0,1,0.3326,0.7913,25,0.6674
19,4680,3005,1,5,1,1.9855,2,136.2,0,0,0.0,1.0,0.0,15,1.0,34,11,14,592,0,0.004083,0.0645,106.383,16,5.0,0.0393,0.0141,1,1,0,0,0.116129,0.015625,29,0.8655,1.9196,0.605,9,4,21,817,1190,459,1.0,0.0,0,0,0,0.045161,0.031466,1.4352,1.0,1,0.4,0.9636,37,0.6
20,4660,2975,0,0,0,1.9383,2,135.2,0,0,0.0,1.0,0.0,3,1.0,28,3,9,512,0,0.005166,0.08,21.2766,17,6.0,0.0497,0.0214,0,0,0,0,0.12,0.015625,28,0.8698,2.0396,0.6003,7,3,18,805,1183,488,1.0,0.0,0,0,0,0.04,0.032279,1.2392,1.0239,0,0.4655,0.7416,34,0.5345
21,4641,3005,0,0,0,1.8671,1,133.9,0,0,0.0,1.0,0.0,5,1.0,28,5,5,471,0,0.005313,0.0968,42.3729,18,6.3,0.0433,0.0173,0,0,0,0,0.096774,0.015625,25,0.8385,2.0961,0.589,9,3,16,796,1174,494,1.0,0.0,0,0,0,0.016129,0.030741,0.5247,0.9525,0,0.45,0.9469,28,0.55
22,4624,2875,0,0,3,1.9446,1,132.8,0,0,0.0,1.0,0.0,5,1.0,24,5,9,461,0,0.004456,0.082,35.7143,19,7.7,0.0492,0.0177,0,1,0,0,0.139344,0.015625,25,0.8879,2.1944,0.5865,8,1,15,748,1200,421,1.0,0.0,0,0,0,0.04918,0.032497,1.5134,1.0513,0,0.464,0.9118,28,0.536
23,4587,2939,2,3,3,1.8498,1,131.4,0,0,0.0,1.0,0.0,3,1.0,22,2,4,393,0,0.005791,0.0783,27.2727,20,9.0,0.053,0.0196,0,0,0,0,0.104348,0.015625,21,0.8503,2.2553,0.5805,8,0,14,756,1166,471,1.0,0.0,0,0,0,0.026087,0.031887,0.8181,0.9818,0,0.5306,0.9422,24,0.4694
24,4574,3019,1,5,3,1.9362,1,130.8,0,0,0.0,1.0,0.0,5,1.0,25,6,3,436,0,0.004985,0.0732,25.1572,21,8.8,0.051,0.018,1,0,0,0,0.115854,0.015625,21,0.8651,2.359,0.5766,10,1,14,803,1212,490,1.0,0.0,0,0,0,0.018293,0.030592,0.598,0.9598,0,0.3443,0.6743,22,0.6557
25,4557,2916,1,5,1,1.8879,2,129.1,0,0,0.0,1.0,0.0,5,1.0,22,1,4,441,0,0.005515,0.1014,38.4615,22,10.7,0.0592,0.0242,1,0,0,0,0.115942,0.015625,21,0.8652,2.4169,0.5741,9,0,13,731,1170,465,1.0,0.0,0,0,0,0.043478,0.031819,1.3664,1.0366,0,0.5193,0.8188,25,0.4807
