window,alive_nodes,alive_links,n_clusters,max_size,k_star,entropy,milestone,physics_seconds,stressed,calcified,mean_omega,stress_intensity,link_ema,total_rplus,budget,v_labels,v_born,v_died,v_torque_n,v_torque_contested,v_mean_torque,v_top_share,v_label_rplus_rate,v_oldest_age,v_mean_age,v_mean_share_5node,v_share_std,v_births_5node,v_deaths_5node,macro_nodes_active,compressed_links_removed,occ_max,occ_mean,occ_nonzero,vacancy_mean,history_max,history_gini,lw_n_oasis,lw_n_penalty,lw_n_neutral,lw_edge_oo,lw_edge_op,lw_edge_pp,thaw_mean_jaccard,thaw_mean_pressure,thaw_mean_add,thaw_mean_drop,thaw_mean_range,fb_died_share,fb_ema,fb_ratio,fb_multiplier,fb_warmup,dev_mean_score,dev_max_score,dev_n_responding,dev_mean_gf
1,5000,3118,0,0,3,1.9951,0,153.1,0,0,4.53,1.0,3118.0,5,1.0,3,5,2,30,0,0.10723,0.4211,312.5,0,0.0,0.0,0.0895,0,0,0,0,0.421053,0.015625,3,0.9629,0.4211,0.9597,2,0,1,765,1239,515,1.0,0.0,0,0,0,0.0,0,0.0,1.0,1,0.0,0.0,0,1.0
2,5000,3168,0,0,3,1.9902,0,151.8,3163,0,4.55,1.0075,3156.3,17,1.0,14,17,6,139,0,0.021571,0.12,425.0,1,0.2,0.0,0.021,0,0,0,0,0.18,0.015625,12,0.9132,0.5411,0.8955,6,1,7,781,1256,544,1.0,0.0,0,0,0,0.0,0,0.0,1.0,1,0.0821,0.8939,3,0.9179
3,4992,3170,2,5,3,1.9853,0,152.1,8,3152,4.58,0.9883,3207.4,18,1.0,19,11,6,233,0,0.0146,0.1,250.0,2,0.7,0.1,0.019,1,0,0,0,0.125,0.015625,18,0.875,0.5911,0.835,8,1,10,772,1261,526,1.0,0.0,0,0,0,0.025,0.0125,2.0,1.0,1,0.2742,0.7875,14,0.7258
4,4961,3121,2,5,3,1.9543,1,151.2,18,3103,4.48,0.99,3152.4,18,1.0,22,13,10,321,0,0.009709,0.0989,230.7692,2,0.8,0.0659,0.0223,1,0,0,0,0.098901,0.015625,24,0.842,0.635,0.7757,11,2,9,761,1236,528,1.0,0.0,0,0,0,0.065934,0.033874,1.9465,1.0,1,0.3919,0.9875,19,0.6081
5,4944,3110,1,5,3,1.9183,2,149.6,3128,0,4.6,1.0149,3092.8,11,1.0,19,7,10,308,0,0.010344,0.1494,142.8571,3,1.2,0.092,0.0325,1,0,0,0,0.183908,0.015625,24,0.915,0.6465,0.7282,9,1,9,791,1223,511,1.0,0.0,0,0,0,0.068966,0.045571,1.5134,1.0,1,0.4159,0.7709,22,0.5841
6,4933,3113,0,0,1,1.9516,2,148.8,3,3105,4.54,0.9991,3115.9,8,1.0,17,8,10,285,0,0.009371,0.1264,89.7436,4,1.8,0.092,0.0266,0,0,0,0,0.16092,0.015625,21,0.9029,0.6465,0.7028,6,3,8,815,1246,478,1.0,0.0,0,0,0,0.068966,0.052255,1.3198,1.0,1,0.4051,0.9453,19,0.5949
7,4909,3078,0,0,3,1.9799,1,148.1,0,3078,4.6,0.9902,3108.6,0,1.0,12,0,5,196,0,0.015268,0.2115,0.0,4,2.6,0.1154,0.0483,0,0,0,0,0.307692,0.015625,12,0.9492,0.7185,0.7102,4,2,6,802,1223,510,1.0,0.0,0,0,0,0.038462,0.048807,0.788,1.0,1,0.5718,0.8919,17,0.4282
8,4900,3019,2,4,1,1.6821,1,146.9,2,3017,4.49,0.9743,3098.6,2,1.0,14,2,0,206,0,0.01368,0.1231,30.7692,5,3.1,0.1077,0.0337,0,0,0,0,0.169231,0.015625,12,0.9077,0.8877,0.7089,5,2,7,790,1179,500,1.0,0.0,0,0,0,0,0.037961,0.0,1.0,1,0.4383,0.7356,12,0.5617
9,4894,3042,2,5,1,1.827,1,146.8,0,3032,4.53,0.9759,3117.0,10,1.0,15,2,1,254,0,0.012669,0.1831,142.8571,6,3.5,0.1021,0.0359,2,1,0,0,0.183099,0.015625,14,0.9147,1.0285,0.6967,5,1,9,795,1192,474,1.0,0.0,0,0,0,0.014085,0.033186,0.4244,1.0,1,0.4001,0.7404,14,0.5999
10,4887,3135,4,5,1,1.6926,2,147.0,3133,0,4.65,1.007,3124.2,13,1.0,14,4,5,301,0,0.010619,0.1839,158.5366,7,3.8,0.1011,0.0485,2,1,0,0,0.264368,0.015625,15,0.9409,1.0745,0.6862,3,1,10,828,1187,546,1.0,0.0,0,0,0,0.057471,0.037601,1.5284,1.0,1,0.4749,0.9336,15,0.5251
