window,label_id,age,n_core,visible_total,n_seen,near_phase_ratio,theta_variance,share,type_tag,world_jaccard,partner_jaccard
20,3,16,5,253,3,0.2648,0.9505,0.031579,social|wide,,
20,4,16,4,150,4,0.2333,0.9193,0.052632,social,,
20,5,16,4,154,2,0.5519,0.9038,0.084211,familiar,,
20,16,15,5,265,6,0.234,0.9478,0.042105,social|wide,,
20,33,12,4,153,0,0.2614,0.9604,0.042105,isolated,,
20,48,10,3,72,2,0.4167,0.8828,0.063158,neutral,,
20,57,9,4,152,4,0.2171,0.922,0.042105,social,,
20,76,5,5,287,5,0.2613,0.9676,0.094737,social|wide,,
20,83,4,3,66,0,0.2424,0.8967,0.021053,isolated,,
20,87,3,5,284,9,0.2289,0.9938,0.073684,social|wide,,
20,101,2,2,25,0,0.56,0.876,0.031579,isolated|familiar|local,,
20,103,2,2,25,0,0.16,0.7387,0.042105,isolated|alien|local,,
20,110,1,2,26,1,0.1154,0.914,0.021053,alien|local,,
20,112,0,5,286,0,0.2552,0.975,0.063158,isolated|wide,,
20,113,0,4,150,3,0.24,0.9877,0.094737,social,,
20,114,-1,5,253,5,0.3083,0.9633,0.084211,social|wide,,
20,115,-1,2,24,1,0.25,0.913,0.021053,local,,
20,117,-1,2,25,0,0.36,0.7859,0.052632,isolated|local,,
21,3,17,5,253,3,0.2451,0.9883,0.087379,social|wide,1.0,1.0
21,4,17,4,150,3,0.18,0.9277,0.048544,social|alien,1.0,0.75
21,5,17,4,154,2,0.3896,0.8571,0.048544,neutral,1.0,1.0
21,16,16,5,264,5,0.2765,0.9467,0.07767,social|wide,0.9962,0.8333
21,33,13,4,153,0,0.2353,0.9829,0.019417,isolated,1.0,1.0
21,48,11,3,72,2,0.4861,0.884,0.038835,neutral,1.0,1.0
21,57,10,4,152,4,0.2895,0.9266,0.029126,social,1.0,1.0
21,76,6,5,287,5,0.216,0.9026,0.07767,social|wide,1.0,0.6667
21,83,5,3,66,1,0.1818,0.8826,0.029126,alien,1.0,0.0
21,87,4,5,284,9,0.2042,0.8952,0.067961,social|wide,1.0,0.8
21,101,3,2,25,0,0.32,0.7534,0.029126,isolated|local,1.0,1.0
21,103,3,2,25,0,0.2,0.8953,0.029126,isolated|local,1.0,1.0
21,110,2,2,26,1,0.2692,0.8114,0.038835,local,1.0,1.0
21,112,1,5,286,0,0.2517,0.9774,0.038835,isolated|wide,1.0,1.0
21,114,0,5,253,5,0.249,0.9051,0.019417,social|wide,1.0,1.0
