label_a,label_b,overlap_count,overlap_ratio_a,overlap_ratio_b,core_visible_a_to_b,core_visible_b_to_a,a_total_visible,b_total_visible
3,5,2,0.0082,0.0131,0,0,244,153
3,57,40,0.1639,0.2721,1,1,244,147
3,87,42,0.1721,0.1495,1,1,244,281
3,114,36,0.1475,0.1429,1,1,244,252
3,126,9,0.0369,0.0316,0,0,244,285
3,134,1,0.0041,0.0417,0,0,244,24
3,137,17,0.0697,0.1181,1,0,244,144
3,141,1,0.0041,0.0385,0,0,244,26
5,16,16,0.1046,0.0615,0,1,153,260
5,57,31,0.2026,0.2109,1,1,153,147
5,76,12,0.0784,0.0789,0,0,153,152
5,83,2,0.0131,0.0303,0,0,153,66
5,87,30,0.1961,0.1068,0,1,153,281
5,114,24,0.1569,0.0952,1,1,153,252
5,137,17,0.1111,0.1181,0,0,153,144
16,48,8,0.0308,0.1176,1,0,260,68
16,87,35,0.1346,0.1246,1,1,260,281
16,114,22,0.0846,0.0873,1,1,260,252
16,126,10,0.0385,0.0351,0,0,260,285
16,137,7,0.0269,0.0486,0,0,260,144
33,57,10,0.068,0.068,0,0,147,147
33,112,9,0.0612,0.0316,0,0,147,285
33,126,19,0.1293,0.0667,0,1,147,285
33,132,9,0.0612,0.36,1,0,147,25
33,139,13,0.0884,0.5,1,1,147,26
48,87,18,0.2647,0.0641,1,1,68,281
48,126,3,0.0441,0.0105,0,0,68,285
48,134,2,0.0294,0.0833,0,0,68,24
57,87,21,0.1429,0.0747,1,1,147,281
57,101,5,0.034,0.2174,0,0,147,23
57,114,48,0.3265,0.1905,1,1,147,252
57,126,24,0.1633,0.0842,0,1,147,285
57,129,3,0.0204,0.1154,0,0,147,26
57,132,1,0.0068,0.04,0,0,147,25
57,137,23,0.1565,0.1597,1,1,147,144
57,138,12,0.0816,0.5217,1,1,147,23
76,87,16,0.1053,0.0569,0,0,152,281
76,126,12,0.0789,0.0421,0,0,152,285
83,112,6,0.0909,0.0211,0,0,66,285
83,118,16,0.2424,0.2388,1,1,66,67
83,132,1,0.0152,0.04,0,0,66,25
83,134,1,0.0152,0.0417,0,0,66,24
87,114,30,0.1068,0.119,1,1,281,252
87,118,7,0.0249,0.1045,0,0,281,67
87,126,9,0.032,0.0316,0,0,281,285
87,137,45,0.1601,0.3125,1,1,281,144
87,141,10,0.0356,0.3846,1,0,281,26
101,126,12,0.5217,0.0421,1,1,23,285
101,137,4,0.1739,0.0278,0,0,23,144
112,114,2,0.007,0.0079,0,0,285,252
112,134,5,0.0175,0.2083,1,0,285,24
114,118,8,0.0317,0.1194,0,0,252,67
114,129,13,0.0516,0.5,1,0,252,26
114,137,7,0.0278,0.0486,0,0,252,144
118,132,2,0.0299,0.08,0,0,67,25
126,137,19,0.0667,0.1319,0,0,285,144
126,144,5,0.0175,0.2273,0,0,285,22
139,141,13,0.5,0.5,1,1,26,26
