seed,window,links,v_labels,alive_tracked,mean_social,mean_stability,mean_spread,mean_familiarity,count_social,count_isolated,count_deeply_connected,reciprocal_pairs,asymmetric_pairs,fam_symmetry_mean,fam_symmetry_std,att_overlap_mean,att_overlap_pairs
0,20,2905,15,15,0.5897,0.6791,0.8629,13.7443,10,2,11,49,13,0.8978,0.2055,56.8,98
0,21,2974,14,14,0.6238,0.6763,0.8327,15.0969,10,2,11,50,19,0.8639,0.2441,101.1,91
0,22,2982,24,24,0.4504,0.6653,0.8277,21.576,12,8,21,81,44,0.8672,0.2365,44.6,245
0,23,2903,19,19,0.5981,0.6882,0.8262,14.3298,11,1,13,82,38,0.752,0.2941,63.8,165
0,24,2899,18,18,0.6616,0.663,0.8188,10.8509,11,2,9,78,41,0.7445,0.285,56.4,149
0,25,2904,17,17,0.6547,0.6652,0.8279,12.2147,12,4,9,59,29,0.7967,0.2413,61.2,131
0,26,2862,19,19,0.5972,0.6643,0.8244,10.9806,12,4,11,76,32,0.8315,0.2197,55.3,163
0,27,2884,19,19,0.5569,0.6667,0.8368,12.5437,12,4,13,81,38,0.844,0.2429,70.8,165
0,28,2760,21,21,0.5745,0.6591,0.8341,10.8703,13,4,13,93,43,0.8167,0.2595,61.0,201
0,29,2724,21,21,0.5686,0.6774,0.8357,10.8598,13,3,9,107,48,0.8083,0.2743,61.2,204
0,30,2901,20,20,0.6088,0.6602,0.8164,9.3925,13,2,6,103,43,0.8014,0.2745,55.0,185
0,31,2866,20,20,0.5727,0.6607,0.8276,11.0598,12,3,10,91,37,0.799,0.2878,56.5,179
0,32,2793,24,24,0.4773,0.6749,0.8164,13.9864,11,8,15,87,45,0.7891,0.2621,38.2,244
0,33,2722,30,30,0.4079,0.6687,0.8201,11.5826,11,11,16,108,80,0.84,0.2385,26.9,384
0,34,2752,21,21,0.5372,0.6736,0.8313,8.7742,12,5,10,93,39,0.8525,0.2383,58.2,205
0,35,2955,18,18,0.6111,0.6647,0.818,10.1376,12,2,8,92,35,0.8385,0.2361,77.4,151
0,36,2828,21,21,0.5299,0.6595,0.8297,11.6298,11,5,12,98,44,0.848,0.2228,54.5,204
0,37,2793,21,21,0.5476,0.6719,0.8297,8.0263,11,6,5,92,46,0.8705,0.2199,59.4,203
0,38,2808,21,21,0.5345,0.6773,0.8275,10.3841,12,4,11,106,49,0.8438,0.24,68.0,205
0,39,2807,34,34,0.4011,0.6675,0.8236,16.6385,13,12,22,162,110,0.7923,0.2751,33.2,503
0,40,2838,23,23,0.5831,0.6711,0.8274,11.8574,15,2,14,129,52,0.8131,0.2419,61.6,246
0,41,2806,26,26,0.5101,0.6647,0.8312,14.8707,15,6,18,142,65,0.792,0.2657,50.6,315
0,42,2704,22,22,0.5565,0.6789,0.8302,13.3747,13,5,13,112,48,0.8578,0.2063,55.8,222
0,43,2803,26,26,0.5125,0.6743,0.8251,12.8326,13,6,17,137,68,0.7753,0.2695,46.5,306
0,44,2735,26,26,0.4948,0.6687,0.8255,13.0602,12,8,15,124,63,0.8028,0.2622,44.0,311
0,45,2742,25,25,0.5191,0.6611,0.8298,10.422,13,8,11,119,66,0.8197,0.249,56.4,288
0,46,2721,25,25,0.4872,0.6517,0.8282,12.7208,13,8,15,123,58,0.8438,0.242,54.9,285
0,47,2588,22,22,0.6057,0.6665,0.8319,9.6922,14,4,9,138,46,0.7962,0.2626,74.0,231
0,48,2700,26,26,0.5192,0.6724,0.8365,10.4551,14,7,11,153,68,0.8403,0.227,63.9,315
0,49,2702,27,27,0.5177,0.6744,0.8237,10.8029,15,7,12,160,76,0.8171,0.2452,52.7,342
0,50,2601,21,21,0.6777,0.6622,0.834,10.7406,16,2,13,159,22,0.7703,0.2854,89.9,209
0,51,2678,22,22,0.6659,0.6719,0.8318,9.8495,17,1,11,157,31,0.8199,0.2561,78.7,229
0,52,2642,19,19,0.7414,0.6658,0.8328,10.4746,17,1,11,127,21,0.8034,0.2706,94.1,170
0,53,2778,24,24,0.6059,0.6683,0.8425,14.2611,17,4,18,146,50,0.8264,0.2388,68.9,268
0,54,2615,25,25,0.5703,0.6594,0.8344,11.5249,16,5,16,153,66,0.8065,0.2642,61.6,289
0,55,2623,25,25,0.5958,0.6706,0.8318,12.0532,18,4,17,149,59,0.7928,0.2724,58.8,293
0,56,2641,27,27,0.5702,0.6668,0.8192,13.5753,18,6,16,165,76,0.8015,0.2587,49.8,343
0,57,2633,20,20,0.7375,0.6644,0.8298,10.2667,18,1,11,143,27,0.8195,0.2459,82.2,190
0,58,2717,28,28,0.5446,0.6685,0.8404,17.5051,17,5,15,158,74,0.8545,0.223,48.6,368
0,59,2620,28,28,0.5527,0.6695,0.839,12.2411,18,7,16,170,75,0.8276,0.253,62.1,367
0,60,2599,30,30,0.5581,0.6686,0.8235,15.0939,18,7,23,183,114,0.8121,0.2429,53.5,422
0,61,2647,24,24,0.6758,0.6864,0.8262,10.2561,18,1,14,162,59,0.8097,0.2425,70.7,269
0,62,2565,24,24,0.6917,0.6683,0.8336,9.0207,18,0,10,167,55,0.8322,0.2295,68.0,271
0,63,2560,33,33,0.5765,0.6696,0.8171,13.0701,21,6,20,223,99,0.8284,0.2553,44.8,504
0,64,2648,29,29,0.6583,0.6768,0.8389,12.0326,22,3,18,243,81,0.8031,0.2722,81.4,403
0,65,2567,35,35,0.5714,0.6758,0.8306,14.9349,24,8,28,278,122,0.8104,0.256,67.2,575
0,66,2497,46,46,0.4592,0.6753,0.8251,15.1401,24,18,36,330,211,0.7969,0.2628,43.0,913
0,67,2575,45,45,0.4804,0.6611,0.8181,12.1372,24,14,29,349,248,0.7904,0.2721,42.8,916
0,68,2431,40,40,0.5194,0.6709,0.8216,10.7689,23,10,19,314,205,0.7977,0.2665,50.5,736
0,69,2580,43,43,0.5236,0.6717,0.8249,13.4938,23,11,23,342,212,0.807,0.2634,50.8,845
1,20,2907,17,17,0.4314,0.6592,0.8477,13.5081,6,6,11,23,19,0.8423,0.2403,18.8,111
1,21,2935,30,30,0.3,0.6543,0.8174,18.5261,7,16,25,55,69,0.8571,0.2288,15.9,347
1,22,2922,19,19,0.3957,0.6731,0.8189,12.3013,7,7,14,49,48,0.8509,0.2525,31.7,156
1,23,2779,20,20,0.4036,0.6717,0.8093,9.5253,8,7,8,51,54,0.7914,0.2843,28.2,178
1,24,2970,23,23,0.3818,0.6686,0.8174,11.4122,8,7,11,66,57,0.8683,0.2131,23.3,227
1,25,2841,20,20,0.4422,0.675,0.8136,7.9707,8,6,4,48,48,0.8155,0.2635,27.8,160
1,26,2746,17,17,0.4982,0.6779,0.8033,7.1663,7,3,4,39,34,0.8114,0.2711,29.8,131
1,27,2779,15,15,0.4882,0.6581,0.8137,4.8754,6,3,1,26,30,0.8338,0.2307,30.5,90
1,28,2819,19,19,0.4046,0.6579,0.8179,8.399,6,5,5,35,46,0.8394,0.2349,32.4,144
1,29,2864,16,16,0.4798,0.6806,0.8092,6.84,6,3,4,40,36,0.8143,0.2349,42.6,111
1,30,2834,18,18,0.4194,0.6599,0.8257,19.9103,8,6,8,47,37,0.8643,0.1852,32.3,146
1,31,2742,20,20,0.375,0.6765,0.8058,10.6801,8,8,10,57,52,0.7926,0.2738,30.6,171
1,32,2705,17,17,0.4467,0.6655,0.82,9.9949,8,4,7,50,38,0.8016,0.2782,37.0,130
1,33,2879,22,22,0.4318,0.6777,0.8284,16.0224,8,3,12,70,54,0.8095,0.271,32.2,212
1,34,2804,24,24,0.4544,0.6782,0.8194,12.3176,8,3,14,78,64,0.8483,0.2093,28.0,253
1,35,2811,22,22,0.5227,0.6592,0.8156,9.1999,9,1,9,81,50,0.8204,0.2526,42.4,217
1,36,2811,23,23,0.4903,0.6765,0.8242,12.4115,9,4,11,94,55,0.8022,0.2749,46.3,239
1,37,2881,28,28,0.4312,0.6682,0.8152,13.2107,13,9,14,112,83,0.8027,0.2648,38.2,346
1,38,2722,22,22,0.5713,0.6601,0.8052,9.0107,15,3,8,106,53,0.8018,0.259,54.6,219
1,39,2816,23,23,0.5605,0.6691,0.8312,10.8357,14,3,8,106,61,0.8444,0.2323,54.4,247
1,40,2710,24,24,0.5735,0.6652,0.8292,9.3311,16,3,12,129,58,0.8236,0.2596,60.0,267
