seed,window,links,v_labels,alive_tracked,mean_social,mean_stability,mean_spread,mean_familiarity,count_social,count_isolated,count_deeply_connected,reciprocal_pairs,asymmetric_pairs,fam_symmetry_mean,fam_symmetry_std,att_overlap_mean,att_overlap_pairs
2,20,2834,24,24,0.4649,0.6678,0.8603,16.1856,11,3,21,75,51,0.9023,0.1795,31.1,248
2,21,2865,31,31,0.4205,0.6723,0.8239,15.0841,14,10,26,121,101,0.7833,0.2741,37.0,431
2,22,2895,34,34,0.4697,0.6767,0.8189,12.3043,15,8,23,166,126,0.7903,0.2748,38.9,511
2,23,2795,35,35,0.4821,0.6649,0.8232,13.0131,16,6,25,186,138,0.8301,0.2489,42.9,544
2,24,2871,30,30,0.5802,0.6678,0.8235,12.9727,18,6,20,187,95,0.7952,0.2702,57.1,414
2,25,2843,27,27,0.6305,0.6647,0.831,10.6625,18,2,16,200,70,0.8021,0.2699,73.1,344
2,26,2852,26,26,0.6513,0.668,0.8292,9.4688,19,3,12,185,71,0.8186,0.252,77.0,322
2,27,2766,26,26,0.6218,0.6653,0.8323,12.1245,18,4,14,181,54,0.8358,0.2376,72.3,318
2,28,2838,38,38,0.4874,0.6686,0.8246,13.2105,19,16,25,221,140,0.8225,0.2649,41.8,626
2,29,2816,32,32,0.5756,0.6671,0.8218,11.3722,19,5,19,224,112,0.8205,0.2563,60.4,464
2,30,2740,30,30,0.6143,0.6709,0.8233,9.4989,20,3,11,224,101,0.8297,0.2535,58.8,425
2,31,2718,32,32,0.5892,0.673,0.8318,11.1473,20,6,18,228,119,0.8156,0.2593,58.1,465
2,32,2814,31,31,0.6364,0.6671,0.8314,11.8464,21,5,20,253,115,0.7931,0.2769,72.4,451
2,33,2712,40,40,0.5155,0.6588,0.8308,13.7616,22,12,29,316,172,0.8097,0.2602,54.5,735
2,34,2739,42,42,0.5205,0.6665,0.8333,12.8546,24,13,27,333,209,0.8012,0.2589,57.0,811
2,35,2819,37,37,0.6069,0.6651,0.8302,10.9267,26,7,20,352,140,0.8063,0.2524,67.6,649
2,36,2731,36,36,0.6183,0.6678,0.836,11.1497,26,7,22,321,111,0.8095,0.254,64.2,611
2,37,2800,32,32,0.6568,0.6672,0.8272,9.4117,24,2,14,279,95,0.8056,0.2629,67.9,488
2,38,2732,30,30,0.6957,0.6643,0.8224,8.8771,24,1,11,275,92,0.7857,0.279,77.5,430
2,39,2658,30,30,0.6981,0.6593,0.825,10.3864,24,2,13,285,61,0.8196,0.2548,82.2,424
2,40,2754,31,31,0.647,0.6589,0.8303,14.1589,24,4,17,282,66,0.8339,0.2413,77.9,451
2,41,2741,31,31,0.7031,0.6801,0.8413,10.916,25,2,16,302,67,0.7984,0.2678,84.4,453
2,42,2711,26,26,0.8316,0.664,0.8451,11.0503,26,0,13,297,15,0.8184,0.2387,118.8,325
2,43,2687,32,32,0.6834,0.6654,0.8452,15.8324,26,5,26,310,66,0.8047,0.2604,78.3,493
2,44,2722,26,26,0.8121,0.6675,0.8398,13.0508,26,0,21,290,27,0.8248,0.2536,117.6,325
2,45,2705,29,29,0.7824,0.6596,0.8417,12.7682,27,2,21,318,46,0.8224,0.2613,98.2,406
2,46,2815,26,26,0.8212,0.6671,0.8444,12.7774,25,0,20,279,27,0.828,0.2501,109.0,325
2,47,2639,34,34,0.645,0.6679,0.837,14.0062,25,6,29,303,86,0.8103,0.2592,74.8,547
2,48,2616,33,33,0.6928,0.6618,0.8337,13.2847,25,4,29,315,91,0.8395,0.243,77.5,525
2,49,2756,37,37,0.6394,0.6537,0.8396,16.9392,26,7,29,347,112,0.8238,0.2474,71.1,654
2,50,2599,32,32,0.7148,0.6661,0.8319,13.9022,26,4,26,325,82,0.8243,0.2462,88.0,492
2,51,2631,35,35,0.6881,0.6657,0.8374,12.3182,26,4,28,344,109,0.8221,0.2514,74.2,583
2,52,2632,29,29,0.7946,0.6617,0.8356,10.7408,25,2,18,294,64,0.8166,0.2564,94.0,403
2,53,2639,27,27,0.814,0.6681,0.8389,10.7181,25,1,17,272,49,0.8308,0.2515,100.0,350
2,54,2698,33,33,0.6815,0.6627,0.8447,13.2124,26,6,27,305,95,0.8236,0.2559,77.9,520
2,55,2678,35,35,0.6673,0.6653,0.8323,11.9612,27,7,24,342,111,0.8164,0.2504,79.6,581
2,56,2674,40,40,0.6236,0.6636,0.8332,13.8996,28,6,32,415,153,0.8266,0.2402,68.5,753
2,57,2578,38,38,0.6837,0.6681,0.8369,14.2417,29,4,29,424,114,0.7874,0.2789,82.9,689
2,58,2688,43,43,0.5986,0.6723,0.8285,13.0727,28,9,31,429,183,0.7939,0.2703,65.2,864
2,59,2628,41,41,0.6315,0.6571,0.8333,16.902,28,8,31,423,161,0.8165,0.2446,70.4,795
2,60,2601,45,45,0.5767,0.6737,0.8312,14.5266,28,12,34,460,178,0.8297,0.24,59.6,939
2,61,2592,41,41,0.6398,0.6705,0.8231,10.8418,29,6,25,455,173,0.798,0.2607,61.9,803
2,62,2574,40,40,0.6733,0.6717,0.8285,10.735,30,1,22,474,159,0.8022,0.2619,67.2,765
2,63,2507,51,51,0.5587,0.6634,0.8226,11.8856,30,9,32,493,269,0.8043,0.2542,45.6,1192
2,64,2624,41,41,0.6504,0.67,0.8182,10.1645,29,4,18,434,183,0.7924,0.2622,57.0,810
2,65,2656,44,44,0.6211,0.6695,0.8288,10.8605,29,8,24,466,160,0.7967,0.257,53.5,904
2,66,2534,47,47,0.5979,0.6639,0.8282,12.6791,30,10,31,509,209,0.8001,0.2658,58.0,1032
2,67,2577,46,46,0.6122,0.659,0.8248,12.7492,31,7,25,504,196,0.7773,0.2774,56.8,994
2,68,2593,48,48,0.605,0.667,0.8274,11.2831,32,6,29,555,248,0.7987,0.2587,61.7,1091
2,69,2498,44,44,0.663,0.6689,0.8252,10.6615,32,3,24,542,217,0.7802,0.2627,71.3,926
