seed,label_id,birth_window,death_window,lifespan,alive,phase_sig,n_core,last_social,last_stability,last_spread,last_familiarity,last_partners,last_st_mean,last_st_std,last_fam_max,last_att_nodes,trajectory_type
0,0,1,,68,True,-0.6141,5,0.8906,0.6264,0.8345,8.3723,57,38.5,23.0,39.72,1464,social|stable
0,32,5,41,36,False,2.2757,5,0.7381,0.7059,0.8669,11.6107,31,36.6,15.3,49.75,1107,social|stable|wide_att|deep_conn|dead
0,2,1,,68,True,0.7683,5,0.9375,0.641,0.8255,9.8755,60,41.4,23.2,45.84,1505,social|stable
0,96,20,20,0,False,0.5416,2,0.2308,0.6565,0.8391,17.3747,3,7.0,3.7,34.54,87,stable|deep_conn|dead
0,58,11,,58,True,-2.4158,5,0.9844,0.639,0.8447,15.196,63,55.3,31.3,79.47,1948,social|stable|deep_conn
0,97,20,20,0,False,-1.6813,2,0.1538,0.7115,0.8428,22.3527,2,7.0,2.8,32.94,92,stable|deep_conn|dead
0,12,1,28,27,False,-1.1849,2,0.1935,0.6258,0.7751,5.3024,6,6.1,3.7,18.03,117,stable|focused_att|dead
0,14,3,35,32,False,-3.0739,5,0.5897,0.5618,0.7266,4.3693,23,13.1,10.2,38.57,443,social|stable|focused_att|dead
0,15,3,,66,True,-0.7231,4,0.7031,0.6323,0.8463,10.4767,45,31.7,18.4,63.44,1028,social|stable|deep_conn
0,63,12,30,18,False,1.1693,3,0.6176,0.6501,0.8006,3.6006,21,17.3,9.3,39.23,567,social|stable|dead
0,26,4,,65,True,0.8291,5,0.9375,0.6602,0.8772,15.6325,60,55.7,28.7,67.38,1693,social|stable|wide_att|deep_conn
0,59,11,,58,True,-1.429,5,1.0,0.653,0.8508,11.7601,64,59.0,31.4,66.81,1980,social|stable|wide_att|deep_conn
0,61,11,,58,True,-0.1043,4,0.7031,0.6594,0.8339,10.6923,45,38.4,19.8,40.87,1100,social|stable|deep_conn
0,94,19,26,7,False,1.0775,2,0.3462,0.6552,0.7835,4.6963,9,7.4,3.9,25.97,129,stable|focused_att|dead
0,31,5,59,54,False,-2.366,4,0.8333,0.6809,0.8297,6.4194,35,26.4,12.4,34.7,843,social|stable|dead
0,100,20,26,6,False,2.7318,3,0.5769,0.6961,0.7956,12.8947,15,15.4,6.7,63.79,433,social|stable|focused_att|deep_conn|dead
0,101,21,22,1,False,-0.5233,3,0.5238,0.6291,0.8209,23.9,11,17.7,10.4,56.69,336,social|stable|deep_conn|dead
0,102,21,22,1,False,0.3984,2,0.1905,0.6889,0.788,21.3573,4,6.6,3.0,37.24,82,stable|focused_att|deep_conn|dead
0,103,21,22,1,False,-0.464,2,0.1429,0.6697,0.8007,44.3542,3,8.2,4.1,44.81,104,isolated|stable|deep_conn|dead
0,104,21,23,2,False,-2.781,2,0.3636,0.6995,0.766,7.8405,8,9.6,4.1,21.57,180,stable|focused_att|dead
0,106,21,22,1,False,-0.3677,2,0.1905,0.6263,0.7699,35.2044,4,7.6,4.5,55.58,89,stable|focused_att|deep_conn|dead
0,107,21,22,1,False,1.0844,2,0.1429,0.6562,0.8491,37.5428,3,9.4,4.9,41.32,127,isolated|stable|deep_conn|dead
0,108,21,24,3,False,-0.0763,2,0.2727,0.7499,0.7766,11.4467,6,9.6,3.2,23.19,202,stable|focused_att|deep_conn|dead
0,109,21,24,3,False,0.2995,2,0.3636,0.6213,0.768,7.5927,8,7.4,4.5,16.03,186,stable|focused_att|dead
0,110,21,23,2,False,2.1564,2,0.1818,0.6912,0.7927,13.4956,4,8.8,3.9,37.24,160,stable|focused_att|deep_conn|dead
0,112,21,24,3,False,-1.3029,2,0.2727,0.6681,0.7537,9.8625,6,6.2,3.1,21.82,125,stable|focused_att|dead
0,116,23,24,1,False,1.4113,2,0.0455,0.6042,0.7674,5.0029,1,6.6,4.3,5.0,89,isolated|stable|focused_att|dead
0,119,24,25,1,False,1.7725,2,0.087,0.6087,0.777,22.8402,2,6.2,4.0,24.7,77,isolated|stable|focused_att|deep_conn|dead
0,120,24,28,4,False,0.2352,2,0.129,0.6762,0.7964,5.899,4,8.6,4.1,15.94,173,isolated|stable|focused_att|dead
0,121,24,25,1,False,2.3252,2,0.1304,0.6578,0.7962,17.2416,3,7.0,3.6,23.87,92,isolated|stable|focused_att|deep_conn|dead
0,122,25,31,6,False,-2.779,5,0.8182,0.6913,0.8509,12.1029,27,47.7,21.3,49.59,1825,social|stable|wide_att|deep_conn|dead
0,123,25,26,1,False,0.0573,2,0.1154,0.6302,0.7715,8.4185,3,6.3,3.7,16.92,86,isolated|stable|focused_att|dead
0,124,25,26,1,False,0.8806,2,0.1154,0.6471,0.8129,14.9611,3,7.4,4.0,23.04,110,isolated|stable|deep_conn|dead
0,126,25,26,1,False,1.5137,2,0.0769,0.6937,0.8682,15.1293,2,8.1,3.6,16.92,115,isolated|stable|wide_att|deep_conn|dead
0,127,26,36,10,False,-3.0835,3,0.4872,0.6786,0.8384,5.2134,19,19.0,9.0,23.29,499,stable|dead
0,128,26,,43,True,2.3758,5,0.5781,0.6637,0.8318,7.3825,37,16.1,8.2,30.34,468,social|stable
0,129,26,27,1,False,0.2547,2,0.0645,0.7033,0.7995,20.2602,2,8.7,3.7,28.92,109,isolated|stable|focused_att|deep_conn|dead
