seed,label_id,birth_window,death_window,lifespan,alive,phase_sig,n_core,last_social,last_stability,last_spread,last_familiarity,last_partners,last_st_mean,last_st_std,last_fam_max,last_att_nodes,trajectory_type
4,0,1,,68,True,0.1747,5,0.8929,0.6295,0.8248,10.7604,50,29.1,17.1,45.49,1025,social|stable|deep_conn
4,1,1,58,57,False,-2.4084,5,0.9808,0.6812,0.8658,18.9557,51,64.6,30.2,76.91,2049,social|stable|wide_att|deep_conn|dead
4,2,2,,67,True,-2.003,5,0.7321,0.6516,0.8414,12.0423,41,33.6,18.0,48.72,1045,social|stable|deep_conn
4,15,4,,65,True,-2.8692,5,0.9464,0.6852,0.8397,17.3505,53,53.5,24.6,78.91,1910,social|stable|deep_conn
4,24,5,20,15,False,-2.2067,5,0.8261,0.6798,0.8882,16.7694,19,44.1,20.8,45.65,1275,social|stable|wide_att|deep_conn|dead
4,26,6,56,50,False,1.1189,5,0.8519,0.6761,0.8338,6.5897,46,29.8,14.3,30.23,901,social|stable|dead
4,49,8,46,38,False,-2.9276,4,0.7778,0.6162,0.8545,8.6442,42,31.2,19.4,51.58,1054,social|stable|wide_att|dead
4,50,8,50,42,False,1.4385,3,0.2041,0.697,0.8119,2.8328,10,8.5,3.7,10.7,145,stable|dead
4,56,9,,60,True,-2.6646,5,0.7679,0.6196,0.8558,10.2136,43,29.4,18.1,38.06,970,social|stable|wide_att|deep_conn
4,75,13,40,27,False,-0.6329,3,0.7021,0.6447,0.8304,5.6837,33,19.5,10.8,39.92,541,social|stable|dead
4,80,14,,55,True,0.2998,5,0.7679,0.6474,0.8264,10.4434,43,23.7,12.9,43.71,783,social|stable|deep_conn
4,86,15,,54,True,2.8393,5,0.7857,0.6959,0.8732,14.8854,44,54.1,23.6,47.94,1897,social|stable|wide_att|deep_conn
4,90,16,,53,True,-1.4613,5,0.8036,0.6282,0.8473,10.2952,45,31.7,18.8,72.51,1056,social|stable|deep_conn
4,91,17,,52,True,-0.4278,5,0.875,0.6611,0.8633,18.4474,49,51.9,26.6,68.19,1801,social|stable|wide_att|deep_conn
4,92,18,,51,True,-1.714,3,0.625,0.6326,0.859,9.7135,35,18.6,10.8,44.06,491,social|stable|wide_att
4,93,18,45,27,False,0.1166,3,0.5385,0.6522,0.8034,7.4642,28,13.9,7.4,41.06,396,social|stable|dead
4,94,18,20,2,False,-0.6292,2,0.087,0.6336,0.8387,21.0509,2,7.3,4.2,30.18,86,isolated|stable|deep_conn|dead
4,104,19,20,1,False,-3.1106,2,0.1304,0.7296,0.8329,21.5452,3,9.9,3.7,31.59,142,isolated|stable|deep_conn|dead
4,106,19,20,1,False,-1.952,2,0.087,0.6624,0.8512,1.057,2,8.0,4.1,1.38,113,isolated|stable|wide_att|dead
4,108,19,23,4,False,1.5276,2,0.1026,0.6244,0.7498,6.869,4,7.0,4.2,12.68,134,isolated|stable|focused_att|dead
4,109,19,39,20,False,2.4627,2,0.2553,0.7004,0.7622,4.188,12,8.7,3.7,27.03,179,stable|focused_att|dead
4,112,19,20,1,False,2.6319,2,0.0435,0.6651,0.8692,31.5947,1,9.0,4.5,31.59,126,isolated|stable|wide_att|deep_conn|dead
4,113,19,20,1,False,-2.3953,2,0.0435,0.6869,0.8246,13.8647,1,7.2,3.3,13.86,93,isolated|stable|deep_conn|dead
4,115,20,56,36,False,-2.8446,4,0.5741,0.5868,0.7115,5.1832,31,12.5,8.8,41.84,370,social|stable|focused_att|dead
4,116,20,20,0,False,1.8839,2,0.0435,0.6467,0.7605,61.8918,1,6.9,3.8,61.89,88,isolated|stable|focused_att|deep_conn|dead
4,117,20,20,0,False,-2.8011,2,0.1739,0.6886,0.8128,31.2698,4,7.6,3.5,61.89,102,stable|deep_conn|dead
4,119,20,22,2,False,-1.1451,3,0.2703,0.6817,0.8299,17.3698,10,17.9,8.4,49.69,465,stable|deep_conn|dead
4,120,20,28,8,False,-3.0173,3,0.5769,0.697,0.7963,7.6933,30,15.4,6.7,31.48,443,social|stable|focused_att|dead
4,121,20,22,2,False,-0.2214,2,0.0811,0.6198,0.8074,11.1772,3,8.2,5.0,12.69,146,isolated|stable|deep_conn|dead
4,123,20,21,1,False,0.3372,2,0.1724,0.7106,0.7612,16.5014,5,6.9,2.8,34.19,85,stable|focused_att|deep_conn|dead
4,124,20,21,1,False,0.8093,2,0.069,0.6646,0.8007,23.495,2,7.6,3.8,24.36,90,isolated|stable|deep_conn|dead
4,125,20,21,1,False,0.1222,2,0.1034,0.6813,0.8392,9.0793,3,9.2,4.3,22.63,132,isolated|stable|dead
4,126,21,,48,True,-1.3621,4,0.75,0.6685,0.8331,9.7339,42,31.6,15.7,46.98,967,social|stable
4,127,21,23,2,False,1.6171,2,0.2051,0.71,0.7716,20.5647,8,8.3,3.4,52.18,156,stable|focused_att|deep_conn|dead
4,128,21,22,1,False,-3.088,2,0.0811,0.6609,0.7865,34.7987,3,7.4,3.8,78.67,82,isolated|stable|focused_att|deep_conn|dead
4,132,21,29,8,False,-1.9214,2,0.3019,0.6321,0.783,6.1274,16,6.3,3.7,23.79,126,stable|focused_att|dead
4,133,21,28,7,False,-2.5337,2,0.1731,0.6987,0.7501,2.197,9,6.2,2.7,8.29,128,stable|focused_att|dead
4,135,21,24,3,False,1.4834,2,0.122,0.6548,0.7438,12.5321,5,8.0,4.2,21.86,140,isolated|stable|focused_att|deep_conn|dead
4,136,21,23,2,False,1.4003,2,0.1282,0.6553,0.7442,14.4941,5,8.0,4.2,29.55,126,isolated|stable|focused_att|deep_conn|dead
4,138,21,22,1,False,-2.8368,2,0.0811,0.6985,0.8412,36.1803,3,8.8,3.8,78.67,114,isolated|stable|deep_conn|dead
4,139,22,,47,True,-1.3124,5,0.9107,0.6498,0.8421,17.7779,51,52.8,28.5,84.56,1891,social|stable|deep_conn
4,140,23,25,2,False,0.5004,2,0.093,0.6681,0.8122,6.5998,4,8.3,4.1,20.1,149,isolated|stable|dead
4,142,23,24,1,False,-2.1165,2,0.0976,0.6357,0.7859,25.4412,4,6.9,4.0,29.77,90,isolated|stable|focused_att|deep_conn|dead
4,144,23,24,1,False,-2.1914,2,0.0976,0.601,0.8149,14.6249,4,5.4,3.6,30.89,59,isolated|stable|deep_conn|dead
4,146,23,24,1,False,-0.6373,2,0.122,0.6938,0.8351,21.0806,5,7.2,3.2,28.31,99,isolated|stable|deep_conn|dead
4,147,23,24,1,False,2.3094,2,0.0488,0.6835,0.8265,7.3432,2,7.0,3.2,10.59,99,isolated|stable|dead
4,148,23,24,1,False,-1.2106,2,0.0976,0.6595,0.8515,23.1794,4,6.3,3.3,24.8,76,isolated|stable|wide_att|deep_conn|dead
4,149,23,26,3,False,-0.9505,2,0.1395,0.7348,0.7694,7.4404,6,6.4,2.3,19.54,132,isolated|stable|focused_att|dead
4,150,24,25,1,False,2.3751,2,0.093,0.656,0.7901,12.8973,4,7.6,4.0,24.28,94,isolated|stable|focused_att|deep_conn|dead
4,151,24,25,1,False,1.9387,2,0.0698,0.6264,0.8153,17.3275,3,7.0,4.2,28.49,84,isolated|stable|deep_conn|dead
4,152,24,25,1,False,1.7362,2,0.0465,0.5601,0.8433,22.2227,2,5.8,4.5,24.28,64,isolated|stable|deep_conn|dead
4,154,25,62,37,False,2.6841,5,0.75,0.6094,0.8399,8.3132,39,30.1,19.3,42.11,985,social|stable|dead
4,155,25,,44,True,0.5999,3,0.625,0.7199,0.8214,8.0516,35,16.7,6.5,30.54,446,social|stable
4,156,25,27,2,False,-0.2084,2,0.1373,0.7183,0.7834,10.688,7,7.2,2.8,34.63,129,isolated|stable|focused_att|deep_conn|dead
4,159,25,26,1,False,2.8443,2,0.0698,0.6424,0.8055,19.8458,3,6.9,3.8,29.34,85,isolated|stable|deep_conn|dead
4,160,25,32,7,False,-1.1197,2,0.2941,0.6642,0.7882,6.4262,15,8.1,4.1,41.32,154,stable|focused_att|dead
4,163,25,26,1,False,-0.825,2,0.093,0.6038,0.7951,15.5766,4,7.5,4.9,24.86,90,isolated|stable|focused_att|deep_conn|dead
4,164,25,28,3,False,-0.7083,2,0.1538,0.6754,0.7917,10.7756,8,8.4,4.0,34.62,163,stable|focused_att|deep_conn|dead
4,165,25,27,2,False,2.5997,2,0.1569,0.67,0.7559,13.5259,8,10.0,4.9,33.74,187,stable|focused_att|deep_conn|dead
4,166,26,27,1,False,1.1736,3,0.1176,0.7017,0.8381,19.8293,6,15.3,6.5,41.49,306,isolated|stable|deep_conn|dead
4,167,26,27,1,False,-3.0981,2,0.1373,0.6989,0.8643,27.4084,7,8.7,3.8,81.31,114,isolated|stable|wide_att|deep_conn|dead
4,168,26,31,5,False,1.3476,2,0.2264,0.6896,0.7194,3.4463,12,6.0,2.7,13.6,133,stable|focused_att|dead
