seed,from,to,familiarity
0,0,58,34.6872
0,0,15,13.9891
0,0,2,3.768
0,0,26,5.6504
0,0,59,29.7194
0,0,61,3.8312
0,0,128,5.0805
0,0,166,39.7216
0,0,188,12.2677
0,0,197,17.3319
0,0,258,7.3972
0,0,264,1.9622
0,0,276,21.6573
0,0,297,30.0963
0,0,314,1.2932
0,0,325,1.8325
0,0,336,18.9372
0,0,344,4.0721
0,0,352,8.1152
0,0,358,1.7326
0,0,353,14.6928
0,0,354,18.8281
0,0,367,8.1116
0,0,368,12.2966
0,0,381,1.0674
0,0,375,20.7783
0,0,379,0.6009
0,0,383,25.7742
0,0,372,13.7029
0,0,407,2.3601
0,0,403,1.0376
0,0,411,2.9741
0,0,413,4.2015
0,0,408,1.5417
0,0,409,5.4641
0,0,386,10.5987
0,0,384,10.0396
0,0,423,1.381
0,0,418,13.5924
0,0,424,3.7824
0,0,425,18.4843
0,0,429,11.6918
0,0,427,8.7536
0,2,61,10.4826
0,2,15,7.7726
0,2,58,38.4842
0,2,0,3.768
0,2,59,12.3495
0,2,26,32.6802
0,2,128,4.3992
0,2,166,3.3723
0,2,188,23.2269
0,2,197,14.2119
0,2,258,45.8425
0,2,264,17.0359
0,2,276,33.5982
0,2,297,11.3295
0,2,314,0.6948
0,2,325,34.481
0,2,336,8.7166
0,2,352,3.7116
0,2,354,35.7894
0,2,353,24.1056
0,2,362,1.4717
0,2,358,1.7515
0,2,379,13.9179
0,2,372,37.0438
0,2,367,11.9414
0,2,403,0.6878
0,2,398,10.0315
0,2,383,7.2752
0,2,386,0.6351
0,2,375,11.3673
0,2,381,1.7902
0,2,368,13.2378
0,2,412,31.3718
0,2,407,3.8876
0,2,409,6.4045
0,2,390,0.5088
0,2,408,1.4704
0,2,413,1.9772
0,2,391,1.9978
0,2,423,13.322
0,2,411,9.1422
0,2,418,3.0511
0,2,384,1.3077
0,2,425,6.04
0,2,426,0.5355
0,2,429,10.9348
0,2,434,20.4711
0,2,432,0.7833
0,15,58,63.4415
0,15,0,7.8734
0,15,26,47.8215
0,15,2,1.0421
0,15,59,25.5575
0,15,128,12.2363
0,15,61,23.576
0,15,166,1.5968
0,15,188,24.5515
0,15,197,11.3817
0,15,258,1.5082
0,15,276,17.0993
0,15,297,0.9578
0,15,325,26.041
0,15,336,3.051
0,15,314,1.3337
0,15,352,23.1804
0,15,353,12.2137
0,15,354,12.2144
0,15,368,26.7314
0,15,367,10.7064
