seed,window,links,v_labels,alive_tracked,mean_social,mean_stability,mean_spread,mean_familiarity,count_social,count_isolated,count_deeply_connected,reciprocal_pairs,asymmetric_pairs,fam_symmetry_mean,fam_symmetry_std,att_overlap_mean,att_overlap_pairs
0,20,2905,15,15,0.5897,0.6791,0.8629,13.7443,10,2,11,49,13,0.8978,0.2055,56.8,98
0,21,2974,14,14,0.6238,0.6763,0.8327,15.0969,10,2,11,50,19,0.8639,0.2441,101.1,91
0,22,2982,24,24,0.4504,0.6653,0.8277,21.576,12,8,21,81,44,0.8672,0.2365,44.6,245
0,23,2903,19,19,0.5981,0.6882,0.8262,14.3298,11,1,13,82,38,0.752,0.2941,63.8,165
0,24,2899,18,18,0.6616,0.663,0.8188,10.8509,11,2,9,78,41,0.7445,0.285,56.4,149
0,25,2904,17,17,0.6547,0.6652,0.8279,12.2147,12,4,9,59,29,0.7967,0.2413,61.2,131
0,26,2862,19,19,0.5972,0.6643,0.8244,10.9806,12,4,11,76,32,0.8315,0.2197,55.3,163
0,27,2884,19,19,0.5569,0.6667,0.8368,12.5437,12,4,13,81,38,0.844,0.2429,70.8,165
0,28,2760,21,21,0.5745,0.6591,0.8341,10.8703,13,4,13,93,43,0.8167,0.2595,61.0,201
0,29,2724,21,21,0.5686,0.6774,0.8357,10.8598,13,3,9,107,48,0.8083,0.2743,61.2,204
1,20,2907,17,17,0.4314,0.6592,0.8477,13.5081,6,6,11,23,19,0.8423,0.2403,18.8,111
1,21,2935,30,30,0.3,0.6543,0.8174,18.5261,7,16,25,55,69,0.8571,0.2288,15.9,347
1,22,2922,19,19,0.3957,0.6731,0.8189,12.3013,7,7,14,49,48,0.8509,0.2525,31.7,156
1,23,2779,20,20,0.4036,0.6717,0.8093,9.5253,8,7,8,51,54,0.7914,0.2843,28.2,178
1,24,2970,23,23,0.3818,0.6686,0.8174,11.4122,8,7,11,66,57,0.8683,0.2131,23.3,227
1,25,2841,20,20,0.4422,0.675,0.8136,7.9707,8,6,4,48,48,0.8155,0.2635,27.8,160
1,26,2746,17,17,0.4982,0.6779,0.8033,7.1663,7,3,4,39,34,0.8114,0.2711,29.8,131
1,27,2779,15,15,0.4882,0.6581,0.8137,4.8754,6,3,1,26,30,0.8338,0.2307,30.5,90
1,28,2819,19,19,0.4046,0.6579,0.8179,8.399,6,5,5,35,46,0.8394,0.2349,32.4,144
1,29,2864,16,16,0.4798,0.6806,0.8092,6.84,6,3,4,40,36,0.8143,0.2349,42.6,111
10,20,2851,21,21,0.5265,0.6751,0.8691,17.4409,12,5,20,74,40,0.9277,0.1622,42.7,202
10,21,2912,25,25,0.5248,0.6682,0.833,17.0939,15,4,23,117,55,0.8848,0.2142,52.7,280
10,22,2827,28,28,0.5381,0.6553,0.8246,15.2246,17,6,23,156,78,0.8661,0.2322,51.5,353
10,23,2851,31,31,0.5045,0.6687,0.8168,15.4794,17,10,22,170,101,0.8342,0.2431,48.4,430
10,24,2843,34,34,0.4178,0.6622,0.8073,12.1321,16,13,21,167,121,0.8014,0.2625,39.8,506
10,25,2762,34,34,0.4597,0.6694,0.8216,13.03,16,7,20,179,124,0.7641,0.297,37.3,521
10,26,2806,29,29,0.5471,0.6765,0.8219,9.3532,16,4,13,162,102,0.7449,0.3038,44.5,392
10,27,2834,26,26,0.6047,0.6558,0.8278,9.9821,16,5,10,148,71,0.788,0.2734,63.3,313
10,28,2736,29,29,0.5531,0.6717,0.8238,11.63,17,6,13,174,89,0.7665,0.2947,52.0,391
10,29,2845,29,29,0.5676,0.6786,0.8254,8.8643,17,5,9,177,109,0.7945,0.2665,53.9,396
11,20,2856,17,17,0.3971,0.6687,0.8549,11.6657,6,6,10,25,28,0.9276,0.1476,26.1,125
11,21,2932,20,20,0.3895,0.6755,0.8276,15.1567,7,6,15,47,37,0.8973,0.2073,32.8,177
11,22,2760,22,22,0.4855,0.6679,0.8312,16.0405,10,7,17,66,55,0.8495,0.2391,41.4,215
11,23,2980,20,20,0.5396,0.6719,0.8205,11.6234,10,4,12,70,43,0.822,0.2432,51.9,184
11,24,2862,19,19,0.5088,0.6766,0.8306,15.0981,10,5,13,64,33,0.7858,0.2817,57.3,162
11,25,2877,20,20,0.537,0.6694,0.8381,14.02,12,6,12,75,29,0.8132,0.2526,55.1,179
11,26,2835,19,19,0.5808,0.6719,0.834,15.1662,11,3,11,78,33,0.8112,0.2758,61.7,164
11,27,2799,29,29,0.4231,0.6708,0.8262,16.91,11,7,21,113,82,0.805,0.2759,35.5,352
11,28,2809,25,25,0.4653,0.6696,0.8173,14.5786,10,4,14,95,71,0.7993,0.2724,38.3,275
11,29,2891,25,25,0.48,0.6522,0.8097,11.1103,10,5,12,109,61,0.7816,0.2992,40.5,276
12,20,2888,25,25,0.4611,0.6529,0.8536,17.8244,11,5,21,65,74,0.9339,0.1662,29.6,270
12,21,3001,30,30,0.4136,0.6693,0.8179,17.5494,11,11,26,99,96,0.8689,0.241,36.0,367
12,22,2860,26,26,0.5192,0.6792,0.8171,13.436,11,4,19,116,87,0.85,0.2632,49.9,304
12,23,2859,29,29,0.4787,0.6734,0.8228,12.085,11,7,17,135,96,0.809,0.2736,40.7,369
12,24,2918,27,27,0.5206,0.673,0.8249,15.4773,12,6,16,129,73,0.8046,0.2541,49.5,320
12,25,2855,33,33,0.4155,0.6695,0.8163,14.2444,12,10,21,161,88,0.7994,0.261,38.2,470
12,26,2899,30,30,0.5053,0.6687,0.8179,10.136,15,7,11,156,90,0.7701,0.266,40.4,402
12,27,2878,29,29,0.5165,0.6708,0.8251,10.92,13,4,13,166,97,0.772,0.2751,48.5,384
12,28,2848,29,29,0.495,0.6603,0.8162,10.7453,14,7,12,151,98,0.7879,0.2741,49.0,381
12,29,2810,27,27,0.5704,0.6584,0.8202,9.157,15,3,11,159,82,0.8149,0.2601,56.1,328
13,20,2900,24,24,0.5292,0.6673,0.864,19.79,14,3,23,88,68,0.9182,0.1909,44.8,267
13,21,2871,28,28,0.5172,0.6762,0.8386,22.7808,15,8,25,134,85,0.8418,0.2383,56.3,349
13,22,2895,24,24,0.6771,0.6612,0.8316,15.4451,17,3,23,157,62,0.8195,0.2621,79.2,272
13,23,2875,24,24,0.6237,0.6509,0.838,14.8914,17,3,21,153,43,0.8112,0.2554,76.8,271
13,24,2853,23,23,0.6161,0.6654,0.825,10.4362,16,4,12,139,42,0.8446,0.2405,69.1,249
13,25,2908,23,23,0.6099,0.6519,0.8371,15.1098,16,4,17,132,42,0.8766,0.2123,69.8,248
13,26,2865,27,27,0.5463,0.671,0.838,16.463,16,6,17,152,53,0.874,0.2034,58.5,324
13,27,2865,24,24,0.6156,0.6649,0.8253,11.7654,16,4,12,155,43,0.8361,0.2438,71.2,275
13,28,2854,25,25,0.5684,0.6501,0.8402,12.3239,16,6,17,163,51,0.8086,0.2588,72.1,289
13,29,2874,24,24,0.6108,0.6688,0.8308,12.6293,16,2,15,156,45,0.8226,0.2565,76.7,274
14,20,2879,25,25,0.4927,0.6708,0.8593,18.7157,12,4,22,96,70,0.8829,0.2115,45.3,276
14,21,2988,21,21,0.677,0.6634,0.8306,14.5143,16,1,19,119,44,0.8215,0.2524,87.5,208
14,22,2878,23,23,0.6609,0.6689,0.8272,13.489,17,2,16,138,56,0.8352,0.2363,76.2,250
14,23,2763,26,26,0.6044,0.6723,0.832,17.9412,18,4,18,146,75,0.825,0.2335,63.3,313
14,24,2889,23,23,0.6912,0.6678,0.8296,13.2348,18,2,15,149,52,0.8353,0.241,75.4,249
14,25,2897,32,32,0.5104,0.665,0.828,17.0875,18,9,24,175,86,0.8617,0.2241,45.6,461
14,26,2853,26,26,0.5962,0.658,0.8307,12.0109,18,3,18,181,47,0.8226,0.2484,70.8,318
14,27,2873,25,25,0.6224,0.6693,0.8262,11.3604,17,4,13,176,53,0.8064,0.2524,74.5,296
14,28,2867,38,38,0.4589,0.6648,0.8393,13.9661,20,15,26,240,147,0.826,0.2538,45.3,666
14,29,2781,39,39,0.4967,0.6716,0.8229,12.6494,21,13,28,280,150,0.8324,0.2476,44.5,701
15,20,2830,28,28,0.3271,0.6772,0.8443,16.2849,7,10,23,45,75,0.9556,0.14,19.5,273
