seed,window,links,v_labels,alive_tracked,mean_social,mean_stability,mean_spread,mean_familiarity,count_social,count_isolated,count_deeply_connected,reciprocal_pairs,asymmetric_pairs,fam_symmetry_mean,fam_symmetry_std,att_overlap_mean,att_overlap_pairs
22,20,2944,20,20,0.4786,0.6747,0.855,15.7177,10,6,16,47,30,0.9191,0.1711,28.8,173
22,21,2925,21,21,0.5214,0.6642,0.8294,14.8976,12,2,16,78,45,0.8805,0.2148,47.4,201
22,22,2831,31,31,0.3931,0.6668,0.8166,17.4902,12,14,26,99,78,0.8543,0.2283,27.2,391
22,23,2841,24,24,0.4637,0.6814,0.8081,11.0676,11,5,13,89,63,0.8245,0.2695,37.4,255
22,24,2956,23,23,0.477,0.6737,0.8059,15.0176,12,7,13,87,56,0.769,0.281,42.9,230
22,25,2817,24,24,0.4764,0.6671,0.8147,9.7127,12,8,11,96,61,0.7775,0.2652,45.0,257
22,26,2904,24,24,0.5281,0.6682,0.8366,9.2738,13,6,9,115,58,0.766,0.301,54.1,261
22,27,2825,32,32,0.4167,0.6697,0.8282,14.2383,13,14,20,150,101,0.7879,0.2814,40.3,448
22,28,2893,35,35,0.4233,0.6658,0.8217,13.9018,16,16,20,165,124,0.8351,0.2356,35.3,533
22,29,2776,39,39,0.4279,0.6681,0.8151,11.2173,16,14,17,209,136,0.8369,0.2309,29.4,647
