seed,label_id,birth_window,death_window,lifespan,alive,phase_sig,n_core,last_social,last_stability,last_spread,last_familiarity,last_partners,last_st_mean,last_st_std,last_fam_max,last_att_nodes,trajectory_type
0,0,1,,28,True,-0.6141,5,0.8824,0.6479,0.8303,16.3522,30,54.9,29.8,64.05,2032,social|stable|deep_conn
0,32,5,,24,True,2.2757,5,0.9412,0.6678,0.8655,12.3412,32,58.6,29.2,76.03,1769,social|stable|wide_att|deep_conn
0,2,1,,28,True,0.7683,5,0.9118,0.6308,0.8617,13.0091,31,60.4,35.4,56.43,1980,social|stable|wide_att|deep_conn
0,96,20,20,0,False,0.5416,2,0.2308,0.6565,0.8391,17.3747,3,7.0,3.7,34.54,87,stable|deep_conn|dead
0,58,11,,18,True,-2.4158,5,1.0,0.674,0.8549,9.8545,34,53.4,25.8,71.13,1964,social|stable|wide_att
0,97,20,20,0,False,-1.6813,2,0.1538,0.7115,0.8428,22.3527,2,7.0,2.8,32.94,92,stable|deep_conn|dead
0,12,1,28,27,False,-1.1849,2,0.1935,0.6258,0.7751,5.3024,6,6.1,3.7,18.03,117,stable|focused_att|dead
0,14,3,,26,True,-3.0739,5,0.8235,0.6364,0.8511,8.0436,28,32.2,18.4,31.22,1084,social|stable|wide_att
0,15,3,,26,True,-0.7231,4,0.6471,0.714,0.8089,9.1494,22,25.1,10.1,40.76,1037,social|stable
0,63,12,,17,True,1.1693,3,0.5882,0.6776,0.8477,4.5516,20,22.8,10.8,23.06,584,social|stable
0,26,4,,25,True,0.8291,5,0.8529,0.6155,0.8233,12.5215,29,39.9,24.9,58.01,1727,social|stable|deep_conn
0,59,11,,18,True,-1.429,5,1.0,0.7113,0.8582,13.9471,34,63.9,25.9,71.13,1973,social|stable|wide_att|deep_conn
0,61,11,,18,True,-0.1043,4,0.6765,0.7056,0.8463,5.8422,23,35.2,14.7,29.7,1187,social|stable
0,94,19,26,7,False,1.0775,2,0.3462,0.6552,0.7835,4.6963,9,7.4,3.9,25.97,129,stable|focused_att|dead
0,31,5,,24,True,-2.366,4,0.7353,0.726,0.8087,8.3975,25,27.8,10.5,23.29,997,social|stable
0,100,20,26,6,False,2.7318,3,0.5769,0.6961,0.7956,12.8947,15,15.4,6.7,63.79,433,social|stable|focused_att|deep_conn|dead
0,101,21,22,1,False,-0.5233,3,0.5238,0.6291,0.8209,23.9,11,17.7,10.4,56.69,336,social|stable|deep_conn|dead
0,102,21,22,1,False,0.3984,2,0.1905,0.6889,0.788,21.3573,4,6.6,3.0,37.24,82,stable|focused_att|deep_conn|dead
0,103,21,22,1,False,-0.464,2,0.1429,0.6697,0.8007,44.3542,3,8.2,4.1,44.81,104,isolated|stable|deep_conn|dead
0,104,21,23,2,False,-2.781,2,0.3636,0.6995,0.766,7.8405,8,9.6,4.1,21.57,180,stable|focused_att|dead
0,106,21,22,1,False,-0.3677,2,0.1905,0.6263,0.7699,35.2044,4,7.6,4.5,55.58,89,stable|focused_att|deep_conn|dead
0,107,21,22,1,False,1.0844,2,0.1429,0.6562,0.8491,37.5428,3,9.4,4.9,41.32,127,isolated|stable|deep_conn|dead
0,108,21,24,3,False,-0.0763,2,0.2727,0.7499,0.7766,11.4467,6,9.6,3.2,23.19,202,stable|focused_att|deep_conn|dead
0,109,21,24,3,False,0.2995,2,0.3636,0.6213,0.768,7.5927,8,7.4,4.5,16.03,186,stable|focused_att|dead
0,110,21,23,2,False,2.1564,2,0.1818,0.6912,0.7927,13.4956,4,8.8,3.9,37.24,160,stable|focused_att|deep_conn|dead
0,112,21,24,3,False,-1.3029,2,0.2727,0.6681,0.7537,9.8625,6,6.2,3.1,21.82,125,stable|focused_att|dead
0,116,23,24,1,False,1.4113,2,0.0455,0.6042,0.7674,5.0029,1,6.6,4.3,5.0,89,isolated|stable|focused_att|dead
0,119,24,25,1,False,1.7725,2,0.087,0.6087,0.777,22.8402,2,6.2,4.0,24.7,77,isolated|stable|focused_att|deep_conn|dead
0,120,24,28,4,False,0.2352,2,0.129,0.6762,0.7964,5.899,4,8.6,4.1,15.94,173,isolated|stable|focused_att|dead
0,121,24,25,1,False,2.3252,2,0.1304,0.6578,0.7962,17.2416,3,7.0,3.6,23.87,92,isolated|stable|focused_att|deep_conn|dead
0,122,25,,4,True,-2.779,5,0.7059,0.6849,0.8621,12.8093,24,53.7,24.7,64.05,1762,social|stable|wide_att|deep_conn
0,123,25,26,1,False,0.0573,2,0.1154,0.6302,0.7715,8.4185,3,6.3,3.7,16.92,86,isolated|stable|focused_att|dead
0,124,25,26,1,False,0.8806,2,0.1154,0.6471,0.8129,14.9611,3,7.4,4.0,23.04,110,isolated|stable|deep_conn|dead
0,126,25,26,1,False,1.5137,2,0.0769,0.6937,0.8682,15.1293,2,8.1,3.6,16.92,115,isolated|stable|wide_att|deep_conn|dead
0,127,26,,3,True,-3.0835,3,0.2941,0.7176,0.8244,8.0921,10,15.7,6.2,30.51,446,stable
0,128,26,,3,True,2.3758,5,0.7059,0.7301,0.8624,17.4705,24,54.2,20.0,76.03,1854,social|stable|wide_att|deep_conn
0,129,26,27,1,False,0.2547,2,0.0645,0.7033,0.7995,20.2602,2,8.7,3.7,28.92,109,isolated|stable|focused_att|deep_conn|dead
0,131,26,,3,True,-2.6477,2,0.1176,0.6434,0.8117,7.385,4,6.5,3.6,21.57,122,isolated|stable
0,133,26,27,1,False,1.4996,2,0.0968,0.7022,0.8194,28.653,3,7.2,3.1,33.42,85,isolated|stable|deep_conn|dead
0,135,27,,2,True,2.6749,2,0.1765,0.6731,0.7443,9.1865,6,5.9,2.9,26.44,122,stable|focused_att
0,137,27,,2,True,-0.8522,2,0.1176,0.6792,0.7777,7.0433,4,7.5,3.6,11.89,150,isolated|stable|focused_att
0,139,27,29,2,False,3.1148,2,0.0882,0.6337,0.8268,4.3951,3,10.4,6.0,7.04,201,isolated|stable|dead
0,144,27,28,1,False,2.9699,2,0.1613,0.6779,0.7945,17.4372,5,8.0,3.8,36.28,106,stable|focused_att|deep_conn|dead
0,145,28,29,1,False,-2.2519,2,0.2059,0.7122,0.8631,9.5873,7,9.9,4.0,26.44,142,stable|wide_att|dead
0,146,28,,1,True,2.8917,2,0.2353,0.6814,0.8466,19.165,8,6.8,3.2,38.97,90,stable|deep_conn
0,148,28,,1,True,-2.9991,2,0.2353,0.6628,0.8743,18.9121,8,8.3,4.2,27.26,118,stable|wide_att|deep_conn
0,149,29,,0,True,-2.3113,2,0,0,0,0,0,0,0,0,0,isolated|focused_att
1,38,8,,21,True,-2.6359,2,0.2258,0.6844,0.7832,2.3682,7,8.2,3.8,12.79,174,stable|focused_att
1,73,13,22,9,False,2.7829,2,0.1852,0.6446,0.7117,13.5255,5,5.9,3.2,36.01,134,stable|focused_att|deep_conn|dead
1,106,19,26,7,False,2.1858,5,1.0,0.6308,0.8545,6.0665,32,49.0,28.6,34.59,1846,social|stable|wide_att|dead
1,107,19,,10,True,1.66,4,0.7419,0.6587,0.8502,6.1957,23,32.6,16.9,24.24,1044,social|stable|wide_att
1,109,19,21,2,False,-0.5126,2,0.0476,0.6702,0.7679,11.1965,1,7.9,3.9,11.2,155,isolated|stable|focused_att|deep_conn|dead
1,110,19,20,1,False,-0.4565,2,0.0,0.6536,0.8202,0.0,0,9.5,5.1,0,99,isolated|stable|dead
1,48,9,,20,True,0.3311,2,0.2581,0.6181,0.817,0.1644,8,7.0,4.3,0.75,137,stable
1,19,3,21,18,False,-2.7144,3,0.3333,0.6599,0.8164,15.542,7,19.3,9.9,32.15,533,stable|deep_conn|dead
1,84,15,25,10,False,2.1559,3,0.625,0.6635,0.8326,4.8526,20,17.2,8.7,20.09,426,social|stable|dead
1,116,20,,9,True,-1.6492,5,1.0,0.6951,0.8371,7.9563,31,47.3,20.8,28.65,1801,social|stable
1,118,20,24,4,False,1.517,2,0.1562,0.695,0.8154,19.4954,5,9.6,4.2,41.08,174,stable|deep_conn|dead
1,23,6,,23,True,-1.1967,4,0.7419,0.6972,0.8423,7.3562,23,33.9,14.7,40.64,1251,social|stable
1,119,20,20,0,False,0.8886,2,0.2222,0.6468,0.8422,7.5717,2,7.8,4.3,8.66,107,stable|dead
1,57,11,,18,True,-2.6179,2,0.0968,0.6832,0.8068,4.5584,3,8.8,4.1,12.15,165,isolated|stable
1,58,11,29,18,False,2.327,2,0.3226,0.6883,0.7485,2.0368,10,7.9,3.6,14.73,152,stable|focused_att|dead
1,92,16,,13,True,0.6994,5,0.9355,0.6811,0.8489,8.3099,29,50.9,23.8,28.64,2011,social|stable
1,93,16,,13,True,2.4717,5,0.871,0.6838,0.8357,8.2243,27,36.9,17.1,25.24,1105,social|stable
1,120,20,,9,True,2.3248,5,0.9355,0.6688,0.8405,6.7021,29,50.9,25.2,31.3,1921,social|stable
1,122,20,21,1,False,-1.9122,2,0.0476,0.676,0.8811,27.0936,1,7.5,3.6,27.09,97,isolated|stable|wide_att|deep_conn|dead
1,123,20,26,6,False,1.3677,2,0.3125,0.6667,0.773,5.3813,10,8.7,4.4,23.83,173,stable|focused_att|dead
1,125,20,21,1,False,1.7834,2,0.1429,0.6592,0.8362,33.808,3,10.0,5.2,42.99,138,isolated|stable|deep_conn|dead
1,126,20,21,1,False,2.4407,2,0.2857,0.5931,0.7983,25.2827,6,8.8,6.1,42.99,115,stable|focused_att|deep_conn|dead
1,127,20,23,3,False,-2.8099,2,0.25,0.6618,0.7008,4.1344,7,5.1,2.6,8.28,131,stable|focused_att|dead
1,128,20,24,4,False,-1.5315,2,0.1562,0.6503,0.8163,2.266,5,6.4,3.5,5.17,110,stable|dead
1,130,20,21,1,False,1.2042,2,0.1429,0.6266,0.8456,30.9636,3,8.1,4.8,42.99,94,isolated|stable|deep_conn|dead
1,131,20,22,2,False,2.1757,2,0.1481,0.7232,0.7989,13.592,4,6.8,2.6,19.06,111,isolated|stable|focused_att|deep_conn|dead
1,132,20,23,3,False,2.5361,2,0.1429,0.6522,0.8332,3.5382,4,8.8,4.7,4.96,165,isolated|stable|dead
1,133,20,21,1,False,1.1714,2,0.0952,0.5868,0.7961,37.1622,2,8.6,6.1,37.16,109,isolated|stable|focused_att|deep_conn|dead
1,134,20,21,1,False,-1.7095,2,0.1429,0.7041,0.8137,13.9612,3,7.9,3.3,23.45,96,isolated|stable|deep_conn|dead
1,135,20,21,1,False,-1.1235,2,0.1429,0.7088,0.828,21.5198,3,8.0,3.3,26.92,110,isolated|stable|deep_conn|dead
1,136,20,21,1,False,-1.1339,2,0.0952,0.7107,0.8494,20.5262,2,6.3,2.6,26.92,81,isolated|stable|deep_conn|dead
1,137,20,21,1,False,-2.4425,2,0.1905,0.6911,0.7813,14.1915,4,5.8,2.6,23.45,70,stable|focused_att|deep_conn|dead
1,138,22,24,2,False,-1.4724,3,0.4062,0.622,0.8113,10.3834,13,18.6,11.3,30.53,502,stable|deep_conn|dead
1,139,22,27,5,False,-3.0685,2,0.1935,0.6941,0.8206,0.584,6,10.0,4.4,1.33,181,stable|dead
1,141,22,23,1,False,-2.8947,2,0.0714,0.7249,0.8254,28.1758,2,8.7,3.3,39.83,122,isolated|stable|deep_conn|dead
1,142,23,24,1,False,-0.6366,4,0.25,0.6255,0.8974,23.6718,8,33.2,19.9,37.12,821,stable|wide_att|deep_conn|dead
1,143,23,29,6,False,-2.8857,2,0.1613,0.6726,0.7467,2.1824,5,7.3,3.5,8.1,172,stable|focused_att|dead
1,144,23,29,6,False,-2.6072,2,0.3226,0.6774,0.7439,1.0245,10,6.7,3.2,5.95,145,stable|focused_att|dead
1,145,23,25,2,False,-0.1441,2,0.0625,0.6826,0.7938,4.1803,2,9.2,4.3,4.18,173,isolated|stable|focused_att|dead
1,147,23,24,1,False,2.8737,2,0.0938,0.6765,0.8467,26.0946,3,8.1,3.9,49.43,110,isolated|stable|deep_conn|dead
1,149,23,24,1,False,-1.6428,2,0.0625,0.6592,0.801,12.5504,2,6.1,3.1,12.94,82,isolated|stable|deep_conn|dead
1,151,24,25,1,False,-2.4336,3,0.1562,0.6583,0.8649,9.5813,5,17.1,8.9,17.86,366,stable|wide_att|dead
1,153,24,28,4,False,-1.286,2,0.1562,0.6678,0.7543,8.9541,5,6.5,3.2,26.76,144,stable|focused_att|dead
1,155,24,,5,True,1.1801,2,0.129,0.7247,0.8085,10.2068,4,7.2,2.7,39.54,139,isolated|stable|deep_conn
1,156,27,,2,True,-0.9843,5,0.4839,0.6906,0.8518,14.9227,15,54.3,24.3,31.51,1959,stable|wide_att|deep_conn
1,157,27,,2,True,-0.4469,4,0.3548,0.6898,0.834,13.8575,11,30.1,13.5,28.15,984,stable|deep_conn
1,159,27,28,1,False,-1.0917,2,0.0938,0.5951,0.7573,32.5647,3,6.0,4.1,39.38,73,isolated|stable|focused_att|deep_conn|dead
1,160,27,,2,True,-0.9088,2,0.0968,0.6762,0.7523,13.3746,3,7.7,3.7,23.51,179,isolated|stable|focused_att|deep_conn
1,162,27,28,1,False,-2.0045,2,0.0938,0.6089,0.7973,30.817,3,7.1,4.6,35.4,97,isolated|stable|focused_att|deep_conn|dead
1,164,29,,0,True,2.7917,2,0,0,0,0,0,0,0,0,0,isolated|focused_att
1,167,29,,0,True,-0.6597,2,0,0,0,0,0,0,0,0,0,isolated|focused_att
1,168,29,,0,True,1.079,2,0,0,0,0,0,0,0,0,0,isolated|focused_att
1,169,29,,0,True,1.3458,2,0,0,0,0,0,0,0,0,0,isolated|focused_att
1,170,29,,0,True,-0.3037,2,0,0,0,0,0,0,0,0,0,isolated|focused_att
10,0,1,,28,True,-1.6589,5,0.9,0.6578,0.8559,6.9788,45,31.8,16.5,53.92,925,social|stable|wide_att
10,1,1,,28,True,-0.4606,4,0.84,0.6388,0.8451,6.5949,42,28.3,16.0,46.79,1002,social|stable
10,22,4,,25,True,-2.9783,5,0.96,0.6442,0.8312,8.5656,48,40.2,22.2,49.78,1714,social|stable
10,34,6,,23,True,-2.5774,4,0.64,0.7476,0.8292,4.8733,32,17.4,5.9,37.79,469,social|stable
10,39,7,,22,True,-1.8905,5,0.96,0.6551,0.8491,8.7333,48,45.0,23.7,42.09,1618,social|stable
10,56,9,,20,True,-1.9594,5,0.6,0.7609,0.8431,5.9031,30,19.0,6.0,38.13,445,social|stable
10,62,10,,19,True,-1.0546,4,0.8,0.6506,0.8401,7.3873,40,31.1,16.7,36.58,964,social|stable
10,63,10,,19,True,1.2096,5,0.94,0.6688,0.8328,6.9674,47,37.1,18.4,44.84,1424,social|stable
10,64,10,,19,True,-1.0212,4,0.72,0.7267,0.847,7.8918,36,34.5,13.0,38.59,1184,social|stable
10,75,11,21,10,False,-2.9822,3,0.32,0.6351,0.8261,14.3733,8,18.5,10.6,27.68,498,stable|deep_conn|dead
