seed,label_id,birth_window,death_window,lifespan,alive,phase_sig,n_core,last_social,last_stability,last_spread,last_familiarity,last_partners,last_st_mean,last_st_std,last_fam_max,last_att_nodes,trajectory_type
1,38,8,,21,True,-2.6359,2,0.2258,0.6844,0.7832,2.3682,7,8.2,3.8,12.79,174,stable|focused_att
1,73,13,22,9,False,2.7829,2,0.1852,0.6446,0.7117,13.5255,5,5.9,3.2,36.01,134,stable|focused_att|deep_conn|dead
1,106,19,26,7,False,2.1858,5,1.0,0.6308,0.8545,6.0665,32,49.0,28.6,34.59,1846,social|stable|wide_att|dead
1,107,19,,10,True,1.66,4,0.7419,0.6587,0.8502,6.1957,23,32.6,16.9,24.24,1044,social|stable|wide_att
1,109,19,21,2,False,-0.5126,2,0.0476,0.6702,0.7679,11.1965,1,7.9,3.9,11.2,155,isolated|stable|focused_att|deep_conn|dead
1,110,19,20,1,False,-0.4565,2,0.0,0.6536,0.8202,0.0,0,9.5,5.1,0,99,isolated|stable|dead
1,48,9,,20,True,0.3311,2,0.2581,0.6181,0.817,0.1644,8,7.0,4.3,0.75,137,stable
1,19,3,21,18,False,-2.7144,3,0.3333,0.6599,0.8164,15.542,7,19.3,9.9,32.15,533,stable|deep_conn|dead
1,84,15,25,10,False,2.1559,3,0.625,0.6635,0.8326,4.8526,20,17.2,8.7,20.09,426,social|stable|dead
1,116,20,,9,True,-1.6492,5,1.0,0.6951,0.8371,7.9563,31,47.3,20.8,28.65,1801,social|stable
1,118,20,24,4,False,1.517,2,0.1562,0.695,0.8154,19.4954,5,9.6,4.2,41.08,174,stable|deep_conn|dead
1,23,6,,23,True,-1.1967,4,0.7419,0.6972,0.8423,7.3562,23,33.9,14.7,40.64,1251,social|stable
1,119,20,20,0,False,0.8886,2,0.2222,0.6468,0.8422,7.5717,2,7.8,4.3,8.66,107,stable|dead
1,57,11,,18,True,-2.6179,2,0.0968,0.6832,0.8068,4.5584,3,8.8,4.1,12.15,165,isolated|stable
1,58,11,29,18,False,2.327,2,0.3226,0.6883,0.7485,2.0368,10,7.9,3.6,14.73,152,stable|focused_att|dead
1,92,16,,13,True,0.6994,5,0.9355,0.6811,0.8489,8.3099,29,50.9,23.8,28.64,2011,social|stable
1,93,16,,13,True,2.4717,5,0.871,0.6838,0.8357,8.2243,27,36.9,17.1,25.24,1105,social|stable
1,120,20,,9,True,2.3248,5,0.9355,0.6688,0.8405,6.7021,29,50.9,25.2,31.3,1921,social|stable
1,122,20,21,1,False,-1.9122,2,0.0476,0.676,0.8811,27.0936,1,7.5,3.6,27.09,97,isolated|stable|wide_att|deep_conn|dead
1,123,20,26,6,False,1.3677,2,0.3125,0.6667,0.773,5.3813,10,8.7,4.4,23.83,173,stable|focused_att|dead
