seed,from,to,familiarity
28,3,89,11.1745
28,3,42,0.7235
28,3,18,2.7544
28,3,73,0.7761
28,3,72,3.95
28,3,100,7.0685
28,3,64,13.8446
28,3,140,2.2716
28,3,79,13.7453
28,3,108,0.8981
28,3,27,7.5284
28,3,168,6.6598
28,3,172,16.8143
28,3,171,3.9874
28,3,165,1.3548
28,3,175,4.7841
28,3,186,6.1119
28,3,173,3.3474
28,3,190,0.9286
28,140,3,2.7431
28,140,50,26.3764
28,140,72,15.941
28,140,108,15.4419
28,140,64,23.5826
28,140,100,2.5706
28,140,89,72.0871
28,140,27,6.092
28,140,54,29.7271
28,140,18,10.9
28,140,73,14.0218
28,140,42,11.1312
28,140,168,12.1246
28,140,163,0.6689
28,140,171,43.2151
28,140,173,9.381
28,140,172,12.5483
28,140,175,2.262
28,140,181,3.2819
28,140,185,0.8047
28,140,188,2.2964
28,140,187,6.3056
28,140,193,8.8372
28,140,184,4.1824
28,140,194,12.8407
28,140,200,20.4686
28,140,178,29.8781
28,140,186,0.8186
28,18,3,2.6707
28,18,64,7.304
28,18,100,1.4833
28,18,72,1.1559
28,18,73,1.2575
28,18,140,10.6704
28,18,50,25.2931
28,18,42,5.7553
28,18,173,0.7991
28,18,171,11.7648
28,18,163,1.4968
28,18,79,0.6367
28,18,186,7.9571
28,18,187,29.4916
28,18,108,31.491
28,18,172,23.2208
28,18,190,1.4104
28,18,181,0.6425
28,18,168,3.748
28,27,100,2.6558
28,27,50,4.1659
28,27,3,0.7792
28,27,73,16.1595
28,27,188,14.2656
28,168,72,0.801
28,168,89,0.7523
28,168,175,2.5926
28,168,100,2.4654
28,168,185,5.5369
28,168,160,6.4211
28,168,186,32.3918
28,168,64,3.3218
28,168,181,29.5213
28,168,184,23.4265
28,168,50,17.5194
28,171,108,16.5193
28,171,64,43.0946
28,171,42,38.0283
28,171,89,15.3623
28,171,73,15.4643
28,171,50,40.7875
28,171,140,43.2151
28,171,72,25.4913
28,171,154,1.2309
28,171,100,22.9993
28,171,172,5.2371
28,171,174,0.6677
28,171,18,19.2643
28,171,160,5.4522
28,171,3,10.8439
28,171,79,13.2544
28,171,178,1.7649
28,171,173,6.5369
28,171,54,24.7019
28,171,165,6.41
28,171,186,34.2385
28,171,168,8.9338
28,171,187,18.6045
28,171,194,3.4444
28,171,190,7.2911
