atom_id,category,core_count,dev_count,core_ratio_pct,zero_core,thin_core,pos_n_pct,pos_v_pct,pos_adj_pct,unique_keys,unique_ratio_pct,mean_atoms_per_word,p95_atoms_per_word,generic_at_5pct,generic_at_10pct,generic_at_20pct,top1_overlap_atom,top1_overlap_count,top1_jaccard,sym_pair,sym_core_overlap
ABS.bound,ABS,186,351,34.6,False,False,46.2,46.8,7.0,124,66.7,1.62,4,0,0,0,ACT.move,10,0.007,ABS.release,1
ABS.exempt,ABS,33,665,4.7,False,False,30.3,45.5,24.2,12,36.4,2.45,6,0,0,0,ABS.release,13,0.119,ABS.responsibility,0
ABS.foolish,ABS,95,7,93.1,False,False,9.5,0.0,90.5,65,68.4,1.56,4,0,0,0,STA.illness,4,0.012,ABS.wise,2
ABS.other,ABS,31,5,86.1,False,False,6.5,3.2,90.3,5,16.1,2.42,5,0,0,0,REL.different,24,0.615,ABS.self,0
ABS.release,ABS,89,56,61.4,False,False,44.9,52.8,2.2,40,44.9,2.21,6,0,0,0,ABS.exempt,13,0.119,ABS.bound,1
ABS.responsibility,ABS,61,91,40.1,False,False,57.4,13.1,29.5,38,62.3,1.59,3,0,0,0,VAL.truth,7,0.082,ABS.exempt,0
ABS.self,ABS,24,866,2.7,False,False,83.3,12.5,4.2,12,50.0,1.71,3,0,0,0,PRP.single,7,0.152,ABS.other,0
ABS.wise,ABS,48,25,65.8,False,False,10.4,0.0,89.6,26,54.2,1.79,5,0,0,0,PRP.bright,5,0.042,ABS.foolish,2
ACT.abandon,ACT,60,103,36.8,False,False,45.0,51.7,3.3,24,40.0,2.05,5,0,0,0,ACT.leave,7,0.043,ACT.build,0
ACT.agitate,ACT,115,386,23.0,False,False,46.1,50.4,3.5,52,45.2,2.24,6,0,0,0,ACT.move,23,0.017,ACT.calm,0
ACT.arrive,ACT,74,92,44.6,False,False,31.1,67.6,1.4,2,2.7,3.81,10,1,0,0,TIM.come,41,0.414,ACT.exit,1
ACT.ascend,ACT,28,347,7.5,False,False,50.0,50.0,0.0,6,21.4,2.89,6,0,0,0,ACT.move,13,0.01,ACT.descend,0
