cid_property,bin,n_events,rank,candidate_word,total_prob,mean_prob_per_event
last_familiarity_max,low,1100,1,smell,4.485915,0.004078
last_familiarity_max,low,1100,2,incense,2.945247,0.002677
last_familiarity_max,low,1100,3,fragrant,2.811021,0.002555
last_familiarity_max,low,1100,4,find,2.619353,0.002381
last_familiarity_max,low,1100,5,scent,2.355465,0.002141
last_familiarity_max,low,1100,6,perfume,2.317716,0.002107
last_familiarity_max,low,1100,7,aromatic,2.251806,0.002047
last_familiarity_max,low,1100,8,deaf,2.211542,0.002010
last_familiarity_max,low,1100,9,stink,2.189760,0.001991
last_familiarity_max,low,1100,10,reek,2.150942,0.001955
last_familiarity_max,low,1100,11,sweet,2.091898,0.001902
last_familiarity_max,low,1100,12,mind,2.063585,0.001876
last_familiarity_max,low,1100,13,sweetness,1.997999,0.001816
last_familiarity_max,low,1100,14,peep,1.976979,0.001797
last_familiarity_max,low,1100,15,regard,1.902066,0.001729
last_familiarity_max,mid,1100,1,mind,3.562168,0.003238
last_familiarity_max,mid,1100,2,smell,2.809798,0.002554
last_familiarity_max,mid,1100,3,review,2.276407,0.002069
last_familiarity_max,mid,1100,4,subconscious,2.174572,0.001977
last_familiarity_max,mid,1100,5,recall,2.164746,0.001968
last_familiarity_max,mid,1100,6,think,2.000427,0.001819
last_familiarity_max,mid,1100,7,fragrant,1.994199,0.001813
last_familiarity_max,mid,1100,8,incense,1.839600,0.001672
last_familiarity_max,mid,1100,9,male,1.758492,0.001599
last_familiarity_max,mid,1100,10,regard,1.724880,0.001568
last_familiarity_max,mid,1100,11,find,1.596604,0.001451
last_familiarity_max,mid,1100,12,present,1.593808,0.001449
last_familiarity_max,mid,1100,13,sweet,1.549554,0.001409
last_familiarity_max,mid,1100,14,look,1.547612,0.001407
last_familiarity_max,mid,1100,15,peep,1.540651,0.001401
last_familiarity_max,high,1100,1,mind,3.283984,0.002985
last_familiarity_max,high,1100,2,smell,2.224237,0.002022
last_familiarity_max,high,1100,3,review,2.167468,0.001970
last_familiarity_max,high,1100,4,recall,2.093861,0.001904
last_familiarity_max,high,1100,5,fragrant,1.897429,0.001725
last_familiarity_max,high,1100,6,subconscious,1.873245,0.001703
last_familiarity_max,high,1100,7,male,1.838482,0.001671
last_familiarity_max,high,1100,8,reason,1.834055,0.001667
last_familiarity_max,high,1100,9,ground,1.785047,0.001623
last_familiarity_max,high,1100,10,exempt,1.773400,0.001612
last_familiarity_max,high,1100,11,think,1.759329,0.001599
last_familiarity_max,high,1100,12,find,1.686045,0.001533
last_familiarity_max,high,1100,13,excuse,1.661085,0.001510
last_familiarity_max,high,1100,14,immune,1.637422,0.001489
last_familiarity_max,high,1100,15,self,1.611849,0.001465
n_alphas_currently,low,1100,1,recall,4.178997,0.003799
n_alphas_currently,low,1100,2,review,4.137456,0.003761
n_alphas_currently,low,1100,3,male,3.546867,0.003224
n_alphas_currently,low,1100,4,retrospect,3.434863,0.003123
n_alphas_currently,low,1100,5,access,3.382087,0.003075
n_alphas_currently,low,1100,6,mind,3.270667,0.002973
n_alphas_currently,low,1100,7,human,3.243646,0.002949
n_alphas_currently,low,1100,8,land,3.155138,0.002868
