input_atom,candidate_word,total_prob,n_events,n_events_with_this_atom,mean_prob_per_event,rank_in_atom
BOD.ear,access,2.281426,100,200,0.011407,1
BOD.ear,land,2.030868,100,200,0.010154,2
BOD.ear,ground,2.020347,200,200,0.010102,3
BOD.ear,peak,1.982425,100,200,0.009912,4
BOD.ear,shore,1.910295,100,200,0.009551,5
BOD.ear,reach,1.424319,200,200,0.007122,6
BOD.ear,top,1.314641,100,200,0.006573,7
BOD.ear,reaching,1.205076,200,200,0.006025,8
BOD.ear,arrive at,1.200939,100,200,0.006005,9
BOD.ear,get through,1.181194,100,200,0.005906,10
EXS.being,envy,1.429226,200,400,0.003573,1
EXS.being,heat,1.312363,100,400,0.003281,2
EXS.being,present,1.216782,200,400,0.003042,3
EXS.being,esteem,1.174487,100,400,0.002936,4
EXS.being,regret,1.140902,200,400,0.002852,5
EXS.being,respect,1.140432,100,400,0.002851,6
EXS.being,express,1.089218,200,400,0.002723,7
EXS.being,resolve,1.086882,100,400,0.002717,8
EXS.being,miss,1.051004,400,400,0.002628,9
EXS.being,finish,1.040308,100,400,0.002601,10
EXS.nonbeing,mind,3.595468,400,400,0.008989,1
EXS.nonbeing,think,2.792205,300,400,0.006981,2
EXS.nonbeing,subconscious,2.214735,300,400,0.005537,3
EXS.nonbeing,thought,1.650414,300,400,0.004126,4
EXS.nonbeing,mindless,1.578155,200,400,0.003945,5
EXS.nonbeing,plan,1.560399,300,400,0.003901,6
EXS.nonbeing,reflex,1.515729,200,400,0.003789,7
EXS.nonbeing,review,1.447097,300,400,0.003618,8
EXS.nonbeing,sense,1.307303,100,400,0.003268,9
EXS.nonbeing,unthinking,1.256919,200,400,0.003142,10
FND.timeless,exempt,2.570144,100,100,0.025701,1
FND.timeless,excuse,2.407370,100,100,0.024074,2
FND.timeless,immune,2.373075,100,100,0.023731,3
FND.timeless,self,1.696186,100,100,0.016962,4
FND.timeless,reason,1.526734,100,100,0.015267,5
FND.timeless,fraction,1.454841,100,100,0.014548,6
FND.timeless,excused,1.337128,100,100,0.013371,7
FND.timeless,let off,1.335453,100,100,0.013355,8
FND.timeless,spare,1.332610,100,100,0.013326,9
FND.timeless,ground,1.324286,100,100,0.013243,10
FND.transformation,rein,0.914933,100,100,0.009149,1
FND.transformation,leash,0.664673,100,100,0.006647,2
FND.transformation,muzzle,0.659784,100,100,0.006598,3
FND.transformation,knot,0.649668,100,100,0.006497,4
FND.transformation,rope,0.642812,100,100,0.006428,5
FND.transformation,bound,0.639110,100,100,0.006391,6
FND.transformation,strap,0.637682,100,100,0.006377,7
FND.transformation,tie,0.627485,100,100,0.006275,8
FND.transformation,cord,0.624419,100,100,0.006244,9
FND.transformation,gag,0.622100,100,100,0.006221,10
PER.fragrance,smooth,2.207529,100,300,0.007358,1
PER.fragrance,mind,2.140684,200,300,0.007136,2
PER.fragrance,see,2.048726,200,300,0.006829,3
PER.fragrance,find,1.721252,200,300,0.005738,4
PER.fragrance,deaf,1.673155,100,300,0.005577,5
PER.fragrance,regard,1.639519,100,300,0.005465,6
PER.fragrance,scent,1.599245,100,300,0.005331,7
PER.fragrance,smell,1.597766,100,300,0.005326,8
PER.fragrance,sniff,1.588410,100,300,0.005295,9
PER.fragrance,nose,1.559279,100,300,0.005198,10
PER.hear,smell,1.900906,100,300,0.006336,1
PER.hear,scent,1.885785,100,300,0.006286,2
PER.hear,perfume,1.857267,100,300,0.006191,3
PER.hear,incense,1.719869,100,300,0.005733,4
PER.hear,deaf,1.512510,100,300,0.005042,5
PER.hear,flat,1.500368,200,300,0.005001,6
PER.hear,whiff,1.332068,100,300,0.004440,7
PER.hear,male,1.293568,100,300,0.004312,8
PER.hear,human,1.246951,100,300,0.004157,9
PER.hear,Neanderthal,1.209706,100,300,0.004032,10
PER.see,smell,3.726429,200,600,0.006211,1
PER.see,quiet,3.591198,100,600,0.005985,2
PER.see,mum,3.424776,100,600,0.005708,3
PER.see,fragrant,3.039033,300,600,0.005065,4
PER.see,stink,2.987429,200,600,0.004979,5
PER.see,reek,2.947723,100,600,0.004913,6
PER.see,sweet,2.806884,300,600,0.004678,7
PER.see,sweetness,2.689937,300,600,0.004483,8
PER.see,honey,2.346481,100,600,0.003911,9
PER.see,male,2.270423,300,600,0.003784,10
PER.smell,honey,1.491649,100,400,0.003729,1
PER.smell,squat,1.333781,300,400,0.003334,2
PER.smell,rest,1.325238,200,400,0.003313,3
PER.smell,sweet,1.298364,200,400,0.003246,4
PER.smell,sweetness,1.272567,200,400,0.003181,5
PER.smell,fragrant,1.262999,200,400,0.003157,6
PER.smell,stand,1.252054,300,400,0.003130,7
PER.smell,perch,1.154312,200,400,0.002886,8
PER.smell,seat,1.138910,200,400,0.002847,9
PER.smell,posterior,1.118559,100,400,0.002796,10
PER.sound,walk,1.179377,100,100,0.011794,1
PER.sound,go,1.171237,100,100,0.011712,2
PER.sound,travel,1.124081,100,100,0.011241,3
PER.sound,traverse,1.063620,100,100,0.010636,4
PER.sound,journey,1.005160,100,100,0.010052,5
PER.sound,limp,0.964851,100,100,0.009649,6
PER.sound,hemorrhage,0.680453,100,100,0.006805,7
PER.sound,gash,0.675417,100,100,0.006754,8
PER.sound,hurt,0.673247,100,100,0.006732,9
PER.sound,break,0.673210,100,100,0.006732,10
PER.soundless,peek,1.741964,100,100,0.017420,1
PER.soundless,front,1.733377,100,100,0.017334,2
PER.soundless,peep,1.730577,100,100,0.017306,3
PER.soundless,look,1.726383,100,100,0.017264,4
PER.soundless,see,1.713113,100,100,0.017131,5
PER.soundless,squint,1.703026,100,100,0.017030,6
PER.soundless,glance,1.702758,100,100,0.017028,7
PER.soundless,gaze,1.695133,100,100,0.016951,8
PER.soundless,eyeball,1.689253,100,100,0.016893,9
PER.soundless,regard,1.683482,100,100,0.016835,10
