seed,n_events,rank,candidate_word,total_prob,mean_prob_per_event
0,100,1,access,2.281426,0.022814
0,100,2,land,2.030868,0.020309
0,100,3,peak,1.982425,0.019824
0,100,4,ground,1.931461,0.019315
0,100,5,shore,1.910295,0.019103
0,100,6,top,1.314641,0.013146
0,100,7,reach,1.248283,0.012483
0,100,8,arrive at,1.200939,0.012009
0,100,9,get through,1.181194,0.011812
0,100,10,find,1.177396,0.011774
0,100,11,pull in,1.162822,0.011628
0,100,12,make,1.155733,0.011557
0,100,13,reaching,1.111257,0.011113
0,100,14,top out,1.100442,0.011004
0,100,15,put down,1.094486,0.010945
0,100,16,come through,1.087065,0.010871
0,100,17,landing,1.084560,0.010846
0,100,18,lander,1.083567,0.010836
0,100,19,disembarkation,1.081170,0.010812
0,100,20,get to,1.077637,0.010776
1,400,1,regard,2.693989,0.006735
1,400,2,look,2.219102,0.005548
1,400,3,peep,2.057515,0.005144
1,400,4,esteem,2.045528,0.005114
1,400,5,squint,1.996239,0.004991
1,400,6,respect,1.986217,0.004966
1,400,7,admire,1.920071,0.004800
1,400,8,peek,1.918001,0.004795
1,400,9,front,1.908546,0.004771
1,400,10,envy,1.886799,0.004717
1,400,11,see,1.886234,0.004716
1,400,12,glance,1.874833,0.004687
1,400,13,witness,1.871406,0.004679
1,400,14,gaze,1.866438,0.004666
1,400,15,eyeball,1.859963,0.004650
1,400,16,eye,1.824476,0.004561
1,400,17,admirer,1.763781,0.004409
1,400,18,stare,1.752400,0.004381
1,400,19,gape,1.751872,0.004380
1,400,20,glimpse,1.608503,0.004021
3,100,1,start,1.203463,0.012035
3,100,2,get to,1.201421,0.012014
3,100,3,apprentice,1.148696,0.011487
3,100,4,land,1.124270,0.011243
3,100,5,access,1.100660,0.011007
3,100,6,initiate,1.094793,0.010948
3,100,7,ground,1.069239,0.010692
3,100,8,shore,1.057521,0.010575
3,100,9,fledgling,1.049932,0.010499
3,100,10,peak,1.022503,0.010225
3,100,11,fall,1.016201,0.010162
3,100,12,hope,0.933103,0.009331
3,100,13,hopeful,0.912305,0.009123
3,100,14,aspirant,0.890400,0.008904
3,100,15,promise,0.867444,0.008674
3,100,16,forfeit,0.794300,0.007943
3,100,17,enlightened,0.728487,0.007285
3,100,18,sacrifice,0.725672,0.007257
3,100,19,get rolling,0.652673,0.006527
3,100,20,lead off,0.651727,0.006517
4,100,1,think,1.161626,0.011616
4,100,2,despair,0.960095,0.009601
4,100,3,dismay,0.958449,0.009584
4,100,4,desperate,0.917688,0.009177
4,100,5,will,0.885565,0.008856
4,100,6,dim,0.849844,0.008498
4,100,7,purpose,0.847446,0.008474
4,100,8,stupid,0.832435,0.008324
4,100,9,aspirant,0.831805,0.008318
