rank,candidate_word,total_prob,n_events_appeared,mean_prob_when_appeared,max_prob,mean_prob_per_event,event_coverage
1,smell,9.519950,600,0.015867,0.028946,0.002885,0.181818
2,mind,8.909737,1200,0.007425,0.016480,0.002700,0.363636
3,fragrant,6.702648,800,0.008378,0.013591,0.002031,0.242424
4,incense,6.346959,600,0.010578,0.017199,0.001923,0.181818
5,review,6.011354,500,0.012023,0.035804,0.001822,0.151515
6,find,5.902003,900,0.006558,0.011774,0.001788,0.272727
7,recall,5.830581,400,0.014576,0.036267,0.001767,0.121212
8,subconscious,5.224888,800,0.006531,0.012156,0.001583,0.242424
9,scent,5.171137,400,0.012928,0.018858,0.001567,0.121212
10,sweet,5.131359,700,0.007331,0.013410,0.001555,0.212121
11,perfume,5.081824,400,0.012705,0.018573,0.001540,0.121212
12,sweetness,4.928631,700,0.007041,0.013247,0.001494,0.212121
13,regard,4.892500,700,0.006989,0.016835,0.001483,0.212121
14,male,4.886736,800,0.006108,0.019360,0.001481,0.242424
15,deaf,4.798922,400,0.011997,0.016732,0.001454,0.121212
16,aromatic,4.777365,600,0.007962,0.014583,0.001448,0.181818
17,peep,4.714059,900,0.005238,0.017306,0.001429,0.272727
18,ground,4.586568,600,0.007644,0.019315,0.001390,0.181818
19,look,4.557089,600,0.007595,0.017264,0.001381,0.181818
20,stink,4.492696,400,0.011232,0.029050,0.001361,0.121212
21,see,4.465428,500,0.008931,0.017131,0.001353,0.151515
22,reek,4.389678,200,0.021948,0.029477,0.001330,0.060606
23,think,4.318183,400,0.010795,0.015260,0.001309,0.121212
24,fall,4.246209,900,0.004718,0.010162,0.001287,0.272727
25,get,4.134386,800,0.005168,0.010502,0.001253,0.242424
26,present,4.068516,900,0.004521,0.010434,0.001233,0.272727
27,aromatize,3.879368,600,0.006466,0.009766,0.001176,0.181818
28,human,3.870654,300,0.012902,0.018662,0.001173,0.090909
29,honey,3.838131,200,0.019191,0.023465,0.001163,0.060606
30,front,3.814700,400,0.009537,0.017334,0.001156,0.121212
31,access,3.763757,400,0.009409,0.022814,0.001141,0.121212
32,Neanderthal,3.755042,300,0.012517,0.018104,0.001138,0.090909
33,ego,3.737348,1200,0.003114,0.007204,0.001133,0.363636
34,squint,3.699265,400,0.009248,0.017030,0.001121,0.121212
35,peek,3.659964,300,0.012200,0.017420,0.001109,0.090909
36,odorous,3.613502,600,0.006023,0.014447,0.001095,0.181818
37,quiet,3.591198,100,0.035912,0.035912,0.001088,0.030303
38,glance,3.577591,300,0.011925,0.017028,0.001084,0.090909
39,gaze,3.561571,300,0.011872,0.016951,0.001079,0.090909
40,eyeball,3.549216,300,0.011831,0.016893,0.001076,0.090909
41,reason,3.504773,500,0.007010,0.015267,0.001062,0.151515
42,eye,3.481500,300,0.011605,0.016570,0.001055,0.090909
43,retrospect,3.434863,100,0.034349,0.034349,0.001041,0.030303
44,mum,3.424776,100,0.034248,0.034248,0.001038,0.030303
45,witness,3.416715,400,0.008542,0.015453,0.001035,0.121212
46,sniff,3.413188,400,0.008533,0.015884,0.001034,0.121212
47,nose,3.399920,500,0.006800,0.015593,0.001030,0.151515
48,stare,3.343962,300,0.011147,0.015916,0.001013,0.090909
49,gape,3.342954,300,0.011143,0.015911,0.001013,0.090909
50,retrieval,3.299686,600,0.005499,0.018158,0.001000,0.181818
51,whiff,3.298978,500,0.006598,0.013321,0.001000,0.151515
52,land,3.266981,300,0.010890,0.020309,0.000990,0.090909
53,reflex,3.252977,500,0.006506,0.009765,0.000986,0.151515
54,snuff,3.200481,300,0.010668,0.015424,0.000970,0.090909
55,odour,3.173779,500,0.006348,0.015021,0.000962,0.151515
56,bouquet,3.164934,500,0.006330,0.014778,0.000959,0.151515
57,rank,3.141522,700,0.004488,0.014388,0.000952,0.212121
58,esteem,3.104856,500,0.006210,0.011745,0.000941,0.151515
59,look back,3.100325,400,0.007751,0.017003,0.000939,0.121212
60,remembering,3.079909,500,0.006160,0.017638,0.000933,0.151515
61,glimpse,3.069376,300,0.010231,0.014609,0.000930,0.090909
62,foulness,3.067727,500,0.006135,0.014798,0.000930,0.151515
63,malodorousness,3.060141,500,0.006120,0.014942,0.000927,0.151515
64,muskiness,3.039848,500,0.006080,0.013907,0.000921,0.151515
65,musky,3.039780,500,0.006080,0.013947,0.000921,0.151515
66,retrieve,3.028867,600,0.005048,0.017631,0.000918,0.181818
67,stinkiness,3.016484,500,0.006033,0.014643,0.000914,0.151515
68,stinky,3.011673,500,0.006023,0.014873,0.000913,0.151515
69,peak,3.004928,200,0.015025,0.019824,0.000911,0.060606
70,rancidness,3.004670,500,0.006009,0.014749,0.000911,0.151515
71,catch,3.002741,700,0.004290,0.008231,0.000910,0.212121
72,smelly,2.996759,500,0.005994,0.013915,0.000908,0.151515
73,self,2.990346,400,0.007476,0.016962,0.000906,0.121212
74,odourise,2.986531,500,0.005973,0.014097,0.000905,0.151515
75,redolence,2.970704,500,0.005941,0.014220,0.000900,0.151515
76,fetid,2.970249,500,0.005940,0.014615,0.000900,0.151515
77,shore,2.967816,200,0.014839,0.019103,0.000899,0.060606
78,express,2.940651,600,0.004901,0.007805,0.000891,0.181818
79,recollection,2.931773,400,0.007329,0.018263,0.000888,0.121212
80,admirer,2.926904,700,0.004181,0.008418,0.000887,0.212121
81,get to,2.923399,300,0.009745,0.012014,0.000886,0.090909
82,admire,2.921462,600,0.004869,0.008505,0.000885,0.181818
83,retain,2.917739,400,0.007294,0.018202,0.000884,0.121212
84,olfactory property,2.917393,500,0.005835,0.013637,0.000884,0.151515
85,recollect,2.904729,400,0.007262,0.017976,0.000880,0.121212
86,remember,2.896281,400,0.007241,0.018142,0.000878,0.121212
87,malodorous,2.883583,500,0.005767,0.014092,0.000874,0.151515
88,nous,2.875304,800,0.003594,0.006508,0.000871,0.242424
89,consider,2.874163,600,0.004790,0.006669,0.000871,0.181818
90,remembrance,2.873132,500,0.005746,0.017148,0.000871,0.151515
91,retentive,2.859247,400,0.007148,0.018279,0.000866,0.121212
92,fetidness,2.858531,500,0.005717,0.014275,0.000866,0.151515
93,envy,2.843773,500,0.005688,0.010833,0.000862,0.151515
94,retention,2.842405,400,0.007106,0.017984,0.000861,0.121212
95,end,2.841678,600,0.004736,0.008831,0.000861,0.181818
96,respect,2.827704,500,0.005655,0.011404,0.000857,0.151515
97,rankness,2.818960,500,0.005638,0.014162,0.000854,0.151515
98,leer,2.793880,300,0.009313,0.013298,0.000847,0.090909
99,memory,2.788421,400,0.006971,0.016975,0.000845,0.121212
100,call back,2.779551,400,0.006949,0.017356,0.000842,0.121212
101,scented,2.774570,300,0.009249,0.013414,0.000841,0.090909
102,odorize,2.763087,500,0.005526,0.012875,0.000837,0.151515
103,rest,2.759526,600,0.004599,0.010984,0.000836,0.181818
104,thought,2.757951,400,0.006895,0.011075,0.000836,0.121212
105,squat,2.749461,600,0.004582,0.011510,0.000833,0.181818
106,unconscious,2.711328,800,0.003389,0.006560,0.000822,0.242424
107,recognition,2.687567,400,0.006719,0.016507,0.000814,0.121212
108,memorize,2.679523,400,0.006699,0.015937,0.000812,0.121212
109,foul,2.656432,500,0.005313,0.014001,0.000805,0.151515
110,recognize,2.653990,600,0.004423,0.015871,0.000804,0.181818
111,face,2.629101,600,0.004382,0.008401,0.000797,0.181818
