seed,event_id,source_cid,input_atom,rank,candidate_word,probability
0,0_atom_0,198,BOD.ear,1,access,0.0228
0,0_atom_0,198,BOD.ear,2,land,0.0203
0,0_atom_0,198,BOD.ear,3,peak,0.0198
0,0_atom_0,198,BOD.ear,4,ground,0.0193
0,0_atom_0,198,BOD.ear,5,shore,0.0191
0,0_atom_0,198,BOD.ear,6,top,0.0131
0,0_atom_0,198,BOD.ear,7,reach,0.0125
0,0_atom_0,198,BOD.ear,8,arrive at,0.0120
0,0_atom_0,198,BOD.ear,9,get through,0.0118
0,0_atom_0,198,BOD.ear,10,find,0.0118
0,0_atom_100,100,BOD.ear,1,access,0.0228
0,0_atom_100,100,BOD.ear,2,land,0.0203
0,0_atom_100,100,BOD.ear,3,peak,0.0198
0,0_atom_100,100,BOD.ear,4,ground,0.0193
0,0_atom_100,100,BOD.ear,5,shore,0.0191
0,0_atom_100,100,BOD.ear,6,top,0.0131
0,0_atom_100,100,BOD.ear,7,reach,0.0125
0,0_atom_100,100,BOD.ear,8,arrive at,0.0120
0,0_atom_100,100,BOD.ear,9,get through,0.0118
0,0_atom_100,100,BOD.ear,10,find,0.0118
1,1_atom_10,98,PER.see,1,smell,0.0083
1,1_atom_10,98,PER.see,2,scent,0.0083
1,1_atom_10,98,PER.see,3,perfume,0.0081
1,1_atom_10,98,PER.see,4,incense,0.0076
1,1_atom_10,98,PER.see,5,sniff,0.0061
1,1_atom_10,98,PER.see,6,nose,0.0055
1,1_atom_10,98,PER.see,7,snuff,0.0054
1,1_atom_10,98,PER.see,8,fragrant,0.0042
1,1_atom_10,98,PER.see,9,aromatic,0.0042
1,1_atom_10,98,PER.see,10,aroma,0.0041
1,1_atom_1002,123,EXS.being,1,heat,0.0131
1,1_atom_1002,123,EXS.being,2,esteem,0.0117
1,1_atom_1002,123,EXS.being,3,respect,0.0114
1,1_atom_1002,123,EXS.being,4,envy,0.0108
1,1_atom_1002,123,EXS.being,5,fear,0.0084
1,1_atom_1002,123,EXS.being,6,scare,0.0084
1,1_atom_1002,123,EXS.being,7,trouble,0.0084
1,1_atom_1002,123,EXS.being,8,worry,0.0083
1,1_atom_1002,123,EXS.being,9,care,0.0083
1,1_atom_1002,123,EXS.being,10,disquiet,0.0083
3,3_atom_10,172,PER.see,1,start,0.0120
3,3_atom_10,172,PER.see,2,get to,0.0120
3,3_atom_10,172,PER.see,3,apprentice,0.0115
3,3_atom_10,172,PER.see,4,land,0.0112
3,3_atom_10,172,PER.see,5,access,0.0110
3,3_atom_10,172,PER.see,6,initiate,0.0109
3,3_atom_10,172,PER.see,7,ground,0.0107
3,3_atom_10,172,PER.see,8,shore,0.0106
3,3_atom_10,172,PER.see,9,fledgling,0.0105
3,3_atom_10,172,PER.see,10,peak,0.0102
3,3_atom_1013,271,PER.see,1,start,0.0120
3,3_atom_1013,271,PER.see,2,get to,0.0120
