atom,picked_count
PER.sound,201
TIM.moment,176
BOD.ear,167
PRP.clear,162
PER.odorless,161
PRP.bright,160
ELM.light,159
PER.feel,159
PER.hear,159
BOD.eye,157
SPC.nowhere,157
PER.see,157
PER.soundless,152
PER.delicious,152
WLD.artless,150
COM.conduct,149
PER.fragrance,149
PRP.whole,148
ELM.sun,148
ELM.moon,147
ELM.sky,145
BOD.mouth,144
PER.sweet,144
WLD.realm,142
LOG.effect,141
EMO.manifest,140
TIM.appear,139
PER.smell,138
ACT.build,138
SPC.direction,137
ELM.night,136
EXS.being,136
PER.stench,133
EXS.presence,133
PER.taste,131
CHG.advance,131
VAL.beauty,130
PER.touch,130
ACT.make,130
COM.silence,129
FND.logic,128
WLD.science,128
VAL.ugliness,127
LOG.cause,125
SOC.homeless,125
FND.spatiality,124
PRP.dark,124
COG.enlightenment,123
PRP.multiple,123
PRP.long,122
COM.practice,122
PRP.deep,122
PER.salty,122
CHG.grow,122
PRP.sharp,121
ELM.darkness,121
TIM.past,121
CHG.end,118
ACT.emit,118
SOC.pass,117
ECO.sell,117
WLD.art,115
BOD.face,114
BOD.hand,114
PRP.slow,114
COG.separate,114
WLD.culture,114
COM.answer,113
ACT.stop,113
PER.bitter,112
LOG.reason,112
WLD.outer_realm,112
COM.announce,111
ABS.bound,111
BEI.beast,111
SPC.reverse,111
SPC.outside,110
PER.blind,109
COG.learn,108
PRP.murky,108
PRP.hot,108
ELM.morning,106
ACT.create,105
NAT.river,105
WLD.technique,105
EXS.life,104
TIM.now,104
ECO.money,104
PRP.small,104
PRP.fast,104
PER.tasteless,104
PRP.large,104
TIM.period,103
COG.know,103
PRP.shallow,102
FND.language,102
PRP.difficult,102
PRP.rough,101
SPC.place,100
ECO.currency,100
PER.deaf,100
CHG.retreat,100
ACT.give,100
ECO.price,100
SOC.official,99
BEI.plant,98
EXS.vitality,98
PRP.part,97
FND.transformation,97
FND.labor,97
SOC.work,96
VAL.correct,96
PRP.possible,96
PRP.easy,95
MAT.naked,94
FND.ahistorical,94
PRP.short,94
COM.teach,94
ABS.release,93
PRP.wide,93
FND.play,93
ECO.buy,92
COM.secret,92
COM.speak,92
FND.temporality,92
PRP.high,92
ACT.agitate,91
FND.consciousness,90
ACT.move,90
PRP.smooth,90
ACT.ascend,90
ACT.arrive,89
PRP.light,89
FND.time,89
COM.conflict,89
ACT.rise,88
MAT.bare_hand,88
SOC.defend,88
ACT.sink,87
PRP.heavy,87
ACT.obtain,87
COG.think,86
VAL.profane,86
PRP.old,86
ACT.descend,85
CHG.begin,85
EXS.nonbeing,85
FND.languageless,84
FND.intuition,84
STA.healing,84
EXS.matter,84
FND.timeless,83
BEI.human,83
TIM.indefinite,83
PRP.aged,83
FND.unchanging,82
EXS.void,82
WLD.secular,82
BEI.root,82
WLD.nonscience,82
ELM.water,81
ELM.wind,81
SOC.request,81
FND.number,80
STA.war,80
NAT.flower,80
TIM.come,80
FND.mind,80
ACT.fall,80
PRP.clean,79
PRP.cold,79
ACT.sit,79
PRP.near,79
STA.peace,78
FND.body,78
BOD.head,78
ABS.wise,78
COM.question,78
ACT.lie_down,78
ELM.fire,77
NAT.sea,77
EXS.death,76
ECO.pay,76
SOC.obstruct,76
SPC.inside,76
WLD.religion,75
ELM.star,75
SOC.city,75
ACT.go,75
PRP.narrow,74
ECO.earn,74
BOD.hip,74
ACT.take,74
ACT.exit,74
PRP.soft,73
EMO.respect,73
ECO.withdraw,73
MAT.food,73
PRP.new,72
SOC.citizen,72
ECO.save,71
VAL.falsehood,71
PRP.low,71
PRP.hard,70
PRP.dirty,70
ACT.leave,69
SOC.praise,69
MAT.drink,69
ACT.dissolve,68
