rank,count
1,222
2,214
3,179
4,232
5,167
6,167
7,161
8,169
9,149
10,156
11,174
12,145
13,153
14,161
15,159
16,167
17,156
18,161
19,133
20,150
21,138
22,144
23,143
24,152
25,152
26,138
27,145
28,150
29,150
30,144
31,134
32,144
33,139
34,152
35,156
36,130
37,144
38,138
39,132
40,140
41,137
42,119
43,130
44,153
45,133
46,130
47,128
48,143
49,126
50,152
51,131
52,124
53,125
54,116
55,122
56,112
57,140
58,115
59,109
60,113
61,128
62,113
63,127
64,121
65,115
66,119
67,133
68,110
69,120
70,114
71,111
72,136
73,106
74,99
75,108
76,123
77,99
78,109
79,109
80,101
81,105
82,129
83,119
84,115
85,133
86,95
87,105
88,132
89,120
90,113
91,102
92,141
93,101
94,98
95,101
96,107
97,94
98,99
99,105
100,82
101,94
102,101
103,97
104,102
105,99
106,94
107,98
108,93
109,90
110,71
111,109
112,111
113,102
114,104
115,98
116,83
117,95
118,92
119,96
120,103
121,105
122,149
123,112
124,79
125,95
126,80
127,97
128,95
129,75
130,92
131,88
132,87
133,78
134,109
135,93
136,79
137,80
138,85
139,94
140,99
141,99
142,96
143,81
144,75
145,75
146,97
147,87
148,78
149,75
150,66
151,76
152,62
153,87
154,82
155,84
156,72
157,98
158,78
159,87
160,94
161,89
162,78
163,75
164,72
165,73
166,65
167,75
168,78
169,83
170,90
171,94
172,65
173,76
174,77
175,85
176,85
177,69
178,71
179,77
180,90
181,74
182,91
183,68
184,62
185,69
186,66
187,77
188,80
189,73
190,67
191,83
192,66
193,73
194,63
195,72
196,56
197,68
198,68
199,71
200,58
201,77
202,71
203,76
204,51
205,68
206,61
207,49
208,64
209,47
210,60
211,74
212,58
213,74
214,76
215,60
216,70
217,52
218,55
219,73
220,70
221,64
222,57
223,60
224,65
225,54
226,67
227,53
228,59
229,64
230,42
231,46
232,56
233,51
234,43
235,46
236,61
237,49
238,44
239,49
240,53
241,46
242,55
243,45
244,55
245,57
246,64
247,46
248,41
249,61
250,43
251,53
252,37
253,39
254,69
255,40
256,42
257,42
258,54
259,50
260,41
261,40
262,39
263,35
264,50
265,40
266,33
267,44
268,38
269,35
270,37
271,45
272,29
273,55
274,34
275,26
276,43
277,36
278,34
279,32
280,37
281,40
282,39
283,29
284,27
285,39
286,33
287,30
288,30
289,33
290,29
291,31
292,30
293,26
294,29
295,35
296,22
297,19
298,22
299,17
300,25
301,25
302,28
303,32
304,15
305,20
306,20
307,17
308,26
309,20
310,22
311,16
312,16
313,28
314,20
315,11
316,22
317,13
318,16
319,12
320,11
321,16
322,12
323,10
324,9
325,7
