rank,count
1,5
2,4
3,3
4,3
5,8
6,10
7,3
8,4
10,4
11,4
12,4
13,3
14,6
15,3
16,2
17,3
18,4
19,3
20,4
21,2
22,4
23,2
24,3
25,2
26,4
27,1
28,8
29,1
30,5
31,4
32,3
33,2
34,5
35,4
36,2
37,5
38,4
39,3
40,2
41,2
42,3
43,5
44,4
45,2
46,7
47,3
48,2
49,3
50,9
51,2
52,1
53,2
54,1
55,1
56,3
57,3
58,5
59,2
60,1
61,4
62,2
63,4
64,4
65,2
66,6
67,4
68,3
69,3
70,4
71,4
72,1
73,3
74,11
75,2
76,2
77,3
78,2
79,8
80,3
81,3
82,4
83,3
84,4
85,3
86,5
87,3
88,6
89,1
90,5
91,2
92,6
93,3
94,2
95,2
96,2
97,4
98,2
99,1
100,4
101,3
102,1
103,2
104,5
105,3
106,5
107,4
108,4
109,4
110,3
112,1
113,1
114,3
115,4
116,5
117,2
118,2
119,4
120,3
122,6
123,2
124,2
125,3
126,6
127,6
128,6
129,4
130,4
131,2
132,2
133,1
134,2
135,2
136,2
137,2
138,4
139,3
141,2
142,3
143,5
144,3
145,4
146,3
147,3
149,3
150,1
151,5
152,2
153,8
154,2
155,4
156,1
157,5
158,5
159,3
160,2
161,4
162,1
163,3
164,4
165,3
166,6
167,6
168,1
169,1
170,4
171,5
172,5
173,1
175,2
176,3
177,1
178,1
179,5
180,5
181,1
182,2
183,2
184,1
185,3
186,4
187,1
188,5
189,3
190,1
191,2
192,3
193,2
194,1
195,3
196,2
197,5
198,4
200,6
201,3
202,4
203,4
204,2
205,4
207,1
208,1
209,3
210,3
211,3
212,2
213,3
214,4
215,1
216,1
217,2
219,7
220,2
221,2
222,3
223,1
224,5
225,3
227,2
228,1
229,2
230,3
231,2
232,2
233,1
234,3
235,3
236,2
237,3
238,2
239,3
240,5
242,4
243,5
244,1
245,1
246,1
247,1
249,3
250,4
251,1
252,3
253,2
254,2
255,1
256,1
257,4
258,1
259,1
260,1
261,6
262,1
263,1
265,1
266,3
267,4
268,2
269,5
271,2
272,2
273,2
274,3
275,1
276,4
277,1
278,6
280,3
282,1
283,2
284,1
286,2
287,1
288,2
289,3
291,1
292,5
293,2
294,1
295,3
296,1
298,2
300,1
301,1
302,4
303,1
304,2
306,1
307,3
308,1
315,2
316,2
319,1
