source_cid,n_core,lifespan,n_events,final
0,5,25000.0,571,hosted
2,5,24998.0,563,hosted
19,5,24981.0,566,hosted
41,5,24959.0,568,hosted
42,5,24958.0,612,hosted
86,5,21464.0,519,hosted
26,5,19974.0,468,reaped
107,5,18493.0,434,hosted
128,5,16472.0,397,hosted
167,5,12483.0,278,hosted
178,5,11472.0,259,hosted
22,5,10978.0,273,reaped
9,5,7991.0,184,reaped
207,5,5993.0,122,hosted
228,5,3472.0,72,hosted
180,5,2970.0,69,reaped
82,5,2968.0,80,reaped
237,5,2963.0,62,hosted
239,5,2961.0,63,hosted
240,5,2460.0,54,hosted
273,5,477.0,10,hosted
